,title,company,location,link,description,skills
0,newactor/actress,Calithumpians,"Fredericton, NB",https://ca.indeed.com/rc/clk?jk=7b842a1f48e5c042&fccid=ef37c531a50573bb&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<div>
<h2 class=""jobSectionHeader""><b>Type of Acting</b></h2>
<ul>
<li> Improvisational</li>
<li> Dramatic arts</li>
<li> Comedy - situational</li>
</ul>
<h2 class=""jobSectionHeader""><b> Work Site Environment</b></h2>
<ul>
<li> Outdoors</li>
</ul>
<h2 class=""jobSectionHeader""><b> Work Conditions and Physical Capabilities</b></h2>
<ul>
<li> Fast-paced environment</li>
<li> Tight deadlines</li>
</ul>
<h2 class=""jobSectionHeader""><b> Work Location Information</b></h2>
<ul>
<li> Urban area</li>
</ul>
<h2 class=""jobSectionHeader""><b> Actors and Comedians Specific Skills</b></h2>
<ul>
<li> Portray roles in several productions</li>
<li> Sing or dance</li>
<li> Improvise a role</li>
</ul>
<h2 class=""jobSectionHeader""><b> Personal Suitability</b></h2>
<ul>
<li> Effective interpersonal skills</li>
<li> Team player</li>
<li> Excellent oral communication</li>
</ul>
<h2 class=""jobSectionHeader""><b> Screening questions</b></h2>
<ul>
<li> Are you currently legally able to work in Canada?</li>
<li> Are you currently a student?</li>
<li> What is your current level of study?</li>
</ul>
<h2 class=""jobSectionHeader""><b> Student status</b></h2>
<ul>
<li> Full time enrollment</li>
<li> Part time enrollment</li>
</ul>
</div>
</div>","['Effective interpersonal skills', 'Urban area', 'Are you currently legally able to work in Canada?', 'Dramatic arts', 'Full time enrollment', 'Excellent oral communication', 'Are you currently a student?', 'Sing or dance']"
1,newActor/Actress,The Fort Museum of the NWMP and First Nations...,"Fort Macleod, AB",https://ca.indeed.com/company/The-Fort-Museum/jobs/Actor-Actress-90866bd649ef2731?fccid=ca15e48f1fba8ee8&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p><b>About Us</b></p>
<p>The Fort Museum of the NWMP and First Nations Interpretive Centre is a non-profit museum and archives in Southern Alberta dedicated to the early histories of Fort Macleod, the Blackfoot, and the North West Mounted Police.</p>
<p><b>Job Description</b></p>
<p>The Fort Museum is looking for Actors to join their team; this is a seasonal, full-time position for 35 hours/week. This position is for May and June only. The Actors will be responsible for delivering an educational and entertaining program “March of the Redcoats” presented to school and public groups consisting of a live theater play followed by interactive scenarios. We strive to deliver a program that will engage school children and visitors alike and encourage renewed interest in local history.</p>
<p>Actors will be responsible for preparing the set, costumes, and equipment needed for each day they perform for the visiting public. They will also be responsible for the set up and take down of props within the facility. If time allows, Actors will be required to offer tours of the museum as well.</p>
<p><b>Qualifications</b></p>
<p>Candidates must be self-motivated individuals who can work as part of a team. Candidates with acting experience or training are preferred, but not mandatory. Knowledge and interest in local NWMP and Blackfoot history is an asset. Candidates are required to pass a criminal record check.</p>
<p>These positions are offered in part by the Young Canada Works in Heritage Organizations grant and therefore we are looking for students that are currently enrolled full-time in post-secondary studies and are planning to return to studies in the upcoming year.</p>
<p><b>How to Apply</b></p>
<p>The Fort Museum recognizes the importance of being an equal opportunities employer free from bias and judgment. The Museum will not discriminate against any person with respect to the designated protected grounds. The Museum will try, where feasible, to eliminate systemic barriers to advancement and/or redress the under-utilization of designated groups.</p>
<p><b>Position offered for May – June only.</b></p>
<p>Job Types: Full-time, Seasonal<br/>Contract length: 2 months</p>
<p>Salary: $15.00 per hour</p>
<p>Schedule:</p>
<ul>
<li>Monday to Friday</li>
</ul>
<p>Ability to commute/relocate:</p>
<ul>
<li>Fort Macleod, AB T0L 0Z0: reliably commute or plan to relocate before starting work (preferred)</li>
</ul>
<p>Expected start date: 2022-05-02</p>
</div>","['How to Apply', 'Candidates must be self-motivated individuals who can work as part of a team. Candidates with acting experience or training are preferred, but not mandatory. Knowledge and interest in local NWMP and Blackfoot history is an asset. Candidates are required to pass a criminal record check.', 'Expected start date: 2022-05-02']"
2,Internet Celebrity & Short Video Actor/Actress,Vanpeople Network Ltd,"Burnaby, BC",https://ca.indeed.com/company/VanPeople-Network-Ltd./jobs/Internet-Celebrity-Short-Video-Actor-Actress-fa03c7a62d8860a4?fccid=595549a98a422164&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>VanPeople Network Ltd. is a leading online media company provider with a branded network of localized platforms targeting local Vancouver Chinese users. VanPeople.com consists of 6 major online platforms which focus on providing an array of services in different categories. Our channels include the website (vanpeople.com), iOS/Android APP, 3 WeChat channels (100,000+ followers in total), and Weibo (50,000+ followers), which cover 500,000+ Chinese users in the Greater Vancouver Area.</p><p><b>What are we going to recruit?</b></p><p>Internet Celebrity &amp; Short Video Actor/Actress</p><p><b>What you will be doing: </b></p><ul><li>As an actor or actress in all Douyin short videos shooting, commercial advertisement production and some company business activities with good performance.</li><li>Record voiceover in all video content</li><li>Live streaming</li></ul><p><b>What we require you have: </b></p><ul><li>Own high proficiency in acting in different types of short video shooting</li><li>Being confident when you face the camera</li><li>You are a creative person when you act your own roles in our video and express an interesting and unique style</li><li>You are familiar with film aesthetics and you need to know how to act in different environments.</li><li>Have live stream or host experience and be capable to attract audiences’ attention and leading opinion.</li><li>Can speak English fluently</li><li>Being familiar with the unique features of Vancouver</li></ul><p><b>What we prefer you have: </b></p><p>1. Personal social media platform such as Tiktok, YouTube, Facebook and Instagram owns more than 5k followers</p><p>2. More than half of a year of work experience in a live stream company</p><p>3. Relative education background in Visual and Performing Arts or Film production</p><p>4. Relative talent on dance, music or instruments</p><p><b>Education requirement: </b></p><ul><li>Bachelor’s degree</li><li>Or performing school or college</li></ul><p><b>Application requirements: </b></p><p>Need to speak Mandarin, basic English</p><p>Come to Vancouver for more than 2 years</p><p>Familiar with the Internet industry Priorities with relevant new media experience</p><p>Please provide your portfolio with a resume (<b>must include your own full-body picture and head shoot</b>)</p><p><b>Why Join Us?</b></p><p>1. We have strong characteristics and we are striving to be a leading overseas local information platform. In the past few years, we have rapidly grown into a recognized network information platform in the Greater Vancouver area. We are still in rapid development and we are constantly introducing new projects.</p><p>As a start-up company, you will have enough space to grow. Our management is flat, so you will have the most core practicing opportunities. In our company, what you get is not only a salary but also a valuable career experience and the accumulation of important relationships.<br/>We provide a competitive salary. Our company has a very stable revenue and profits, so we can offer a decent salary base on your performance. there is no politics here, and performance is everything.<br/>We have a relaxed work environment, and we provide flexible working hours. As long as your task can be achieved, you can come to work early or late. Our internet technology team is young, energetic, and passionate. we have rapidly developed into a high-value, high-efficiency and high-output team within a few years.<br/>Furthermore, there are lots of benefits joining our team, regularly employee gatherings, concert tickets, major local events, movie tickets, new store tryouts, etc... Do not hesitate, the person we are looking for is you!</p><p>In VanPeople, our faith is Work Hard, Play Harder! Welcome to join us! And let's be colleagues!</p><p>Training will be provided. If you meet these qualifications, please send your resume and references to hr at vanpeople.com.</p><p>Also, please prepare for a brief introduction (tell us 1. why are you a good candidate for this job, 2. how can you meet those qualifications, and 3. something about relative experience, current identity, and career plan)</p><p>Job Types: Full-time or Part-time</p><p>Job Types: Full-time, Part-time, Permanent, Freelance<br/>Part-time hours: 20-40 per week</p><p>Salary: $18.00-$50.00 per hour</p><p>Benefits:</p><ul><li>Casual dress</li><li>Discounted or free food</li><li>Flexible schedule</li></ul></div>","['Also, please prepare for a brief introduction (tell us 1. why are you a good candidate for this job, 2. how can you meet those qualifications, and 3. something about relative experience, current identity, and career plan)', 'Flexible schedule', 'Have live stream or host experience and be capable to attract audiences’ attention and leading opinion.', '2. More than half of a year of work experience in a live stream company', 'Need to speak Mandarin, basic English', '3. Relative education background in Visual and Performing Arts or Film production', 'Live streaming', 'Being confident when you face the camera', 'Casual dress', 'Familiar with the Internet industry Priorities with relevant new media experience', 'You are familiar with film aesthetics and you need to know how to act in different environments.', 'Can speak English fluently', 'You are a creative person when you act your own roles in our video and express an interesting and unique style', '4. Relative talent on dance, music or instruments', 'Own high proficiency in acting in different types of short video shooting', ""In VanPeople, our faith is Work Hard, Play Harder! Welcome to join us! And let's be colleagues!"", 'Come to Vancouver for more than 2 years', 'Discounted or free food', '1. Personal social media platform such as Tiktok, YouTube, Facebook and Instagram owns more than 5k followers', 'Being familiar with the unique features of Vancouver', 'VanPeople Network Ltd. is a leading online media company provider with a branded network of localized platforms targeting local Vancouver Chinese users. VanPeople.com consists of 6 major online platforms which focus on providing an array of services in different categories. Our channels include the website (vanpeople.com), iOS/Android APP, 3 WeChat channels (100,000+ followers in total), and Weibo (50,000+ followers), which cover 500,000+ Chinese users in the Greater Vancouver Area.', 'Why Join Us?']"
3,title,company,location,link,description,[]
4,Actor,Freelancer,"Charlottetown, Prince Edward Island, Canada",https://ca.linkedin.com/jobs/view/actor-at-freelancer-3038007917?refId=0B59bXGfZP%2F5f%2BLpkVFaSQ%3D%3D&trackingId=cbC4yVfyeKQXSolIGq%2Bv0g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Looking for lots of folks to do background acting for a television production coming to Charlottetown May-August, 2022.
      ",[]
5,Actor,Searching for Work,"Edson, Alberta, Canada",https://ca.linkedin.com/jobs/view/actor-at-searching-for-work-3049197791?refId=0B59bXGfZP%2F5f%2BLpkVFaSQ%3D%3D&trackingId=Ez7qros59ggwbBm%2FE6UjTQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        action 2
      ",[]
6,"Program Manager II, Bad Actor Disincentives",Amazon,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/program-manager-ii-bad-actor-disincentives-at-amazon-3055654760?refId=0B59bXGfZP%2F5f%2BLpkVFaSQ%3D%3D&trackingId=BMooa97gs0DzG20FWHaKPw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        action 2
      ",[]
7,Spécialiste du Paiement des Prestations d'Invalidité- Acting,Sun Life Québec,"Montreal, Quebec, Canada",https://ca.linkedin.com/jobs/view/sp%C3%A9cialiste-du-paiement-des-prestations-d-invalidit%C3%A9-acting-at-sun-life-qu%C3%A9bec-3052737691?refId=0B59bXGfZP%2F5f%2BLpkVFaSQ%3D%3D&trackingId=IbS9dPO9Yr9ZeZwmmjt%2FSA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        action 2
      ",[]
8,title,company,location,link,description,[]
9,actor/actress,Calithumpians,Fredericton,https://glassdoor.ca/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018099298382a04662c559aedd84&src=GD_JOB_AD&t=SR&vt=w&cs=1_1ecb4dc4&cb=1651837076833&jobListingId=1007835504949&jrtk=3-0-1g2cij12or0ps801-1g2cij13b2hs3000-7b842a1f48e5c042-,"<div class=""tabSection p-std mt-0"" data-brandviews=""MODULE:n=jobListing-description:eid=0:jlid=1007835504949"" id=""JobDescriptionContainer""><style data-emotion-css=""1yuy9gt"">.css-1yuy9gt{display:-webkit-box;-webkit-line-clamp:10;-webkit-box-orient:vertical;overflow:hidden;}.css-1yuy9gt *{color:#505863;line-height:1.4em;}.css-1yuy9gt .ecgq1xb1{padding-left:0;}.css-1yuy9gt .ecgq1xb1 .ecgq1xb0{margin:0 0 8px 0;}.css-1yuy9gt ol,.css-1yuy9gt ul{padding-left:32px;}.css-1yuy9gt li{margin:10px;margin-bottom:5px;margin-left:20px;line-height:1.4em;}</style><div class=""css-1yuy9gt ecgq1xb4"" id=""JobDesc1007835504949""><style data-emotion-css=""58vpdc"">.css-58vpdc{margin-bottom:24px;}.css-58vpdc ul{margin:5px 0 10px 20px;}.css-58vpdc ul > br{display:none;}.css-58vpdc ul > li{margin-left:0;}.css-58vpdc li{padding:0;}</style><div class=""desc css-58vpdc ecgq1xb5""><div><h2 class=""jobSectionHeader""><b>Type of Acting</b></h2><ul><li>
Improvisational</li><li>
Dramatic arts</li><li>
Comedy - situational</li></ul><h2 class=""jobSectionHeader""><b>
Work Site Environment</b></h2><ul><li>
Outdoors</li></ul><h2 class=""jobSectionHeader""><b>
Work Conditions and Physical Capabilities</b></h2><ul><li>
Fast-paced environment</li><li>
Tight deadlines</li></ul><h2 class=""jobSectionHeader""><b>
Work Location Information</b></h2><ul><li>
Urban area</li></ul><h2 class=""jobSectionHeader""><b>
Actors and Comedians Specific Skills</b></h2><ul><li>
Portray roles in several productions</li><li>
Sing or dance</li><li>
Improvise a role</li></ul><h2 class=""jobSectionHeader""><b>
Personal Suitability</b></h2><ul><li>
Effective interpersonal skills</li><li>
Team player</li><li>
Excellent oral communication</li></ul><h2 class=""jobSectionHeader""><b>
Screening questions</b></h2><ul><li>
Are you currently legally able to work in Canada?</li><li>
Are you currently a student?</li><li>
What is your current level of study?</li></ul><h2 class=""jobSectionHeader""><b>
Student status</b></h2><ul><li>
Full time enrollment</li><li>
Part time enrollment</li></ul></div></div></div><style data-emotion-css=""1rzz8ht"">.css-1rzz8ht{color:#1861bf;cursor:pointer;font-size:16px;font-weight:700;margin:16px;text-align:center;}.css-1rzz8ht svg{height:12px;width:12px;}</style><div class=""css-1rzz8ht ecgq1xb2"">Show more<!-- --> <svg height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M4.4 9.25l7.386 7.523a1 1 0 0 0 1.428 0L20.6 9.25c.5-.509.5-1.324 0-1.833a1.261 1.261 0 0 0-1.8 0l-6.3 6.416-6.3-6.416a1.261 1.261 0 0 0-1.8 0c-.5.509-.5 1.324 0 1.833z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg></div></div>","['Effective interpersonal skills', 'Urban area', 'Are you currently legally able to work in Canada?', 'Dramatic arts', 'Full time enrollment', 'Excellent oral communication', 'Are you currently a student?', 'Sing or dance']"
