,title,company,location,link,description,skills
0,Horse Ambulance Driver,Woodbine Entertainment,"Etobicoke, Ontario, Canada",https://ca.linkedin.com/jobs/view/horse-ambulance-driver-at-woodbine-entertainment-3015172895?refId=i%2BfDi%2Bj4aAPopuyaQIvEQg%3D%3D&trackingId=j%2FA%2BE52Xdi%2Bn8szfdjwiFg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Our rich history is a big part of who we are. With historic roots dating back over 135 years, Woodbine is steeped in tradition. We have been the engine that drives the Ontario horse racing industry. From King’s and Queen’s trips to Canada, anniversaries and unforgettable horse races, we have been creating winning experiences for all our guests.<br><br>We are currently on an amazing 20-year journey to ‘build a city within a city’ and transform the largest privately held land in Toronto into one of Canada’s premiere entertainment destinations. This journey will unlock the value of approximately 700 acres of land, leading to job creation and the revitalization of our communities, while enhancing our ability to share the thrill of horse-racing and cementing our place as an entertainment powerhouse.<br><br>We need dedicated people to join our cause. Be part of Woodbine Entertainment and get inspired to make work awesome!<br><br>Our Values &amp; Beliefs<br><br>| WOW EVERY GUEST | OWN IT! | LISTEN &amp; CONNECT – PEOPLE MATTER | FUEL THE FUN &amp; PASS IT ON | TRUST IN OUR TEAM | #WE CARE | PURSUE YOUR POTENTIAL |BE BOLD| BE ALL IN |<br><br>Woodbine Entertainment is growing, and we are currently looking for a Horse Ambulance Driver who is customer-focused and committed to providing our guests with winning experiences!<br><br>This position will be responsible for loading injured horses onto the Horse Ambulance and transporting injured horses to the backstretch or hospital, or to preferred destination, using skill and caution in driving to avoid sudden motions detrimental to horses.<br><br>Our ideal candidate is going to have a strong passion to wow our guests, great communication skills, a friendly and outgoing attitude, be able to work in a fast-paced environment and be willing to maximize their potential. At Woodbine, the opportunities are endless, so come join a company that makes work awesome!<br><br><strong>Key Success Factors<br></strong><ul><li>Experience handling horses </li><li>Ability to deal with problems involving a few concrete variables in standardized situations</li><li>Have a minimum “G” class driver’s license</li><li>Possess or be able to obtain an AGCO License</li><li>Must be able to lift and/or move more than 100 pounds<br></li></ul>Guided by our Values and Beliefs, Woodbine Entertainment commits to providing an authentic and empowering work experience! Please reach out if you're ready to embrace change and be part of a new breed of experience while working for one of Canada’s certified Great Places to Work!
      ","['Experience handling horses', 'Must be able to lift and/or move more than 100 pounds', 'Have a minimum “G” class driver’s license']"
1,Summer Camp Medic,canaPHEM,"Ontario, Canada",https://ca.linkedin.com/jobs/view/summer-camp-medic-at-canaphem-3021253010?refId=i%2BfDi%2Bj4aAPopuyaQIvEQg%3D%3D&trackingId=K8UL8I%2BcAoyzeziiWvpBhQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Our rich history is a big part of who we are. With historic roots dating back over 135 years, Woodbine is steeped in tradition. We have been the engine that drives the Ontario horse racing industry. From King’s and Queen’s trips to Canada, anniversaries and unforgettable horse races, we have been creating winning experiences for all our guests.<br><br>We are currently on an amazing 20-year journey to ‘build a city within a city’ and transform the largest privately held land in Toronto into one of Canada’s premiere entertainment destinations. This journey will unlock the value of approximately 700 acres of land, leading to job creation and the revitalization of our communities, while enhancing our ability to share the thrill of horse-racing and cementing our place as an entertainment powerhouse.<br><br>We need dedicated people to join our cause. Be part of Woodbine Entertainment and get inspired to make work awesome!<br><br>Our Values &amp; Beliefs<br><br>| WOW EVERY GUEST | OWN IT! | LISTEN &amp; CONNECT – PEOPLE MATTER | FUEL THE FUN &amp; PASS IT ON | TRUST IN OUR TEAM | #WE CARE | PURSUE YOUR POTENTIAL |BE BOLD| BE ALL IN |<br><br>Woodbine Entertainment is growing, and we are currently looking for a Horse Ambulance Driver who is customer-focused and committed to providing our guests with winning experiences!<br><br>This position will be responsible for loading injured horses onto the Horse Ambulance and transporting injured horses to the backstretch or hospital, or to preferred destination, using skill and caution in driving to avoid sudden motions detrimental to horses.<br><br>Our ideal candidate is going to have a strong passion to wow our guests, great communication skills, a friendly and outgoing attitude, be able to work in a fast-paced environment and be willing to maximize their potential. At Woodbine, the opportunities are endless, so come join a company that makes work awesome!<br><br><strong>Key Success Factors<br></strong><ul><li>Experience handling horses </li><li>Ability to deal with problems involving a few concrete variables in standardized situations</li><li>Have a minimum “G” class driver’s license</li><li>Possess or be able to obtain an AGCO License</li><li>Must be able to lift and/or move more than 100 pounds<br></li></ul>Guided by our Values and Beliefs, Woodbine Entertainment commits to providing an authentic and empowering work experience! Please reach out if you're ready to embrace change and be part of a new breed of experience while working for one of Canada’s certified Great Places to Work!
      ","['Experience handling horses', 'Must be able to lift and/or move more than 100 pounds', 'Have a minimum “G” class driver’s license']"
2,Primary Care Paramedic,Ornge,"Timmins, Ontario, Canada",https://ca.linkedin.com/jobs/view/primary-care-paramedic-at-ornge-3033025538?refId=i%2BfDi%2Bj4aAPopuyaQIvEQg%3D%3D&trackingId=l6F2evg6dwZZztKB0ElxjQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Our rich history is a big part of who we are. With historic roots dating back over 135 years, Woodbine is steeped in tradition. We have been the engine that drives the Ontario horse racing industry. From King’s and Queen’s trips to Canada, anniversaries and unforgettable horse races, we have been creating winning experiences for all our guests.<br><br>We are currently on an amazing 20-year journey to ‘build a city within a city’ and transform the largest privately held land in Toronto into one of Canada’s premiere entertainment destinations. This journey will unlock the value of approximately 700 acres of land, leading to job creation and the revitalization of our communities, while enhancing our ability to share the thrill of horse-racing and cementing our place as an entertainment powerhouse.<br><br>We need dedicated people to join our cause. Be part of Woodbine Entertainment and get inspired to make work awesome!<br><br>Our Values &amp; Beliefs<br><br>| WOW EVERY GUEST | OWN IT! | LISTEN &amp; CONNECT – PEOPLE MATTER | FUEL THE FUN &amp; PASS IT ON | TRUST IN OUR TEAM | #WE CARE | PURSUE YOUR POTENTIAL |BE BOLD| BE ALL IN |<br><br>Woodbine Entertainment is growing, and we are currently looking for a Horse Ambulance Driver who is customer-focused and committed to providing our guests with winning experiences!<br><br>This position will be responsible for loading injured horses onto the Horse Ambulance and transporting injured horses to the backstretch or hospital, or to preferred destination, using skill and caution in driving to avoid sudden motions detrimental to horses.<br><br>Our ideal candidate is going to have a strong passion to wow our guests, great communication skills, a friendly and outgoing attitude, be able to work in a fast-paced environment and be willing to maximize their potential. At Woodbine, the opportunities are endless, so come join a company that makes work awesome!<br><br><strong>Key Success Factors<br></strong><ul><li>Experience handling horses </li><li>Ability to deal with problems involving a few concrete variables in standardized situations</li><li>Have a minimum “G” class driver’s license</li><li>Possess or be able to obtain an AGCO License</li><li>Must be able to lift and/or move more than 100 pounds<br></li></ul>Guided by our Values and Beliefs, Woodbine Entertainment commits to providing an authentic and empowering work experience! Please reach out if you're ready to embrace change and be part of a new breed of experience while working for one of Canada’s certified Great Places to Work!
      ","['Experience handling horses', 'Must be able to lift and/or move more than 100 pounds', 'Have a minimum “G” class driver’s license']"
3,Advanced Care Paramedics (For the Position of CCP Recruit),Ornge,"Ontario, Canada",https://ca.linkedin.com/jobs/view/advanced-care-paramedics-for-the-position-of-ccp-recruit-at-ornge-3016377322?refId=i%2BfDi%2Bj4aAPopuyaQIvEQg%3D%3D&trackingId=EwR0YJhwfIyUnk3bdf0gCA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Our rich history is a big part of who we are. With historic roots dating back over 135 years, Woodbine is steeped in tradition. We have been the engine that drives the Ontario horse racing industry. From King’s and Queen’s trips to Canada, anniversaries and unforgettable horse races, we have been creating winning experiences for all our guests.<br><br>We are currently on an amazing 20-year journey to ‘build a city within a city’ and transform the largest privately held land in Toronto into one of Canada’s premiere entertainment destinations. This journey will unlock the value of approximately 700 acres of land, leading to job creation and the revitalization of our communities, while enhancing our ability to share the thrill of horse-racing and cementing our place as an entertainment powerhouse.<br><br>We need dedicated people to join our cause. Be part of Woodbine Entertainment and get inspired to make work awesome!<br><br>Our Values &amp; Beliefs<br><br>| WOW EVERY GUEST | OWN IT! | LISTEN &amp; CONNECT – PEOPLE MATTER | FUEL THE FUN &amp; PASS IT ON | TRUST IN OUR TEAM | #WE CARE | PURSUE YOUR POTENTIAL |BE BOLD| BE ALL IN |<br><br>Woodbine Entertainment is growing, and we are currently looking for a Horse Ambulance Driver who is customer-focused and committed to providing our guests with winning experiences!<br><br>This position will be responsible for loading injured horses onto the Horse Ambulance and transporting injured horses to the backstretch or hospital, or to preferred destination, using skill and caution in driving to avoid sudden motions detrimental to horses.<br><br>Our ideal candidate is going to have a strong passion to wow our guests, great communication skills, a friendly and outgoing attitude, be able to work in a fast-paced environment and be willing to maximize their potential. At Woodbine, the opportunities are endless, so come join a company that makes work awesome!<br><br><strong>Key Success Factors<br></strong><ul><li>Experience handling horses </li><li>Ability to deal with problems involving a few concrete variables in standardized situations</li><li>Have a minimum “G” class driver’s license</li><li>Possess or be able to obtain an AGCO License</li><li>Must be able to lift and/or move more than 100 pounds<br></li></ul>Guided by our Values and Beliefs, Woodbine Entertainment commits to providing an authentic and empowering work experience! Please reach out if you're ready to embrace change and be part of a new breed of experience while working for one of Canada’s certified Great Places to Work!
      ","['Experience handling horses', 'Must be able to lift and/or move more than 100 pounds', 'Have a minimum “G” class driver’s license']"
4,INFORMATION TECHNOLOGY SYSTEMS OFFICER (1),Government and Consumer Services | Services gouvernementaux et Services aux consommateurs,"Ottawa, Ontario, Canada",https://ca.linkedin.com/jobs/view/information-technology-systems-officer-1-at-government-and-consumer-services-services-gouvernementaux-et-services-aux-consommateurs-3046882356?refId=i%2BfDi%2Bj4aAPopuyaQIvEQg%3D%3D&trackingId=DzJjkdgkFkOri3NZI2ly%2Bw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Our rich history is a big part of who we are. With historic roots dating back over 135 years, Woodbine is steeped in tradition. We have been the engine that drives the Ontario horse racing industry. From King’s and Queen’s trips to Canada, anniversaries and unforgettable horse races, we have been creating winning experiences for all our guests.<br><br>We are currently on an amazing 20-year journey to ‘build a city within a city’ and transform the largest privately held land in Toronto into one of Canada’s premiere entertainment destinations. This journey will unlock the value of approximately 700 acres of land, leading to job creation and the revitalization of our communities, while enhancing our ability to share the thrill of horse-racing and cementing our place as an entertainment powerhouse.<br><br>We need dedicated people to join our cause. Be part of Woodbine Entertainment and get inspired to make work awesome!<br><br>Our Values &amp; Beliefs<br><br>| WOW EVERY GUEST | OWN IT! | LISTEN &amp; CONNECT – PEOPLE MATTER | FUEL THE FUN &amp; PASS IT ON | TRUST IN OUR TEAM | #WE CARE | PURSUE YOUR POTENTIAL |BE BOLD| BE ALL IN |<br><br>Woodbine Entertainment is growing, and we are currently looking for a Horse Ambulance Driver who is customer-focused and committed to providing our guests with winning experiences!<br><br>This position will be responsible for loading injured horses onto the Horse Ambulance and transporting injured horses to the backstretch or hospital, or to preferred destination, using skill and caution in driving to avoid sudden motions detrimental to horses.<br><br>Our ideal candidate is going to have a strong passion to wow our guests, great communication skills, a friendly and outgoing attitude, be able to work in a fast-paced environment and be willing to maximize their potential. At Woodbine, the opportunities are endless, so come join a company that makes work awesome!<br><br><strong>Key Success Factors<br></strong><ul><li>Experience handling horses </li><li>Ability to deal with problems involving a few concrete variables in standardized situations</li><li>Have a minimum “G” class driver’s license</li><li>Possess or be able to obtain an AGCO License</li><li>Must be able to lift and/or move more than 100 pounds<br></li></ul>Guided by our Values and Beliefs, Woodbine Entertainment commits to providing an authentic and empowering work experience! Please reach out if you're ready to embrace change and be part of a new breed of experience while working for one of Canada’s certified Great Places to Work!
      ","['Experience handling horses', 'Must be able to lift and/or move more than 100 pounds', 'Have a minimum “G” class driver’s license']"
5,"Emergency Responder, Disaster Management",Canadian Red Cross,"Ottawa, Ontario, Canada",https://ca.linkedin.com/jobs/view/emergency-responder-disaster-management-at-canadian-red-cross-2971556028?refId=i%2BfDi%2Bj4aAPopuyaQIvEQg%3D%3D&trackingId=FLts5qMlOpc7F%2B12Ej8Vhg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Our rich history is a big part of who we are. With historic roots dating back over 135 years, Woodbine is steeped in tradition. We have been the engine that drives the Ontario horse racing industry. From King’s and Queen’s trips to Canada, anniversaries and unforgettable horse races, we have been creating winning experiences for all our guests.<br><br>We are currently on an amazing 20-year journey to ‘build a city within a city’ and transform the largest privately held land in Toronto into one of Canada’s premiere entertainment destinations. This journey will unlock the value of approximately 700 acres of land, leading to job creation and the revitalization of our communities, while enhancing our ability to share the thrill of horse-racing and cementing our place as an entertainment powerhouse.<br><br>We need dedicated people to join our cause. Be part of Woodbine Entertainment and get inspired to make work awesome!<br><br>Our Values &amp; Beliefs<br><br>| WOW EVERY GUEST | OWN IT! | LISTEN &amp; CONNECT – PEOPLE MATTER | FUEL THE FUN &amp; PASS IT ON | TRUST IN OUR TEAM | #WE CARE | PURSUE YOUR POTENTIAL |BE BOLD| BE ALL IN |<br><br>Woodbine Entertainment is growing, and we are currently looking for a Horse Ambulance Driver who is customer-focused and committed to providing our guests with winning experiences!<br><br>This position will be responsible for loading injured horses onto the Horse Ambulance and transporting injured horses to the backstretch or hospital, or to preferred destination, using skill and caution in driving to avoid sudden motions detrimental to horses.<br><br>Our ideal candidate is going to have a strong passion to wow our guests, great communication skills, a friendly and outgoing attitude, be able to work in a fast-paced environment and be willing to maximize their potential. At Woodbine, the opportunities are endless, so come join a company that makes work awesome!<br><br><strong>Key Success Factors<br></strong><ul><li>Experience handling horses </li><li>Ability to deal with problems involving a few concrete variables in standardized situations</li><li>Have a minimum “G” class driver’s license</li><li>Possess or be able to obtain an AGCO License</li><li>Must be able to lift and/or move more than 100 pounds<br></li></ul>Guided by our Values and Beliefs, Woodbine Entertainment commits to providing an authentic and empowering work experience! Please reach out if you're ready to embrace change and be part of a new breed of experience while working for one of Canada’s certified Great Places to Work!
      ","['Experience handling horses', 'Must be able to lift and/or move more than 100 pounds', 'Have a minimum “G” class driver’s license']"
6,Commander- Community Paramedic,City Of Guelph,"Guelph, Ontario, Canada",https://ca.linkedin.com/jobs/view/commander-community-paramedic-at-city-of-guelph-3057605643?refId=i%2BfDi%2Bj4aAPopuyaQIvEQg%3D%3D&trackingId=YHbiLZ5ipkQFd9cCb3qpkw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Our rich history is a big part of who we are. With historic roots dating back over 135 years, Woodbine is steeped in tradition. We have been the engine that drives the Ontario horse racing industry. From King’s and Queen’s trips to Canada, anniversaries and unforgettable horse races, we have been creating winning experiences for all our guests.<br><br>We are currently on an amazing 20-year journey to ‘build a city within a city’ and transform the largest privately held land in Toronto into one of Canada’s premiere entertainment destinations. This journey will unlock the value of approximately 700 acres of land, leading to job creation and the revitalization of our communities, while enhancing our ability to share the thrill of horse-racing and cementing our place as an entertainment powerhouse.<br><br>We need dedicated people to join our cause. Be part of Woodbine Entertainment and get inspired to make work awesome!<br><br>Our Values &amp; Beliefs<br><br>| WOW EVERY GUEST | OWN IT! | LISTEN &amp; CONNECT – PEOPLE MATTER | FUEL THE FUN &amp; PASS IT ON | TRUST IN OUR TEAM | #WE CARE | PURSUE YOUR POTENTIAL |BE BOLD| BE ALL IN |<br><br>Woodbine Entertainment is growing, and we are currently looking for a Horse Ambulance Driver who is customer-focused and committed to providing our guests with winning experiences!<br><br>This position will be responsible for loading injured horses onto the Horse Ambulance and transporting injured horses to the backstretch or hospital, or to preferred destination, using skill and caution in driving to avoid sudden motions detrimental to horses.<br><br>Our ideal candidate is going to have a strong passion to wow our guests, great communication skills, a friendly and outgoing attitude, be able to work in a fast-paced environment and be willing to maximize their potential. At Woodbine, the opportunities are endless, so come join a company that makes work awesome!<br><br><strong>Key Success Factors<br></strong><ul><li>Experience handling horses </li><li>Ability to deal with problems involving a few concrete variables in standardized situations</li><li>Have a minimum “G” class driver’s license</li><li>Possess or be able to obtain an AGCO License</li><li>Must be able to lift and/or move more than 100 pounds<br></li></ul>Guided by our Values and Beliefs, Woodbine Entertainment commits to providing an authentic and empowering work experience! Please reach out if you're ready to embrace change and be part of a new breed of experience while working for one of Canada’s certified Great Places to Work!
      ","['Experience handling horses', 'Must be able to lift and/or move more than 100 pounds', 'Have a minimum “G” class driver’s license']"
7,Site Superintendent,"""Construction Management""","Mississauga, Ontario, Canada",https://ca.linkedin.com/jobs/view/site-superintendent-at-construction-management-3064771535?refId=i%2BfDi%2Bj4aAPopuyaQIvEQg%3D%3D&trackingId=mPa0FtBFtfZ9ZxRBaU%2B2dA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Our rich history is a big part of who we are. With historic roots dating back over 135 years, Woodbine is steeped in tradition. We have been the engine that drives the Ontario horse racing industry. From King’s and Queen’s trips to Canada, anniversaries and unforgettable horse races, we have been creating winning experiences for all our guests.<br><br>We are currently on an amazing 20-year journey to ‘build a city within a city’ and transform the largest privately held land in Toronto into one of Canada’s premiere entertainment destinations. This journey will unlock the value of approximately 700 acres of land, leading to job creation and the revitalization of our communities, while enhancing our ability to share the thrill of horse-racing and cementing our place as an entertainment powerhouse.<br><br>We need dedicated people to join our cause. Be part of Woodbine Entertainment and get inspired to make work awesome!<br><br>Our Values &amp; Beliefs<br><br>| WOW EVERY GUEST | OWN IT! | LISTEN &amp; CONNECT – PEOPLE MATTER | FUEL THE FUN &amp; PASS IT ON | TRUST IN OUR TEAM | #WE CARE | PURSUE YOUR POTENTIAL |BE BOLD| BE ALL IN |<br><br>Woodbine Entertainment is growing, and we are currently looking for a Horse Ambulance Driver who is customer-focused and committed to providing our guests with winning experiences!<br><br>This position will be responsible for loading injured horses onto the Horse Ambulance and transporting injured horses to the backstretch or hospital, or to preferred destination, using skill and caution in driving to avoid sudden motions detrimental to horses.<br><br>Our ideal candidate is going to have a strong passion to wow our guests, great communication skills, a friendly and outgoing attitude, be able to work in a fast-paced environment and be willing to maximize their potential. At Woodbine, the opportunities are endless, so come join a company that makes work awesome!<br><br><strong>Key Success Factors<br></strong><ul><li>Experience handling horses </li><li>Ability to deal with problems involving a few concrete variables in standardized situations</li><li>Have a minimum “G” class driver’s license</li><li>Possess or be able to obtain an AGCO License</li><li>Must be able to lift and/or move more than 100 pounds<br></li></ul>Guided by our Values and Beliefs, Woodbine Entertainment commits to providing an authentic and empowering work experience! Please reach out if you're ready to embrace change and be part of a new breed of experience while working for one of Canada’s certified Great Places to Work!
      ","['Experience handling horses', 'Must be able to lift and/or move more than 100 pounds', 'Have a minimum “G” class driver’s license']"
8,title,company,location,link,description,[]
9,Delivery Driver- NAPA 123,NAPA Auto Parts,"Edmonton, AB+3 locations",https://ca.indeed.com/rc/clk?jk=86b8758c9377b02a&fccid=3cb85b9ae156e8d0&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<div>
  Company Description
  <p><b><br/> Our drivers have important missions everyday</b><br/> <br/> Whatever division you join, you are a crucial part of our team. When we deliver parts, we are helping a parent be on time at the daycare, an ambulance get back on the road quickly or a truck deliver produce to a Canadian community on time. That is why we say we keep Canadians moving <b>forward</b>.<br/> <br/> The impact our Drivers make is undeniable!<br/> <br/> Join a special kind of workplace. We have the experience and strength of our 100-year legacy and the desire to always do better for our team members and clients. Our 5000 colleagues proudly serve thousands of customers every day across Canada.<br/> <br/> Get to work with great people, use the company car, have a stable schedule, and foremost help your community.<br/> <br/> If the hat fits, we’d be proud to have you wear it! Send us your resume and join a people-centric company with a reputation of excellence.</p>
</div>
<br/>
<div>
  Job Description
  <p><br/> Are you a car enthusiast looking for an exciting career opportunity? Get behind the wheel and deliver vehicle parts to our customers! Take pride in wearing our uniform and driving our vehicles as you work in a dynamic and stimulating environment.</p>
<p> Our drivers are courteous, efficient, safe, and organized. We insist that all our drivers be careful on the road. At NAPA OR Traction, your safety is our priority!</p>
<p> We offer a range of attractive benefits and corporate discounts, as well as training throughout your career to support and guide your professional development. Visit our Career website for the complete list of our benefits and perks!</p>
</div>
<br/>
<div>
  Qualifications
  <p><br/> To join our team, you need:</p>
<ul>
<li> Valid driver’s license · One year of related work experience in automotive or heavy vehicle parts</li>
<li> Able to lift up to 80lbs.</li>
<li> Priority management</li>
<li> Communication and listening skills</li>
<li> Teamwork and excellent customer service skills</li>
</ul>
<br/> Additional Information
  <div></div>
<p><br/> UAP is a diverse community that promotes inclusion and respect. The sum of our individual differences, experiences, knowledge, self-expression, unique capabilities, and talents, represents the richness of our culture. During the selection process, let us know if you need any accommodations. This information will be kept entirely confidential and will only be used to ensure you have a fair and pleasant experience with us<br/> <br/> We will contact you as soon as possible if we think we have the hat for you!</p>
</div>
</div>","['Are you a car enthusiast looking for an exciting career opportunity? Get behind the wheel and deliver vehicle parts to our customers! Take pride in wearing our uniform and driving our vehicles as you work in a dynamic and stimulating environment.', 'Able to lift up to 80lbs.', 'Valid driver’s license · One year of related work experience in automotive or heavy vehicle parts', 'We offer a range of attractive benefits and corporate discounts, as well as training throughout your career to support and guide your professional development. Visit our Career website for the complete list of our benefits and perks!']"
