,title,company,location,link,description,skills
0,Designer Graphique,Procom,"Montréal, QC",https://www.monster.ca/job-openings/designer-graphique-montr%C3%A9al-10--6a01f987-7002-4ab4-b0cb-b6d3b26496e5?sid=deb47db4-4d07-4522-b402-b2471dd16a54&jvo=m.ga.sc.1&_ga=2.26931389.1437831847.1651868408-2076594688.1651868408&hidesmr=1,"<section class=""cached-bot-fjv-skeletonstyle__CachedSkeletonDescription-sc-gqtazs-0 gbrdjA""><p><b>Client ID: 5211</b></p><p><strong>Designer Graphique</strong></p><p>Dans le cadre de ses ententes avec ses différents clients, Procom est actuellement à la recherche d’un Designer Graphique pour une entreprise dans le domaine bancaire. Notre client est situé à Montréal.</p><p><br/><strong>Description des tâches et responsabilités – Designer Graphique</strong></p><p>Les responsabilités du poste incluent :</p><p>- Concevoir et décliner des concepts visuels (campagnes publicitaires et promotionnelles ou autres initiatives) adaptés à différents supports numériques et imprimés (bannières Web, médias sociaux, brochures, etc.);<br/>- Produire des pièces de contenu marketing selon les gabarits et grilles graphiques établis (livres électroniques, infographies, études etc.);<br/>- Concevoir ou produire des outils de communication ou du matériel promotionnel en utilisant les divers gabarits établis (présentations PPT, brochures, formulaires, etc.);<br/>- Participer aux séances de remue-méninges pour développer des concepts précis et faire évoluer la marque;<br/>- Travailler en étroite collaboration avec les autres membres de l'équipe créative et les différentes équipes internes.</p><p><br/><strong>Exigences du poste – Designer Graphique</strong></p><p>- Minimum de trois années d’expérience pertinente en agence ou en entreprise;<br/>- Excellente maîtrise d’In Design, de Photoshop et d’Illustrator;<br/>- Connaissance des meilleure pratiques médias sociaux et publicités;<br/>- DEC en graphisme ou en infographie OU expérience équivalente;<br/>- Connaissance de html5 ou de l’animation graphique (un atout);<br/>- Rigueur et rapidité d'exécution;<br/>- Créativité, sens de l'esthétisme et dynamisme;<br/>- Grand souci du détail;<br/>- Capacité à gérer plusieurs projets en même temps, le tout en établissant l’ordre de priorité de la charge de travail pour respecter des échéanciers serrés;<br/>- Capacité à travailler sous pression;<br/>- Maîtrise du français et de l’anglais.</p><p><br/><strong>Type de poste</strong><br/>Contractuel 12 mois avec de fortes possibilités de renouvellement.</p><p><strong>Date de début</strong><br/>Immédiatement</p><p><strong>Numéro de référence</strong><br/>BH338286</p></section>",[]
1,7294 - Painters,Central Painting Inc,"Barrie, ON",https://www.monster.ca/job-openings/7294-painters-barrie-08--84bed0e1-3558-4c82-87e2-8c76ec83755d?sid=deb47db4-4d07-4522-b402-b2471dd16a54&jvo=m.ga.sc.2&_ga=2.26931389.1437831847.1651868408-2076594688.1651868408&hidesmr=1,"<section class=""cached-bot-fjv-skeletonstyle__CachedSkeletonDescription-sc-gqtazs-0 gbrdjA""><table><tbody><tr><td><table><tbody><tr><td><p><strong>7294 - Painters</strong></p><p><strong> </strong></p><p><strong> </strong></p><p><strong>Estimate costs and materials, Prepare, clean and sand surfaces to be painted, Repair cracks and holes, Mix paint to desired colour and texture, Measure, cut and apply wallpaper and other fabric to walls, Advise consumers on colours and choice of wall coverings, Erect scaffolding and swing stages and attach rigging, Apply paint, wallpaper and other materials and finishes to interior and exterior surfaces</strong></p><p><strong> </strong></p><p><strong>Education: No degree, certificate or diploma</strong></p><p><strong> </strong></p><p><strong>Experience: 1 year to less than 2 years</strong></p><p><strong> </strong></p><p><strong>Salary: $25.00 per hour</strong></p><p><strong> </strong></p><p><strong>40 Hours per week</strong></p><p><strong> </strong></p><p><strong>Terms of employment: Permanent, Full Time</strong></p><p><strong> </strong></p><p><strong>Language: English</strong></p><p><strong>HOW TO APPLY:</strong></p><p><strong>By Email</strong></p><p><strong>careers@centralpainting.com</strong></p><p><strong>By Mail</strong></p><p><strong>761 Bayview Drive</strong></p><p><strong>Barrie, ON</strong></p><p><strong>L4N 9A5</strong></p><p><strong> </strong></p><p><strong>James Kell</strong></p><p><strong>Central Painting</strong></p><p><strong>Barrie, ON</strong></p></td></tr></tbody></table></td></tr></tbody></table></section>","['Experience: 1 year to less than 2 years', 'L4N 9A5', 'Estimate costs and materials, Prepare, clean and sand surfaces to be painted, Repair cracks and holes, Mix paint to desired colour and texture, Measure, cut and apply wallpaper and other fabric to walls, Advise consumers on colours and choice of wall coverings, Erect scaffolding and swing stages and attach rigging, Apply paint, wallpaper and other materials and finishes to interior and exterior surfaces']"
2,Painter,Stream-Flo Industries/Master Flo Valve,"Edmonton, AB",https://www.monster.ca/job-openings/painter-edmonton-01--694c3cdc-11e3-4de6-8d37-241203ff0f33?sid=deb47db4-4d07-4522-b402-b2471dd16a54&jvo=m.ga.sc.3&_ga=2.26931389.1437831847.1651868408-2076594688.1651868408&hidesmr=1,"<section class=""cached-bot-fjv-skeletonstyle__CachedSkeletonDescription-sc-gqtazs-0 gbrdjA""><p><strong> </strong></p><p><strong>Responsibilities:</strong></p><ul><li>Perform all functions pertaining to the painting of valves as per the production standards or work instructions provided.</li><li>Participate in coordinating work schedule for Paint and Prep area.</li></ul><p style=""padding-left:30px""><em> Duties Include:</em></p><ul><li>Prepare products for painting and paint products as per applicable Production standards and Work Instructions.</li><li>Sandblast product as required.</li><li>Ensure adherence to quality control standards.</li><li>Maintain cleanliness of painting and blasting area.</li><li>Maintenance of equipment.</li><li>Perform other duties as required.</li></ul><p><strong>Qualifications:</strong></p><ul><li>Two or more years of industrial painting experience (manufacturing environment preferred)</li><li>Experience using Epoxy coatings</li><li>WHIMS knowledge and training</li><li>Forklift and Crane Training</li><li>Strong interpersonal skills and capable of working with minimal supervision</li><li>Solid work ethic and the ability to work effectively in a team environment</li><li>A commitment to workplace health and safety and quality policy and objectives</li></ul><p>Master Flo offers a competitive salary, profit sharing and a comprehensive benefit program to prospective employees, as well as the opportunity to work in an entrepreneurial environment, characterized by continued growth and strong business results.</p><p>We thank all applicants for their interest. However only those candidates identified for further consideration will be contacted.</p></section>","['Perform other duties as required.', 'Two or more years of industrial painting experience (manufacturing environment preferred)', 'Strong interpersonal skills and capable of working with minimal supervision', 'Forklift and Crane Training', 'Perform all functions pertaining to the painting of valves as per the production standards or work instructions provided.', 'Sandblast product as required.', 'Participate in coordinating work schedule for Paint and Prep area.', 'Ensure adherence to quality control standards.', 'Experience using Epoxy coatings', 'Duties Include:', 'Maintain cleanliness of painting and blasting area.', 'Prepare products for painting and paint products as per applicable Production standards and Work Instructions.', 'We thank all applicants for their interest. However only those candidates identified for further consideration will be contacted.', 'Solid work ethic and the ability to work effectively in a team environment']"
3,Designer graphique,T.E.S. Employment Solution,"Montreal, QC",https://www.monster.ca/job-openings/designer-graphique-montr%C3%A9al-10--671d7b63-496e-4c78-84ac-aec5946c4092?sid=deb47db4-4d07-4522-b402-b2471dd16a54&jvo=m.ga.sc.4&_ga=2.26931389.1437831847.1651868408-2076594688.1651868408&hidesmr=1,"<section class=""cached-bot-fjv-skeletonstyle__CachedSkeletonDescription-sc-gqtazs-0 gbrdjA""><div><strong>Reference Code:</strong> IT044596 </div><br/><h4>Details and Requirements:</h4><div><p>Notre client?est à la recherche d’un/e ou d’une designer graphique?pour son équipe créative interne. Le/la candidat/e choisi/e sera responsable de concevoir et de produire divers outils de communication ou tout autre matériel de promotion (de la marque, de nos produits et services, de certaines initiatives, etc.). La personne retenue devra veiller à l’application des lignes directrices de la marque, et contribuer à la cohérence des initiatives marketing.<br/><br/>Durée : 12 mois<br/>Possibilité de renouvellement du mandat: À déterminer<br/>Possibilité de conversation en poste permanent: Non<br/>Responsabilités<br/>• Concevoir et décliner des concepts visuels (campagnes publicitaires et promotionnelles ou autres initiatives) adaptés à différents supports numériques et imprimés (bannières Web, médias sociaux, brochures, etc.);<br/>• Produire des pièces de contenu marketing selon les gabarits et grilles graphiques établis (livres électroniques, infographies, études etc.);<br/>• Concevoir ou produire des outils de communication ou du matériel promotionnel en utilisant les divers gabarits établis (présentations PPT, brochures, formulaires, etc.);<br/>• Participer aux séances de remue-méninges pour développer des concepts précis et faire évoluer la marque;<br/>• Travailler en étroite collaboration avec les autres membres de l'équipe créative et les différentes équipes internes.<br/>Exigences<br/>Expérience professionnelle<br/>• Mimimum de 3 années d’experience en agence ou en entreprise<br/><br/>Études<br/>• D.E.C. en graphisme ou en infographie (ou l’équivalent).<br/><br/>Connaissances et compétences<br/>• Excellente maîtrise d’In Design, de Photoshop et d’Illustrator.<br/>• Connaissance des meilleure pratiques médias sociaux et publicités.<br/>• Expérience en édition un atout.<br/>• Connaissance de html5 ou de l’animation graphique, un atout.<br/><br/><br/>Compétences générales<br/>• Rigueur et rapidité d'exécution.<br/>• Créativité, sens de l'esthétisme et dynamisme.<br/>• Grande attention aux souci du détails.<br/>• Capacité à gérer plusieurs projets en même temps, le to</p></div></section>",[]
4,Illustrator,Secret Location,"ON, ON",https://www.monster.ca/job-openings/illustrator--db4e45e7-eec9-4f23-b3a8-34b88591a70f?sid=deb47db4-4d07-4522-b402-b2471dd16a54&jvo=m.go.sc.5&_ga=2.26931389.1437831847.1651868408-2076594688.1651868408&hidesmr=1,"<section class=""cached-bot-fjv-skeletonstyle__CachedSkeletonDescription-sc-gqtazs-0 gbrdjA""><p>Secret Location's <strong>Digital Preschool</strong> division is an empowered product team which values communication, collaboration, and fun. Our primary goal and purpose is to create preschool apps that boost meaningful screen time for children, parents, and caregivers. As part of the larger eOne and Hasbro family, our digital brand portfolio includes the widely popular preschool app World of Peppa Pig, which has claimed the #1 spot in its category in over 20 countries since launch, as well as superhero hit PJ Masks: Hero Academy.  </p><p><strong>About the job</strong>  </p><p>Secret Location is hiring a <strong>2D Illustrator / Animator </strong>who will work closely with product teams on numerous mobile apps to assist and develop digital learning experiences for preschoolers. Using your solid knowledge of illustration and animation and your ability to adapt to different artistic styles, you will be instrumental in delivering outstanding preschool games and apps.  </p><p>Working with the Creative Director on the creative team, the role will collaborate with other team members to craft and deliver amazing mobile application experiences.  </p><p><strong>Why would you want to work with us?</strong> </p><p>We are going to have a whole lot of fun! As a <strong>2D Illustrator / Animator, </strong>you'll become an integral member of the creative team crafting games and activities with a hardworking group. You'll be empowered to turn the creative strategy into fun, engaging, and relevant games for preschoolers! </p><p><strong>Responsibilities:</strong> </p><ul><li>Create visual designs and illustrations for content and align to brand style guides. </li><li>Work with the team to create age-appropriate game-based experiences. </li><li>Work cross-functionally with product design to create a seamless and pleasant and age-appropriate user experience </li></ul><ul><li>Collaborate with the product team to develop/plan and implement engaging learning experiences that align with business and product objectives. </li><li>Create 2D animations for games and activities. </li><li>Perform visual design audits, as needed. </li><li>Stay current on trends and methodologies designing for children, as well as relevant competitors' products. </li><li>Outstanding communication skills, especially in writing, with an emphasis on clarity, organization, and precision </li></ul><p><strong>Required Qualifications</strong> </p><ul><li>Bachelor's degree or College diploma in design or related field (or sufficient professional experience). </li><li>Portfolio that includes animation samples and illustrations and design samples from web or mobile games. </li><li>Experience using a variety of design tools and principles. </li></ul><p><strong>You get a gold star if you...</strong> </p><ul><li>Have experience designing for preschool-aged children at different developmental stages. </li></ul><p>Secret Location is committed to equality of opportunity in all aspects of employment. We are committed to making all employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, marital status, or any other legally protected status. If you are contacted for a job opportunity, please advise us of any accommodation needed to ensure you have access to a fair and equitable process. </p><p>We thank everyone for their interest but only those candidates selected for an interview will be contacted. </p><p>We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation. </p><p></p><p></p></section>","['Outstanding communication skills, especially in writing, with an emphasis on clarity, organization, and precision', 'Secret Location is hiring a 2D Illustrator / Animator who will work closely with product teams on numerous mobile apps to assist and develop digital learning experiences for preschoolers. Using your solid knowledge of illustration and animation and your ability to adapt to different artistic styles, you will be instrumental in delivering outstanding preschool games and apps.', ""Stay current on trends and methodologies designing for children, as well as relevant competitors' products."", 'Experience using a variety of design tools and principles.', 'Working with the Creative Director on the creative team, the role will collaborate with other team members to craft and deliver amazing mobile application experiences.', 'Have experience designing for preschool-aged children at different developmental stages.', 'Perform visual design audits, as needed.', 'Work cross-functionally with product design to create a seamless and pleasant and age-appropriate user experience', 'Work with the team to create age-appropriate game-based experiences.', 'Create 2D animations for games and activities.', ""We are going to have a whole lot of fun! As a 2D Illustrator / Animator, you'll become an integral member of the creative team crafting games and activities with a hardworking group. You'll be empowered to turn the creative strategy into fun, engaging, and relevant games for preschoolers!"", 'Collaborate with the product team to develop/plan and implement engaging learning experiences that align with business and product objectives.', 'You get a gold star if you...', 'Create visual designs and illustrations for content and align to brand style guides.', ""Bachelor's degree or College diploma in design or related field (or sufficient professional experience).""]"
5,Painter,Tri-City Sandblasting,"BC, BC",https://www.monster.ca/job-openings/painter--894d1ed5-cfa6-44d3-908c-a007088ba73e?sid=deb47db4-4d07-4522-b402-b2471dd16a54&jvo=m.go.sc.6&_ga=2.26931389.1437831847.1651868408-2076594688.1651868408&hidesmr=1,"<section class=""cached-bot-fjv-skeletonstyle__CachedSkeletonDescription-sc-gqtazs-0 gbrdjA""><p>Tri-City Sandblasting is looking to hire an industrial/shop painter that is experienced and self motivated who can achieve NACE standards.</p><p><strong><u>Qualifications</u></strong></p><ul><li> NACE certification is an asset</li><li> 3 years painting experience </li><li> Knowledge with all paint types</li><li> Experience with all spraying equipment </li><li> Ability to achieve desired paint Mil spec </li><li> Ability to handle physical workload (lift minimum 50 lbs)</li><li> Strong work ethic</li><li> Self-motivated with a positive attitude</li></ul><p><strong><u>Responsibilities</u></strong></p><ul><li> Paint shop cleaning/maintenance </li><li> Masking</li><li> Prepping products</li></ul><p>Job Type: Full-time, Permanent</p><p><strong><u>Work Hours</u></strong>: Monday – Friday 7:30am – 4:00pm</p><p>Location: Port Coquitlam</p><p><strong><u>Wage</u></strong>: Based on experience </p></section>","['Self-motivated with a positive attitude', '3 years painting experience', 'Wage: Based on experience', 'Prepping products', 'Experience with all spraying equipment', 'Masking']"
6,Materials Artist,DONTNOD Montréal,Montréal,https://www.monster.ca/job-openings/materials-artist-montr%C3%A9al-10--e7c1b353-efd1-49c4-b3ba-1084d4d3c730?sid=deb47db4-4d07-4522-b402-b2471dd16a54&jvo=m.go.sc.7&_ga=2.26931389.1437831847.1651868408-2076594688.1651868408&hidesmr=1,"<section class=""cached-bot-fjv-skeletonstyle__CachedSkeletonDescription-sc-gqtazs-0 gbrdjA"">Company Description<br/><br/><p>Created in 2008, DONTNOD is an independent French studio which creates and develop AA games in various genres : adventure (<em>Life is Strange</em>, <em>Tell Me Why</em>, <em>Twin Mirror</em>), action (<em>Remember Me</em>) and RPG (<em>Vampyr</em>). Each new game is an original creation with unique narrative gameplay experience and game mechanics.</p><p>In 2020, DONTNOD expanded internationally by creating its first branch in Montreal.</p>Job Description<br/><br/><p><strong><em>Why join us?</em></strong></p><ul><li>You're interested in participating in the creation of a Substance team within DONTNOD whose objective will be to improve the efficiency of our production chain and the graphic quality of our games;</li><li>You want to join a diverse and committed team, both in its culture and in the content of the games it creates;</li><li>You're looking for an opportunity to work directly with all production teams in Paris and Montreal;</li><li>You want to join an innovative studio with a rich and unique management structure.</li></ul><p><strong><em>What you'll be doing?</em></strong></p><p>As part of the development of one of our projects, DONTNOD is looking for a Materials Artist to strengthen the Substance team present in Paris and Montreal.</p><p>Under the Substance Lead, your role will be to create the materials for all of our games through Substance suite.</p><p>Your mission will be to :</p><ul><li>work closely with the Substance Lead and Art Leads of each project;</li><li>create and maintain libraries of high-quality PBR materials;</li><li>ensure that materials respect the artistic style and technical specificities of each project;</li><li>be responsible for quality control of textures between projects;</li><li>collaborate with the project artists to understand their needs, suggest textures, participate in their integration into the game engine and their application on 3D models;</li><li>understand and assist in the development and implementation of textures production pipelines;</li><li>find creative solutions to production challenges related to the creation of materials;</li><li>participate in the research and development of new technologies;</li><li>document and share knowledge about best practices.</li></ul>Qualifications<br/><br/><p><strong><em>The must-have skills we're looking for</em></strong></p><ul><li>At least 1 year of experience as a Texture Artist / Materials Artist having used Substance Designer and Substance Painter on a daily basis;</li><li>A strong understanding of creating realistic textures under Substance Designer, Painter and Zbrush;</li><li>A solid understanding of artistic fundamentals and a strong attention to detail and form;</li><li>A mastery of PBR artistic pipelines and real-time constraints;</li><li>Skills in UVs unfolding and baking high-resolution models;</li><li>Excellent oral and written communication skills (English and French);</li><li>Ability to collaborate iteratively and constructively as a team;</li><li>The ability to be proactive and autonomous;</li><li>Creative, curious and versatile, you like to vary between several texture styles (stylized, realistic, etc.)</li></ul><p><strong><em>What would set you apart?</em></strong></p><ul><li>A mastery of Zbrush and good sculpting skills;</li><li>Experience with Unreal 4 or 5;</li><li>Mastery of 3DS max, Maya or Blender;</li><li>Proficiency in Photoshop.</li></ul><br/><br/>Additional Information<br/><br/><p>At DONTNOD, we celebrate diversity and inclusivity within our games as well as our teams. We commit to equal opportunities and non-discrimination in our hiring process. We are respectful of the principles of equal employment opportunities, and that is why we encourage women, people of all sexual orientations and gender identities, First Nations people, people living with a disability and/or part of any marginalized group to apply for our positions.</p><p>We build close-knit teams to encourage a fulfilling work environment for all our employees.</p><p>Here is a small overview of what we offer to our employees :</p><ul><li>The possibility of working anywhere in Quebec;</li><li>Flexible schedules;</li><li>Free access to a brand new gym and group classes and to a multi-sports field in summer which becomes an ice rink in winter;</li><li>Partial refund of the STM/RTM card;</li><li>A complete group insurance plan and an integrated health platform.</li></ul></section>","[""You're interested in participating in the creation of a Substance team within DONTNOD whose objective will be to improve the efficiency of our production chain and the graphic quality of our games;"", 'You want to join a diverse and committed team, both in its culture and in the content of the games it creates;', 'Free access to a brand new gym and group classes and to a multi-sports field in summer which becomes an ice rink in winter;', 'Flexible schedules;', 'Creative, curious and versatile, you like to vary between several texture styles (stylized, realistic, etc.)', 'Your mission will be to :', 'Excellent oral and written communication skills (English and French);', 'Here is a small overview of what we offer to our employees :', 'You want to join an innovative studio with a rich and unique management structure.', 'Experience with Unreal 4 or 5;', 'Created in 2008, DONTNOD is an independent French studio which creates and develop AA games in various genres : adventure (Life is Strange, Tell Me Why, Twin Mirror), action (Remember Me) and RPG (Vampyr). Each new game is an original creation with unique narrative gameplay experience and game mechanics.', 'collaborate with the project artists to understand their needs, suggest textures, participate in their integration into the game engine and their application on 3D models;', 'Partial refund of the STM/RTM card;', ""You're looking for an opportunity to work directly with all production teams in Paris and Montreal;"", 'At least 1 year of experience as a Texture Artist / Materials Artist having used Substance Designer and Substance Painter on a daily basis;']"
7,$18- $26 per hour - Painters full time,ETCL,"Halifax, NS",https://www.monster.ca/job-openings/-18-26-per-hour-painters-full-time-halifax-07--313a1e99-089f-47c8-b3e5-bbf31e608b66?sid=deb47db4-4d07-4522-b402-b2471dd16a54&jvo=m.go.sc.8&_ga=2.26931389.1437831847.1651868408-2076594688.1651868408&hidesmr=1,"<section class=""cached-bot-fjv-skeletonstyle__CachedSkeletonDescription-sc-gqtazs-0 gbrdjA""><h1><strong>Painters needed for the Halifax- Dartmouth Area</strong></h1><p><strong> Elite Trade Painting</strong> has been providing high quality painting services to thousands of customers throughout Halifax and the surrounding area since 1991. We are proud to be a company that homeowners and businesses trust and use as their preferred painting contractor. We are currently hiring full time Painters and Forepersons to join our growing team of skilled and knowledgeable staff. We are looking for: </p><p>• Painting’ experience </p><p>• Positive attitudes </p><p>• Staff that can supply their own transportation </p><p style=""margin-left:9pt;text-indent:-9pt"">·   WHMIS </p><p style=""margin-left:9pt;text-indent:-9pt"">·   Working at heights and safety training and experience is an asset</p><p style=""margin-left:9pt;text-indent:-9pt"">·   First aid knowledge and certification is an asset</p><p style=""margin-left:9pt""> </p><p>As part of our production team, we offer you: </p><p>• Competitive wages ranging from $18-$26 per hour </p><p style=""margin-left:9pt;text-indent:-9pt"">·   Wages that are dependent on skill level</p><p>• The opportunity to work 40 plus hours per week <br/><br/>Perks of the position include:</p><p>• Full time year round work</p><p>• Working in both commercial and residential projects</p><p>• Room for advancement and skill development</p><p><br/>• Well organized work environment </p><p>• Consistent reliable income<br/><br/>This is a great opportunity to become part of a well-structured and growing company!</p><p>We reward hard work and dedicated employees! <br/></p><p><strong>Apply now!</strong></p></section>","['• Positive attitudes', '• Full time year round work', '·\xa0\xa0 Working at heights and safety training and experience is an asset', 'Apply now!', '• Painting’ experience', '• Working in both\xa0commercial and residential projects', '• Competitive wages ranging from $18-$26\xa0per hour', '·\xa0\xa0 First aid knowledge and certification is an asset']"
8,Lighting Artist,CD PROJEKT RED,"Vancouver, BC",https://www.monster.ca/job-openings/lighting-artist-vancouver-02--22ab9407-0481-476b-9c2c-e9bf3813c8c3?sid=deb47db4-4d07-4522-b402-b2471dd16a54&jvo=m.go.sc.9&_ga=2.26931389.1437831847.1651868408-2076594688.1651868408&hidesmr=1,"<section class=""cached-bot-fjv-skeletonstyle__CachedSkeletonDescription-sc-gqtazs-0 gbrdjA"">Company Description<br/><br/><p>At CD PROJEKT RED Vancouver, our mission is to create world-class interactive entertainment experiences. Located in one of the biggest video game hubs in the world, Vancouver, Canada, we are an inclusive, multicultural team of driven and talented professionals that fosters cross-disciplinary collaboration and honest conversations. We push gameplay boundaries. We build unforgettable narratives and stories. We make some of the best and most revered video games on the planet.</p>Job Description<br/><br/><p>CD PROJEKT RED is currently looking for a talented and experienced Lighting Artist who is ready to work on the cutting edge of game graphics technology. This position requires a high level of artistry and mastery of tools to achieve the best lighting results in an open world game. If you are equally at ease communicating with both people and tech, join us!</p><p>Daily responsibilities:</p><ul><li>Creating dramatic and compelling lighting that supports photorealistic rendering</li><li>Deconstructing lighting and textures in a physically based renderer to establish appropriate colour correct values</li><li>Keeping artistic style consistent with defined visual style for the game</li><li>Collaborating and communicating constructively with Designers, Engineers and Technical Artists</li><li>Ensuring that all lighting deliverables are completed fully and in line with the production schedule.</li></ul>Qualifications<br/><br/><ul><li>At least 3 years experience in the role of Lighting / Environment Artist on AAA games or the CGI industry</li><li>Excellent knowledge of lighting tools and pipelines</li><li>Excellent knowledge of direct and indirect light, luminance and colour theory</li><li>Self-driven to complete assigned tasks in a timely manner while maintaining a high level of quality</li><li>Ability to define and meet a schedule</li><li>Strong attention to detail and quality</li><li>Work closely with other departments while creating and implementing assets</li><li>Excellent communication skills: We have a multilingual and multicultural working environment and the ability to communicate across language and time zone barriers is essential.</li></ul><br/><br/>Additional Information<br/><br/><ul><li>Competitive salary with project-based bonuses</li><li>Health benefits with an HSA account</li><li>Responsible work-life balance with flexible hours and paid overtime</li><li>26 days of paid vacation per year</li><li>A modern indie-style studio with a relaxed atmosphere working on high-budget AAA Games</li><li>A chance to work in a booming industry within an international team</li><li>Office located near transit and bike routes.</li></ul></section>","['Excellent communication skills: We have a multilingual and multicultural working environment and the ability to communicate across language and time zone barriers is essential.', 'Creating dramatic and compelling lighting that supports photorealistic rendering', 'Excellent knowledge of lighting tools and pipelines', 'Keeping artistic style consistent with defined visual style for the game', 'Excellent knowledge of direct and indirect light, luminance and colour theory', 'Ensuring that all lighting deliverables are completed fully and in line with the production schedule.', 'Collaborating and communicating constructively with Designers, Engineers and Technical Artists', 'At CD PROJEKT RED Vancouver, our mission is to create world-class interactive entertainment experiences. Located in one of the biggest video game hubs in the world, Vancouver, Canada, we are an inclusive, multicultural team of driven and talented professionals that fosters cross-disciplinary collaboration and honest conversations. We push gameplay boundaries. We build unforgettable narratives and stories. We make some of the best and most revered video games on the planet.', 'Strong attention to detail and quality', 'Responsible work-life balance with flexible hours and paid overtime', 'Self-driven to complete assigned tasks in a timely manner while maintaining a high level of quality', 'Daily responsibilities:', 'Deconstructing lighting and textures in a physically based renderer to establish appropriate colour correct values', 'Work closely with other departments while creating and implementing assets', 'At least 3 years experience in the role of Lighting / Environment Artist on AAA games or the CGI industry', 'Competitive salary with project-based bonuses']"
9,Painter,Weidner,"Edmonton, AB",https://www.monster.ca/job-openings/painter-edmonton-01--a9a44cdb-31dd-4339-ba67-473e1ed14e62?sid=deb47db4-4d07-4522-b402-b2471dd16a54&jvo=m.go.sc.10&_ga=2.26931389.1437831847.1651868408-2076594688.1651868408&hidesmr=1,"<section class=""cached-bot-fjv-skeletonstyle__CachedSkeletonDescription-sc-gqtazs-0 gbrdjA""><p><em><strong>Cedar Gardens</strong></em><br/><br/>The Painter will work closely with the Community Director and Service Manager to ensure that all the painting on the exterior walls and interior units is completed using the best product and in a timely manner.</p><b>Responsibilities include:</b><ul><li>Painting interior make-ready units, an average of 6-8 per week</li><li>Paint exterior of building as needed</li><li>Respond to all service requests related to cosmetic painting repairs for occupied units in a timely manner</li><li>Keep paint department stocked with proper supplies at all times, while staying within budget</li><li>Perform daily inspection of property to ensure property upkeep and pristine curb appeal. Pick up and dispose of trash or litter as needed</li><li>Participate in an ongoing property improvement plan and preventive maintenance program</li></ul><b>Qualifications:</b><ul><li>Working knowledge of English, oral and written</li><li>Detail oriented, well organized and accurate</li><li>Requires a valid and current driver’s license and proof of insurance</li><li>Able to lift and carry (frequently) up to 45 pounds (paint, supplies)</li><li>Able to lift and carry (occasionally up to 80 pounds (freon recovery unit, freon tanks and other heavy equipment)</li><li>Able to push/pull up to 200 pounds, move appliances, use appliance dolly, move hot water tanks and other machinery and heavy equipment as needed</li><li>Able to work outdoors in all weather conditions</li></ul></section>","['Respond to all service requests related to cosmetic painting repairs for occupied units in a timely manner', 'Able to lift and carry (frequently) up to 45 pounds (paint, supplies)', 'Paint exterior of building as needed', 'Painting interior make-ready units, an average of 6-8 per week', 'Working knowledge of English, oral and written', 'Able to work outdoors in all weather conditions', 'Perform daily inspection of property to ensure property upkeep and pristine curb appeal. Pick up and dispose of trash or litter as needed', 'Participate in an ongoing property improvement plan and preventive maintenance program', 'Able to lift and carry (occasionally up to 80 pounds (freon recovery unit, freon tanks and other heavy equipment)', 'Able to push/pull up to 200 pounds, move appliances, use appliance dolly, move hot water tanks and other machinery and heavy equipment as needed', 'Requires a valid and current driver’s license and proof of insurance', 'Keep paint department stocked with proper supplies at all times, while staying within budget']"
