,title,company,location,link,description,skills
0,"Cashier - Part Time, Day",Loblaw Companies Limited,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/cashier-part-time-day-at-loblaw-companies-limited-3051252731?refId=GJSwb4nLYnb1hNNgJAAC0w%3D%3D&trackingId=DUoZwfu%2FLqGWJPXy1Exixw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        We're looking for talented colleagues who are passionate about providing an exceptional shopping experience for customers and delighting them every step of the way!<br><br>As a colleague in one of our stores, you will have an immediate impact on sales and customer satisfaction by:<br><ul><li> Providing exceptional customer service</li><li> Ensuring accurate product scanning</li><li> Executing company-directed promotions and programs</li><li> Maintaining product displays<br><br></li></ul>At Loblaw, it’s about our respect for the environment, sourcing products with integrity and making a positive difference in the community. We offer our colleagues progressive careers, comprehensive training, flexibility and a benefits package.
      ","['Executing company-directed promotions and programs', 'Providing exceptional customer service', 'Maintaining product displays', 'Ensuring accurate product scanning']"
1,"Cashier - Part Time, Day",Loblaw Companies Limited,"Mississauga, Ontario, Canada",https://ca.linkedin.com/jobs/view/cashier-part-time-day-at-loblaw-companies-limited-3041720094?refId=GJSwb4nLYnb1hNNgJAAC0w%3D%3D&trackingId=gAdderEKU4I2Nrdtl3n1pA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        We're looking for talented colleagues who are passionate about providing an exceptional shopping experience for customers and delighting them every step of the way!<br><br>As a colleague in one of our stores, you will have an immediate impact on sales and customer satisfaction by:<br><ul><li> Providing exceptional customer service</li><li> Ensuring accurate product scanning</li><li> Executing company-directed promotions and programs</li><li> Maintaining product displays<br><br></li></ul>At Loblaw, it’s about our respect for the environment, sourcing products with integrity and making a positive difference in the community. We offer our colleagues progressive careers, comprehensive training, flexibility and a benefits package.
      ","['Executing company-directed promotions and programs', 'Providing exceptional customer service', 'Maintaining product displays', 'Ensuring accurate product scanning']"
2,Cashier,Shoppers Drug Mart,"Scarborough, Ontario, Canada",https://ca.linkedin.com/jobs/view/cashier-at-shoppers-drug-mart-3064520558?refId=GJSwb4nLYnb1hNNgJAAC0w%3D%3D&trackingId=wIUmwaYHMSIp85JtNf2vPw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        We're looking for talented colleagues who are passionate about providing an exceptional shopping experience for customers and delighting them every step of the way!<br><br>As a colleague in one of our stores, you will have an immediate impact on sales and customer satisfaction by:<br><ul><li> Providing exceptional customer service</li><li> Ensuring accurate product scanning</li><li> Executing company-directed promotions and programs</li><li> Maintaining product displays<br><br></li></ul>At Loblaw, it’s about our respect for the environment, sourcing products with integrity and making a positive difference in the community. We offer our colleagues progressive careers, comprehensive training, flexibility and a benefits package.
      ","['Executing company-directed promotions and programs', 'Providing exceptional customer service', 'Maintaining product displays', 'Ensuring accurate product scanning']"
3,"Cashier - Part Time, Day",Loblaw Companies Limited,"London, Ontario, Canada",https://ca.linkedin.com/jobs/view/cashier-part-time-day-at-loblaw-companies-limited-3045990461?refId=GJSwb4nLYnb1hNNgJAAC0w%3D%3D&trackingId=jw5gnhRqg95Nb7jGXJBYrg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        We're looking for talented colleagues who are passionate about providing an exceptional shopping experience for customers and delighting them every step of the way!<br><br>As a colleague in one of our stores, you will have an immediate impact on sales and customer satisfaction by:<br><ul><li> Providing exceptional customer service</li><li> Ensuring accurate product scanning</li><li> Executing company-directed promotions and programs</li><li> Maintaining product displays<br><br></li></ul>At Loblaw, it’s about our respect for the environment, sourcing products with integrity and making a positive difference in the community. We offer our colleagues progressive careers, comprehensive training, flexibility and a benefits package.
      ","['Executing company-directed promotions and programs', 'Providing exceptional customer service', 'Maintaining product displays', 'Ensuring accurate product scanning']"
4,"Cashier - Part Time, Day",Loblaw Companies Limited,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/cashier-part-time-day-at-loblaw-companies-limited-3034309885?refId=GJSwb4nLYnb1hNNgJAAC0w%3D%3D&trackingId=i4FCB7kT7HcSyudhBaHV8Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        We're looking for talented colleagues who are passionate about providing an exceptional shopping experience for customers and delighting them every step of the way!<br><br>As a colleague in one of our stores, you will have an immediate impact on sales and customer satisfaction by:<br><ul><li> Providing exceptional customer service</li><li> Ensuring accurate product scanning</li><li> Executing company-directed promotions and programs</li><li> Maintaining product displays<br><br></li></ul>At Loblaw, it’s about our respect for the environment, sourcing products with integrity and making a positive difference in the community. We offer our colleagues progressive careers, comprehensive training, flexibility and a benefits package.
      ","['Executing company-directed promotions and programs', 'Providing exceptional customer service', 'Maintaining product displays', 'Ensuring accurate product scanning']"
5,"Cashier - Part Time, Day",Loblaw Companies Limited,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/cashier-part-time-day-at-loblaw-companies-limited-3037336187?refId=GJSwb4nLYnb1hNNgJAAC0w%3D%3D&trackingId=JOjXkWN5BqD7GW4jQRan9w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        We're looking for talented colleagues who are passionate about providing an exceptional shopping experience for customers and delighting them every step of the way!<br><br>As a colleague in one of our stores, you will have an immediate impact on sales and customer satisfaction by:<br><ul><li> Providing exceptional customer service</li><li> Ensuring accurate product scanning</li><li> Executing company-directed promotions and programs</li><li> Maintaining product displays<br><br></li></ul>At Loblaw, it’s about our respect for the environment, sourcing products with integrity and making a positive difference in the community. We offer our colleagues progressive careers, comprehensive training, flexibility and a benefits package.
      ","['Executing company-directed promotions and programs', 'Providing exceptional customer service', 'Maintaining product displays', 'Ensuring accurate product scanning']"
6,Cashier - Part Time,Loblaw Companies Limited,"Etobicoke, Ontario, Canada",https://ca.linkedin.com/jobs/view/cashier-part-time-at-loblaw-companies-limited-3043473591?refId=GJSwb4nLYnb1hNNgJAAC0w%3D%3D&trackingId=u2NKtvzBbTFDCEleERFfSg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        We're looking for talented colleagues who are passionate about providing an exceptional shopping experience for customers and delighting them every step of the way!<br><br>As a colleague in one of our stores, you will have an immediate impact on sales and customer satisfaction by:<br><ul><li> Providing exceptional customer service</li><li> Ensuring accurate product scanning</li><li> Executing company-directed promotions and programs</li><li> Maintaining product displays<br><br></li></ul>At Loblaw, it’s about our respect for the environment, sourcing products with integrity and making a positive difference in the community. We offer our colleagues progressive careers, comprehensive training, flexibility and a benefits package.
      ","['Executing company-directed promotions and programs', 'Providing exceptional customer service', 'Maintaining product displays', 'Ensuring accurate product scanning']"
7,Cashier,OTG,"Mississauga, Ontario, Canada",https://ca.linkedin.com/jobs/view/cashier-at-otg-3064653102?refId=GJSwb4nLYnb1hNNgJAAC0w%3D%3D&trackingId=7ZFkOYjl5mPxH2ZT3cMFqg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        We're looking for talented colleagues who are passionate about providing an exceptional shopping experience for customers and delighting them every step of the way!<br><br>As a colleague in one of our stores, you will have an immediate impact on sales and customer satisfaction by:<br><ul><li> Providing exceptional customer service</li><li> Ensuring accurate product scanning</li><li> Executing company-directed promotions and programs</li><li> Maintaining product displays<br><br></li></ul>At Loblaw, it’s about our respect for the environment, sourcing products with integrity and making a positive difference in the community. We offer our colleagues progressive careers, comprehensive training, flexibility and a benefits package.
      ","['Executing company-directed promotions and programs', 'Providing exceptional customer service', 'Maintaining product displays', 'Ensuring accurate product scanning']"
8,"Cashier - Part Time, Day",Loblaw Companies Limited,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/cashier-part-time-day-at-loblaw-companies-limited-3012656309?refId=GJSwb4nLYnb1hNNgJAAC0w%3D%3D&trackingId=65VGYC9t2uqSutD71hro3w%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        We're looking for talented colleagues who are passionate about providing an exceptional shopping experience for customers and delighting them every step of the way!<br><br>As a colleague in one of our stores, you will have an immediate impact on sales and customer satisfaction by:<br><ul><li> Providing exceptional customer service</li><li> Ensuring accurate product scanning</li><li> Executing company-directed promotions and programs</li><li> Maintaining product displays<br><br></li></ul>At Loblaw, it’s about our respect for the environment, sourcing products with integrity and making a positive difference in the community. We offer our colleagues progressive careers, comprehensive training, flexibility and a benefits package.
      ","['Executing company-directed promotions and programs', 'Providing exceptional customer service', 'Maintaining product displays', 'Ensuring accurate product scanning']"
9,Cashier,SEPHORA,"Scarborough, Ontario, Canada",https://ca.linkedin.com/jobs/view/cashier-at-sephora-3026290741?refId=GJSwb4nLYnb1hNNgJAAC0w%3D%3D&trackingId=Igc9unrYaFHaxF37wNaOTg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        We're looking for talented colleagues who are passionate about providing an exceptional shopping experience for customers and delighting them every step of the way!<br><br>As a colleague in one of our stores, you will have an immediate impact on sales and customer satisfaction by:<br><ul><li> Providing exceptional customer service</li><li> Ensuring accurate product scanning</li><li> Executing company-directed promotions and programs</li><li> Maintaining product displays<br><br></li></ul>At Loblaw, it’s about our respect for the environment, sourcing products with integrity and making a positive difference in the community. We offer our colleagues progressive careers, comprehensive training, flexibility and a benefits package.
      ","['Executing company-directed promotions and programs', 'Providing exceptional customer service', 'Maintaining product displays', 'Ensuring accurate product scanning']"
