,title,company,location,link,description,skills
0,Commercial/Residential Caulker,Kaiser Sealant & Caulking Inc.,"Ottawa, Ontario, Canada",https://ca.linkedin.com/jobs/view/commercial-residential-caulker-at-kaiser-sealant-caulking-inc-3034875948?refId=j5ANY2f2TBIshG8cJ78sHQ%3D%3D&trackingId=VAvZeT5RtRGQY9K1ZqQhXg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        <p>Looking for apprentice or experienced caulker for residential new built houses. Full time job and possibility of working extra hours if needed.</p><p>High possibilities for promotion and escalating quickly within the company depending on reliability.&nbsp;</p><p>If you have been with a local caulking trade for over 3 years call us to discuss salary, company vehicle etc</p><p>Must have valid working at heights and whims.</p><p>Salary depending on experience</p>
      ","['Must have valid working at heights and whims.', 'Salary depending on experience', 'If you have been with a local caulking trade for over 3 years call us to discuss salary, company vehicle etc', 'High possibilities for promotion and escalating quickly within the company depending on reliability.', 'Looking for apprentice or experienced caulker for residential new built houses. Full time job and possibility of working extra hours if needed.']"
1,title,company,location,link,description,[]
2,Experienced / Entry Level Caulkers,ArmourCo Solutions,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BxDuCCtigVQ9Urj9h-ACvUo3z216ky1PfG2iDwMlogSM6cTde55xsOc5Ht5QIV3crW_H8eBwh2dIzqreKR4FbUiKowHt6G2a0QxXaJoXyPlFgXu1duKO4LcpFcu-HBy-biyOePz6IDzKxyq32EcIgiCq3rOFyJqzmCFccY-Sx4lkLRxhG37PD8N6UFH-yYV_QXy0U-o0bqq287gQb9wV0PW5xRgJ58HQZd2ryizrzNGVcv0CqBDvm90llRnPl6QSALA2FHvosrGWbb_GNrVITshlS63RPYLDUkuBu-QX31cSZj3aRmxVyZk-lpK6ZhMuDM88aDlF2EOVP2YWxFoX_IbHuKcY9wPcjEiMcg5MV8cmK7E9Fvp1-XNrlM2Fv-IhxR4VBQabZmZ_xpTpDpkrdWqJKPkWVY6RzZQqmRSynqfTiCqJCdzIGNqKHG2Vk2efeEabopKu7Rm6o4_WB-SNH31kWMeNSO2oGVYyQiWBpOzQ==&p=0&fvj=1&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>Are you currently in a job with no chance for advancement? Are you looking to begin a career in the construction skilled trades? ArmourCo Solutions, the premier restoration contractor in the condominium industry, is looking to expand it already successful caulking division with entry level and experienced workers. The successful applicant will possess the following qualities: - Strong work ethic - Willingness to learn new skills - Works well in a team setting - Attentive to detail - Reliable and ready to work In return ArmourCo Solutions offers competitive wages, full onsite training with on-going education (both classroom and hands-on) on all of our OHSA compliant job sites. Benefits package is available to all workers after successful completion of your probationary period and opportunities for all workers to succeed through advancement within the company. 8 hour shift Monday to Friday.</p>
<p>Job Types: Full-time, Permanent</p>
<p>Salary: $19.00-$30.00 per hour</p>
<p>Additional pay:</p>
<ul>
<li>Overtime pay</li>
</ul>
<p>Benefits:</p>
<ul>
<li>Dental care</li>
<li>Extended health care</li>
<li>Paid time off</li>
</ul>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
<li>Monday to Friday</li>
<li>Overtime</li>
</ul>
</div>","['Extended health care', 'Additional pay:', 'Paid time off', 'Dental care']"
3,"Balcony Repairs, Caulking, Cladding , Swing Stage",Smid Construction Ltd,"Greater Toronto Area, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZuQCA-uxo0hfF6qNSWhFYtZo0ySTi3gDVIkm3j3AYyIdUWybw2xpFAJ4ZL1PTEW7xBSdc-Fri9tQWny5LAuObvicqiFY5g0Cc5C2_mdf4nsQ6t5v9rlad6JjbmEV369-Su5Vrk-6TW86epHhls756wpOqLXCxhcleiL-AjNCNUS-PCAmt9j5Axj_Zq6WlSFBSFpfllIQH7A44oyGF8TzrQDiDoR5mvUp5DejvV0JkKSXzamrXrSWm_1xJPxKGDchrPY8pwjCy3GUnq0aTOSNytcQ4QQdOfsptxYgqtCXVInQxHDWTZWRotbB0I0zh1hnG39msfaYKHGPaHaHp0zT3xEVPzbyxN_rjWSLCVaa4h87zsTpn9P9LbKRHZud4tdaAMZ_gCQjWhukxkEUPetXkWSCH_4HgvK-wgJQoeEnT-Lma4TFimkwfuaFSn-ncekFK-M1TA0caaTch4zTuGRIuJcUeE2dheoYJrxuf12kHLq-Dzd3Xv7-57siff4HKC9Ocf_v3TXIKKw==&p=1&fvj=1&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p><b>Job description: SWING STAGE CAULKER</b></p><p><b>About Smid Construction</b></p><p>Backed by over six decades of prowess, SMID Construction Limited is a full-service multicultural certified and insured general contractor company. We offer industry-leading building restoration solutions.</p><p>Smid Construction is a family owned company that is proud to operate as one big family.</p><p>Located in Ajax, we’re staffed by a dedicated team of trained and seasoned professionals. Together, they bring over a century of hands-on experience to each and every work site. With a fervent passion for construction, our engineers can handle any level of property damage, ranging from a simple cleanup to a complete reconstruction.</p><p><b>Why Join Us: </b></p><p>· Competitive compensation package</p><p>· Full health and dental benefits provided</p><p>· Get to work directly with the business owner and CEO</p><p>· High levels of job autonomy and control</p><p>· Flexible working hours and schedule</p><p>· Great company culture - we care about and take care of our people</p><p><b>SKILLS REQUIRED: </b></p><p>· Must be fully vaccinated (2 shots) and willing to show proof.</p><p>· WAH training</p><p>· Swing Stage Users/Operators training</p><p>· Removal of existing sealant and surface preparation of various substrates including: precast concrete, structural concrete, brick masonry, EIFS/stucco, metal to metal, glass to metal</p><p>· Apply perimeter sealant application (I.e. concrete/precast/EIFS/bricks to window frame) in accordance with industry standards</p><p>· Dome/cap bead application at ‘glass to metal’ and ‘metal to metal’ window frame joinery in accordance with industry standards</p><p>Job Type: Full-time</p><p>Salary: $25.00-$35.00 per hour</p><p>This job description in no way states or implies that these are the only duties to be performed. You will be expected to follow any other job-related instructions and to perform other job-related duties as requested by your supervisor.</p><p>Job Types: Full-time, Permanent</p><p>Salary: $25.00-$35.00 per hour</p><p>Additional pay:</p><ul><li>Overtime pay</li></ul><p>Benefits:</p><ul><li>Extended health care</li></ul><p>Schedule:</p><ul><li>Monday to Friday</li></ul><p>COVID-19 considerations:<br/>Only fully vaccinated (2 shots) need apply</p><p>Experience:</p><ul><li>Swing stage caulking: 2 years (preferred)</li></ul></div>","['· Must be fully vaccinated (2 shots) and willing to show proof.', 'Backed by over six decades of prowess, SMID Construction Limited is a full-service multicultural certified and insured general contractor company. We offer industry-leading building restoration solutions.', '· Apply perimeter sealant application (I.e. concrete/precast/EIFS/bricks to window frame) in accordance with industry standards', '· Full health and dental benefits provided', '· Swing Stage Users/Operators training', 'Additional pay:', '· Flexible working hours and schedule', 'Located in Ajax, we’re staffed by a dedicated team of trained and seasoned professionals. Together, they bring over a century of hands-on experience to each and every work site. With a fervent passion for construction, our engineers can handle any level of property damage, ranging from a simple cleanup to a complete reconstruction.', '· Get to work directly with the business owner and CEO', '· Great company culture - we care about and take care of our people', 'This job description in no way states or implies that these are the only duties to be performed. You will be expected to follow any other job-related instructions and to perform other job-related duties as requested by your supervisor.', 'Why Join Us:', '· Competitive compensation package', 'Extended health care', 'Experience:', '· High levels of job autonomy and control', 'Swing stage caulking: 2 years (preferred)', 'Smid Construction is a family owned company that is proud to operate as one big family.']"
4,newExperienced Exterior Caulker,Niagara Caulking & Firestopping,"St. Catharines, ON",https://ca.indeed.com/company/Niagara-Caulking-&-Firestopping/jobs/Experienced-Exterior-Caulker-963c498bbfe3ca9c?fccid=966b2171551bb975&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p><b>Job Responsibilities</b></p>
<ul>
<li>Report to site on time M-F</li>
<li>Remove materials from buildings</li>
<li>Maintain a clean work area</li>
<li>Apply new caulking to windows, doors, control joints, ect.</li>
<li>Tool all caulking to a uniform appearance</li>
<li>Apply interior caulking when needed</li>
</ul>
<p><b>Required Work Experience / Skills</b></p>
<ul>
<li>Experience working at heights</li>
<li>Able to work outside for 8 hour shifts</li>
<li>Capable of meeting at site or a general meeting point</li>
<li>Capable of working off ladders (step, 16 ft, 24 ft)</li>
<li>Capable of working off booms, scissors, AWP</li>
<li>Minimum 1 year in the caulking trade or a related field</li>
</ul>
<p>Job Type: Full-time</p>
<p>Salary: $22.00-$27.00 per hour</p>
<p>Additional pay:</p>
<ul>
<li>Bonus pay</li>
<li>Commission pay</li>
<li>Overtime pay</li>
<li>Tips</li>
</ul>
<p>Benefits:</p>
<ul>
<li>Flexible schedule</li>
</ul>
<p>Schedule:</p>
<ul>
<li>10 hour shift</li>
<li>8 hour shift</li>
<li>Day shift</li>
<li>Monday to Friday</li>
<li>Weekend availability</li>
</ul>
<p>Application question(s):</p>
<ul>
<li>Are you comfortable working at heights?</li>
</ul>
<p>Experience:</p>
<ul>
<li>Caulking: 1 year (preferred)</li>
</ul>
<p>Licence/Certification:</p>
<ul>
<li>Driver's license (preferred)</li>
</ul>
</div>","['Apply new caulking to windows, doors, control joints, ect.', 'Caulking: 1 year (preferred)', 'Apply interior caulking when needed', 'Flexible schedule', 'Capable of meeting at site or a general meeting point', 'Are you comfortable working at heights?', 'Required Work Experience / Skills', 'Remove materials from buildings', 'Additional pay:', 'Minimum 1 year in the caulking trade or a related field', 'Able to work outside for 8 hour shifts', 'Report to site on time M-F', 'Maintain a clean work area', 'Experience:', 'Capable of working off ladders (step, 16 ft, 24 ft)', 'Capable of working off booms, scissors, AWP', 'Experience working at heights']"
5,Caulker,Mascon Restorations,"Kingston, ON+1 location",https://ca.indeed.com/company/Mascon-Restorations/jobs/Caulker-c2f3853da1c898da?fccid=11be7cee99cc5c8c&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>Caulking Experience- 1 to 5 years preferred</p><p>WHMIS Training preferred</p><p>Fall Arrest preferred</p><p>Swing stage operator Course preferred</p><p>Rates based on Experience</p><p>Job Types: Full-time, Contract, Seasonal</p><p>$20 – $38.50 per hour</p><p>Job Type: Full-time</p><p>Work Remotely</p><ul><li>No</li></ul><p>Job Type: Full-time</p><p>Salary: $25.00-$38.50 per hour</p><p>Benefits:</p><ul><li>Dental care</li><li>Extended health care</li><li>Vision care</li></ul><p>Schedule:</p><ul><li>8 hour shift</li><li>Monday to Friday</li></ul><p>Job Types: Full-time, Casual</p><p>Salary: $20.00-$35.00 per hour</p><p>Additional pay:</p><ul><li>Bonus pay</li><li>Overtime pay</li></ul><p>Benefits:</p><ul><li>Dental care</li><li>Extended health care</li><li>Vision care</li></ul><p>Schedule:</p><ul><li>10 hour shift</li><li>8 hour shift</li><li>Day shift</li><li>Monday to Friday</li></ul></div>","['Rates based on Experience', 'Dental care', 'Caulking Experience- 1 to 5 years preferred', 'Additional pay:', 'Work Remotely', 'Extended health care', 'Fall Arrest preferred']"
6,newExperienced caulker 5+ years,The Restorers Group Inc.,"Calgary, AB",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DyfnfEKbzKmF7shYEge1iQZSGha_ML9DvJFC06Wnj9JvJJ99X5CSbqss_knAq3RpvHzsHH6Sw9_PAwXwZktCw07W0n2UYHKdhgOcLQVierw4xKjwAz-c0d7_f4GxLGNGTkym0z7Uj3jY1Tl93suyQrvBSHkckVGjVq3rz8rzt20zsLyck7AmRauNeYyMG6S3NXl6krJXIWFyOAU8qZp_ydbfmKRxFfbfLip0wFOwqrdCZcEQF5MiUpw1t9aoDqjZjRzwZsh54M4RI2qNNgJFv8mdq8m4Q5QSujNecNjLQosT8VhDP-_1-UCOfKzLLxolKOYOvO4Q-imn8zfGWHmfkZbYTjNjREHGQGDMoyNjHT0zzTkx5TRv7tyEA1a_X5Ss_6FQs_Y9twZ4aVnfWjQRHyIWOuytAsYNTQvab5MTsqJIR0BDFTA1mlK_ab9WsFpVdzS7QI_noBW_4SZGDm_Oc5_73XV72cwQh6RSLVJgR3rA==&p=4&fvj=1&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>Downtown high-rise caulking replacement on existing buildings.</p><p>Fall protection, WHMIS 2015, are required.</p><p>We can get you Suspended Access training if yours has expired. And First Aid depending on if you join us as a supervisor.</p><p>We offer competitive pay based on experience and benefits.</p><p>Job Types: Full-time, Permanent</p><p>Salary: $26.00-$30.00 per hour</p><p>Job Type: Full-time</p><p>Salary: $26.00-$30.00 per hour</p><p>Benefits:</p><ul><li>Extended health care</li></ul><p>Schedule:</p><ul><li>8 hour shift</li></ul><p>Ability to commute/relocate:</p><ul><li>Calgary, AB: reliably commute or plan to relocate before starting work (preferred)</li></ul></div>","['We can get you Suspended Access training if yours has expired. And First Aid depending on if you join us as a supervisor.', 'Extended health care', 'We offer competitive pay based on experience and benefits.']"
7,Experienced Caulkers or Labors,Dominion Caulking and Langstaff Restoration...,"Ottawa, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aj7GbU_lBlb4w1zQFZcuKu76ZPkOM28sj5b2B7LVZtSJCvebrwmU9h14BovVH3NzWWk24oFRN-4y9Bqaxir63ncrNU6Nk07qzIQudTGiazUr180aHKIUKdDsd_fMcVnYeKq-SZgSrq_kUdJ06Apv-Yxw2SOIgc7CfdNR3wS1x70peb3OdIq2N_HChtVA6XO_ozP4KO7HMZKVSyX5pIlGEEfTtfm0yVPvSDNjMn2LjYY_YxUpbG4s5oax8k7nG7iqCKk4STiD9bw19ksL9xxb9udhwEvkDVh6tvpzzxpYrE09NfmynKnvmgpQx6qP7KX2Vu0ak7FjswKN2Ock6peMcRYq1lG-kvOc8PQqqhTI1zPuQsoPbbYYF5f2l7lbroR-FCt1bHWFdNe6GEvOrRwbSgy-Vde750f0LNvebZdIFlQjmsWP1LWLwTP4aCFs-RufKO-DRdW0Hx3KGgxcRPs8Gv-AKh6SQUJxyuYZ7ypNkKLA==&p=5&fvj=1&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>Swing stage Experience a Must</p>
<p>Caulking Experience- 1 to 5 years preferred</p>
<p>WHMIS Training preferred</p>
<p>Fall Arrest preferred</p>
<p>Swing stage operator Course preferred</p>
<p>Rates based on Experience</p>
<p>Job Types: Full-time, Contract, Seasonal</p>
<p>$25 – $38.50 per hour</p>
<p>Job Type: Full-time</p>
<p>Work Remotely</p>
<ul>
<li>No</li>
</ul>
<p>Job Type: Full-time</p>
<p>Salary: $25.00-$38.50 per hour</p>
<p>Benefits:</p>
<ul>
<li>Dental care</li>
<li>Extended health care</li>
<li>Vision care</li>
</ul>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
<li>Monday to Friday</li>
</ul>
<p>Experience:</p>
<ul>
<li>construction: 1 year (preferred)</li>
</ul>
<p>Expected start date: 2022-04-11</p>
</div>","['Rates based on Experience', 'Dental care', 'Caulking Experience- 1 to 5 years preferred', 'construction: 1 year (preferred)', 'Swing stage Experience a Must', 'Work Remotely', 'Extended health care', 'Experience:', 'Expected start date: 2022-04-11', 'Fall Arrest preferred']"
8,newCaulker,Niagara Caulking & Firestopping,"St. Catharines, ON",https://ca.indeed.com/company/Niagara-Caulking-&-Firestopping/jobs/Caulker-587615d4c95eaa10?fccid=966b2171551bb975&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p><b>Job Responsibilities</b></p>
<ul>
<li>Report to site on time M-F</li>
<li>Remove material from building</li>
<li>Clean work area</li>
<li>Carry material (30lb cases)</li>
<li>Move ladder</li>
</ul>
<p><b>Required Work Experience / Skills</b></p>
<ul>
<li>Experience working at heights</li>
<li>Able to work outside for 8 hour shifts</li>
<li>Capable of meeting at site or a general meeting point</li>
</ul>
<p>Job Type: Full-time</p>
<p>Salary: $17.00-$25.00 per hour</p>
<p>Additional pay:</p>
<ul>
<li>Bonus pay</li>
<li>Tips</li>
</ul>
<p>Benefits:</p>
<ul>
<li>Flexible schedule</li>
</ul>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
<li>Day shift</li>
<li>Monday to Friday</li>
<li>Weekend availability</li>
</ul>
<p>Application question(s):</p>
<ul>
<li>Are you comfortable working at heights?</li>
</ul>
<p>Expected start date: 2022-05-02</p>
</div>","['Move ladder', 'Required Work Experience / Skills', 'Flexible schedule', 'Capable of meeting at site or a general meeting point', 'Are you comfortable working at heights?', 'Additional pay:', 'Remove material from building', 'Clean work area', 'Able to work outside for 8 hour shifts', 'Report to site on time M-F', 'Experience working at heights', 'Expected start date: 2022-05-02']"
9,newcaulker - construction,F&M Caulking Limited,"Stoney Creek, ON",https://ca.indeed.com/rc/clk?jk=4c3c87bd1d688b40&fccid=7ed4db1ed1f7e7a5&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<div>
<h2 class=""jobSectionHeader""><b>Credentials (certificates, licences, memberships, courses, etc.)</b></h2>
<ul>
<li> Workplace Hazardous Materials Information System (WHMIS) Certificate</li>
<li> Construction Safety Training Systems (CSTS) Certificate</li>
<li> Fall Arrest Protection Training Course</li>
<li> Aerial lift and aerial work platform Certification</li>
<li> Suspended access¿training</li>
<li> Personal protective equipment (PPE) training</li>
</ul>
<h2 class=""jobSectionHeader""><b> Construction Specialization</b></h2>
<ul>
<li> Residential</li>
<li> Industrial, commercial and institutional</li>
</ul>
<h2 class=""jobSectionHeader""><b> Weight Handling</b></h2>
<ul>
<li> Up to 9 kg (20 lbs)</li>
<li> Up to 13.5 kg (30 lbs)</li>
</ul>
<h2 class=""jobSectionHeader""><b> Own Tools/Equipment</b></h2>
<ul>
<li> Tools</li>
<li> Steel-toed safety boots</li>
<li> Hard hat</li>
<li> Safety glasses/goggles</li>
<li> Cellular phone</li>
</ul>
<h2 class=""jobSectionHeader""><b> Work Site Environment</b></h2>
<ul>
<li> Underground</li>
<li> Confined spaces</li>
<li> Dangerous</li>
<li> Outdoors</li>
<li> At heights</li>
<li> Dusty</li>
</ul>
<h2 class=""jobSectionHeader""><b> Transportation/Travel Information</b></h2>
<ul>
<li> Own transportation</li>
<li> Own vehicle</li>
<li> Vehicle supplied by employer</li>
<li> Valid driver's licence</li>
</ul>
<h2 class=""jobSectionHeader""><b> Work Conditions and Physical Capabilities</b></h2>
<ul>
<li> Fast-paced environment</li>
<li> Repetitive tasks</li>
<li> Physically demanding</li>
<li> Manual dexterity</li>
<li> Tight deadlines</li>
</ul>
<h2 class=""jobSectionHeader""><b> Personal Suitability</b></h2>
<ul>
<li> Effective interpersonal skills</li>
<li> Flexibility</li>
<li> Team player</li>
<li> Reliability</li>
</ul>
<h2 class=""jobSectionHeader""><b> Workplace information</b></h2>
<ul>
<li> On the road job</li>
</ul>
<h2 class=""jobSectionHeader""><b> Screening questions</b></h2>
<ul>
<li> Are you currently legally able to work in Canada?</li>
<li> Do you currently reside in proximity to the advertised location?</li>
<li> Do you have previous experience in this field of employment?</li>
<li> Are you available for the advertised start date?</li>
</ul>
</div>
</div>","['Effective interpersonal skills', 'Personal protective equipment (PPE) training', 'Do you currently reside in proximity to the advertised location?', 'Are you currently legally able to work in Canada?', 'Dangerous', 'Confined spaces', 'Industrial, commercial and institutional', 'Own transportation', 'Repetitive tasks', 'Do you have previous experience in this field of employment?', 'Suspended access¿training', 'Physically demanding', 'Are you available for the advertised start date?', 'Hard hat', 'Aerial lift and aerial work platform Certification', 'Own vehicle']"
