,title,company,location,link,description,skills
0,herbalist,parcoe ltd.,"Brampton, ON",https://ca.indeed.com/rc/clk?jk=b30172fe3f7caf92&fccid=752266237bb907e3&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><ul><li>or equivalent experience</li></ul><h2 class=""jobSectionHeader""><b>
Area of Specialization</b></h2><ul><li>
Acupuncture</li><li>
Homeopathy</li><li>
Herbal medicine</li></ul><h2 class=""jobSectionHeader""><b>
Specific Skills</b></h2><ul><li>
Provide other alternative forms of health care to patients</li><li>
Manipulate or apply pressure to various parts of the body, hands and feet</li><li>
Diagnose the diseases, physiological disorders and injuries of patients and treat them</li><li>
Advise patients on the use of herbs for the treatment of conditions</li><li>
Diagnose illnesses and treat them by administering, in chemical or herbal form, a small dosage of the illness itself</li></ul><h2 class=""jobSectionHeader""><b>
Security and Safety</b></h2><ul><li>
Criminal record check</li></ul><h2 class=""jobSectionHeader""><b>
Work Conditions and Physical Capabilities</b></h2><ul><li>
Fast-paced environment</li><li>
Work under pressure</li><li>
Repetitive tasks</li><li>
Physically demanding</li><li>
Attention to detail</li><li>
Sitting</li><li>
Combination of sitting, standing, walking</li><li>
Tight deadlines</li></ul><h2 class=""jobSectionHeader""><b>
Personal Suitability</b></h2><ul><li>
Effective interpersonal skills</li><li>
Flexibility</li><li>
Team player</li><li>
Excellent oral communication</li><li>
Excellent written communication</li><li>
Reliability</li></ul><h2 class=""jobSectionHeader""><b>
Screening questions</b></h2><ul><li>
Do you currently reside in proximity to the advertised location?</li><li>
What is your current level of study?</li><li>
What is your current field of study?</li><li>
What is the highest level of study you have completed?</li><li>
Are you available for shift or on-call work?</li><li>
Do you have the necessary equipment for remote work (i.e. internet, home office, etc.)?</li></ul></div></div>","['Effective interpersonal skills', 'Diagnose the diseases, physiological disorders and injuries of patients and treat them', 'Do you currently reside in proximity to the advertised location?', 'Criminal record check', 'Sitting', 'Repetitive tasks', 'or equivalent experience', 'Physically demanding', 'Excellent oral communication', 'Provide other alternative forms of health care to patients', 'Are you available for shift or on-call work?', 'Do you have the necessary equipment for remote work (i.e. internet, home office, etc.)?']"
1,newMarketing Systems Coordinator,Wild Rose College of Herbal Medicine,Remote,https://ca.indeed.com/company/Wild-Rose-College-of-Natural-Healing/jobs/Marketing-System-Coordinator-e77d600fe0fa3f86?fccid=f3711931012fe7c6&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p><b>Marketing Systems Coordinator</b></p>
<p><b>Company Profile: </b></p>
<p>Wild Rose College of Herbal Medicine is a Canadian-based online college that has been training herbalists since 1975. We are a dynamic, dedicated and hardworking team that prides itself on connecting plants and people.</p>
<p>At WRC, it is our mission to keep herbal knowledge alive and thriving and support its evolution for future generations. Our goal is to train herbalists in every community, creating resilient neighbourhoods and a more inclusive and self-sufficient healthcare model that is both adaptable and backed by science.</p>
<p><b>Role Overview: </b></p>
<p>The Communications Team is responsible for creating all communications and marketing strategies at Wild Rose College. We are the voice and tone of the college and are the point of contact with our community across a variety of communications channels. We pride ourselves on building community, providing engaging content, and setting an example for strong educational models and opportunities during the herb world in Canada.</p>
<p>Reporting to and working in tandem with the Communications Manager, you will be accountable for supporting the deliverance of compelling content via marketing funnels such as lead magnet strategies, direct email, lifetime communications and more within the Communications/Marketing department, across the stages of Wild Rose’s journey.</p>
<p>Your primary responsibility will be administration, technical support and delivery of marketing campaigns across messaging channels. You understand email marketing best practices as well as having experience in applying them. You have utilized digital platforms that support automation, email marketing, and cross-channel orchestration, and have experience creating and supporting lead magnet launches to successfully execute a variety of campaigns and marketing initiatives.</p>
<p>This role requires a combination of technical and marketing skills, and a background in creating digital marketing experiences, with an opportunity for growth within the role and the company.</p>
<p><b>Key Deliverables: </b></p>
<p>-Active Campaign support, management and administration in tandem with partners</p>
<p>-WordPress support &amp; administration: product page creation, website edits and updates, SEO markups</p>
<p>-Supporting the creation, management and optimization of various marketing campaigns working in partnership with the Communications Manager</p>
<p>-Technical &amp; logistical support for lead magnet development and lifecycle communications: landing pages, pop-ups/opt-ins, automations, webinars, free courses and downloads</p>
<p>-Experience with Landing Page builders (such as Elementor/AC) and Forms Builders (Ninja Forms, AC) &amp; pop up plug-in &amp; scheduler Hustle Pro (or similar)</p>
<p>-Support and testing channels, targeting, ad creative, and landing pages to drive improvement across all KPIs</p>
<p>-Creation and execution of email campaigns and automations in conjunction with the communications department, including scheduling, briefing of creative, campaign set up, QA/testing, execution and reporting</p>
<p>-Reviews deliverability performance for communication systems and works with appropriate teams or partners to optimize</p>
<p>-Engage with the Communications team to develop any new templates or concepts required</p>
<p>-Troubleshoot technical issues related to list segmentation, workflow configuration, HTML templates, and other aspects of digital communication executions, as required</p>
<p>-Developing and supporting reporting and analytics; reviewing deliverability performance for communication systems and working with appropriate teams to optimize</p>
<p>-Experience in supporting and delivering paid search (Google Ads) and paid social ads (Facebook/Meta) is considered an asset</p>
<p><b>Experience and Qualifications</b></p>
<ul>
<li>Education in Marketing or Communications is considered an asset</li>
<li>Experience: Minimum 1.5-2 years in a role focused on direct email, CRM and marketing systems creation or support</li>
<li>Technical skills: Experience with Email Service Provider, Marketing Automation system (Active Campaign), and digital analytics platform. Ability to write technical requirements and SOPs</li>
<li>Marketing skills: experience in Digital Marketing including email, website, lead magnet support and development. Strong understanding of database concepts and segmentation. Ability to identify audience segments and opportunities within, as well as knowledge of email deliverability best practices and how to apply them</li>
</ul>
<p>Business Acumen:</p>
<ul>
<li>Excellent communication and interpersonal skills (both written and verbal)</li>
<li>Extreme attention to detail in all areas–including visual formatting</li>
<li>Resourceful and solutions-focused, with a track record of establishing respect and credibility through actions</li>
<li>Ability to support, develop and collaborate on tools, tasks, and systems with a higher-level birds-eye-view with all stakeholders</li>
<li>Comfortable identifying technical solutions/capably problem-solving systems and technical issues (along with any required tech support) for all marketing initiatives</li>
<li>Take pride in executing small tasks related to marketing administration</li>
<li>Proactive with an inquiring mind–you have drive and initiative, and take pride in task completion and measuring results</li>
<li>Exemplary self-organization, time management and project management skills</li>
<li>Ability to identify efficiencies, plan, communicate, and work efficiently</li>
<li>Comfortable working independently with minimal direction, as well as working collaboratively as a team and contributing to a healthy team environment</li>
<li>Strong ability to effectively multi-task and manage multiple projects and effectively meet deadlines</li>
<li>Have a sense of humour, be a great teammate and contribute to a great work culture</li>
</ul>
<p>Skilled with:</p>
<p>Active Campaign | Google Suite | Sheets/Excel | Form Builders (Ninja Forms, AC) | Landing Page Builders (Elementor, AC, etc.) | Hustle Pro (or similar) Yoast SEO (or similar) | Trello/ Team Gantt) |</p>
<p>Familiarity with PS or Illustrator (photo resizing, basic edits, working on templates, etc) | Familiarity with FB/Meta Ads Manager Campaigns and Google Ads considered an asset</p>
<p>Hourly Rate: 23-25$/hr based on experience</p>
<p>Position Perks:</p>
<p>As a team member at Wild Rose College, you’ll enjoy:</p>
<p>-A remote work environment</p>
<p>-Flexible schedule (26-29 hours per week) with the opportunity to grow into FT hours</p>
<p>-Monthly phone &amp; internet allowance</p>
<p>-Benefits (a health and lifestyle spending account)</p>
<p><i>Location: Online (Remote). Please note: Candidates must be based within Canada.</i></p>
<p>Contact/Application Information</p>
<p>If you check all of the above boxes– and in fact love everything this job posting entails and are excited to connect further, please send your resume along with a cover letter indicating previous and related work experience.</p>
<p><b>Submit both to General Manager Farrah Thompson by May 13th, 2022.</b></p>
<p>At Wild Rose College, we know that like any ecosystem, diversity is a strength and our workplace is no different. We are passionate about building and sustaining an inclusive and equitable working and learning environment for our students, staff, and faculty, and are committed to the path of reconciliation in Canada. We believe every team member enriches our diversity by exposing us to a broad range of ways to understand and engage with the world.</p>
<p>We welcome submissions from a diverse range of qualified applicants and look forward to learning about you, your skills, how you envision yourself as part of our team and contributing to the growth of the college.</p>
<p>We thank all applicants for their interest, however, only those candidates who are selected will be contacted.</p>
<p>Job Types: Full-time, Permanent</p>
<p>Salary: $23.00-$25.00 per hour</p>
<p>Benefits:</p>
<ul>
<li>Extended health care</li>
<li>Work from home</li>
</ul>
<p>Schedule:</p>
<ul>
<li>Monday to Friday</li>
</ul>
<p>Experience:</p>
<ul>
<li>marketing: 2 years (required)</li>
</ul>
</div>","['If you check all of the above boxes– and in fact love everything this job posting entails and are excited to connect further, please send your resume along with a cover letter indicating previous and related work experience.', 'Experience: Minimum 1.5-2 years in a role focused on direct email, CRM and marketing systems creation or support', 'marketing: 2 years (required)', '-Developing and supporting reporting and analytics; reviewing deliverability performance for communication systems and working with appropriate teams to optimize', 'Resourceful and solutions-focused, with a track record of establishing respect and credibility through actions', 'Experience:', '-Engage with the Communications team to develop any new templates or concepts required', '-Experience in supporting and delivering paid search (Google Ads) and paid social ads (Facebook/Meta) is considered an asset', 'Strong ability to effectively multi-task and manage multiple projects and effectively meet deadlines', '-Flexible schedule (26-29 hours per week) with the opportunity to grow into FT hours', '-Monthly phone & internet allowance', 'Proactive with an inquiring mind–you have drive and initiative, and take pride in task completion and measuring results', 'Work from home', 'As a team member at Wild Rose College, you’ll enjoy:', 'Hourly Rate: 23-25$/hr based on experience', '-Benefits (a health and lifestyle spending account)', 'Technical skills: Experience with Email Service Provider, Marketing Automation system (Active Campaign), and digital analytics platform. Ability to write technical requirements and SOPs', 'Comfortable identifying technical solutions/capably problem-solving systems and technical issues (along with any required tech support) for all marketing initiatives', 'Key Deliverables:', '-Experience with Landing Page builders (such as Elementor/AC) and Forms Builders (Ninja Forms, AC) & pop up plug-in & scheduler Hustle Pro (or similar)', 'At Wild Rose College, we know that like any ecosystem, diversity is a strength and our workplace is no different. We are passionate about building and sustaining an inclusive and equitable working and learning environment for our students, staff, and faculty, and are committed to the path of reconciliation in Canada. We believe every team member enriches our diversity by exposing us to a broad range of ways to understand and engage with the world.', 'Exemplary self-organization, time management and project management skills', 'Comfortable working independently with minimal direction, as well as working collaboratively as a team and contributing to a healthy team environment', 'Extreme attention to detail in all areas–including visual formatting', 'Wild Rose College of Herbal Medicine is a Canadian-based online college that has been training herbalists since 1975. We are a dynamic, dedicated and hardworking team that prides itself on connecting plants and people.', 'Marketing skills: experience in Digital Marketing including email, website, lead magnet support and development. Strong understanding of database concepts and segmentation. Ability to identify audience segments and opportunities within, as well as knowledge of email deliverability best practices and how to apply them', 'Have a sense of humour, be a great teammate and contribute to a great work culture', 'Your primary responsibility will be administration, technical support and delivery of marketing campaigns across messaging channels. You understand email marketing best practices as well as having experience in applying them. You have utilized digital platforms that support automation, email marketing, and cross-channel orchestration, and have experience creating and supporting lead magnet launches to successfully execute a variety of campaigns and marketing initiatives.', 'Reporting to and working in tandem with the Communications Manager, you will be accountable for supporting the deliverance of compelling content via marketing funnels such as lead magnet strategies, direct email, lifetime communications and more within the Communications/Marketing department, across the stages of Wild Rose’s journey.', 'Submit both to General Manager Farrah Thompson by May 13th, 2022.', 'Excellent communication and interpersonal skills (both written and verbal)', 'Experience and Qualifications', '-Supporting the creation, management and optimization of various marketing campaigns working in partnership with the Communications Manager', 'Extended health care', 'Skilled with:', 'The Communications Team is responsible for creating all communications and marketing strategies at Wild Rose College. We are the voice and tone of the college and are the point of contact with our community across a variety of communications channels. We pride ourselves on building community, providing engaging content, and setting an example for strong educational models and opportunities during the herb world in Canada.', 'Take pride in executing small tasks related to marketing administration']"
2,E-commerce Brand Manager,Natural Wellbeing Distribution Inc.,"Vancouver, BC",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKCkLgEv60nz6iszFHqi23MNeSKkhg9AuO0Cjr-AIgo-i9yp9YaF6dHw-aPV5hmU1RlOcX1nT82_vfl1qS_bJarBMYXxxVEoy3DLXLOHSnn2oAK9--3Mmf27lX3S9LXfTFF7iKUrXcQIby-OoupGVTZXL2qvclINqX_Op0lt-XTyGI4Xt5rIuYU62d2yOiMPajeeMAPeUUaxtWFl4jytfsj5v5Qz8itOnJWeWCL-1XFSYer1aIE7UVC7yvmGYynE60OOH2xZjIgqbe1ghvChdp0WoTGtMpaECd5_ZmGpgl9-ejItjC8bCRdt4JTCpZVAEDGUuBOAvy00JgMHAaFqm9-0aPoOiQ8smTwXU76_HtqfofyiqeYI6FvuUyFuliTKHDTqCWNIWG_ggRdNOmltwnv-dZyqkV-N4zfxPQJbnZGSTCmpd9kZxd08ES_oB9BR6gSCwNHQtxe01DYHUkaRMyqBwTXE5zsJc=&p=2&fvj=1&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p><b>E-Commerce Brand Manager</b></p>
<p><b>Position Type: </b> Permanent, Full-time</p>
<p><b>Wage: </b> $75,000 per annum, to be reviewed after 90-days, annually thereafter</p>
<p><b>Start Date: </b> Immediate</p>
<p><b>Location: </b> Vancouver, BC</p>
<p><b>Who We Are: </b></p>
<p>Since 2001, Natural Wellbeing and Pet Wellbeing have been providing trusted and effective wellness support through our complete range of premium-quality natural health supplements. Our scientifically researched natural remedies are formulated by expert herbalists and holistic veterinarians. Our values include a commitment to our customers on the quality and effectiveness of our products, to the planet, and to giving back.</p>
<p>Our entire team works together very closely and everyone’s voice is valued, encouraged, and heard.</p>
<p><b>Who We Are Looking For: </b></p>
<p>The Pet Wellbeing Brand Manager is responsible for adapting and implementing our brand strategy in order to support sales growth goals, and ensure successful and on-time execution of marketing and corporate initiatives.</p>
<p>They will participate in brand strategy discussions and work with creative and marketing teams to ensure strategic objectives are met. As the 'brand guardian', this individual will help align the Brand across the organization and maintain integrity across all channels and platforms.</p>
<p>We possess a strong focus on continuous improvement, intellectual curiosity, and challenging the status quo. We are seeking a like-minded individual, and being a self-starter is a must! The successful candidate will be exceptionally well-organized and meticulously thorough. They must be able to effectively and respectfully communicate, both written and verbal, with all types of individuals. Being innovative and possessing strong problem-solving skills will benefit this position and lead to success in the role.</p>
<p><b>Responsibilities &amp; Overview: </b></p>
<ul>
<li>Overseeing and coordinating external agency partners on the development, design, and production of creative assets</li>
<li>Ensuring consistent messaging across all marketing, sales and corporate materials throughout the organization</li>
<li>Planning/forecasting and tracking/managing the marketing budget</li>
<li>Gathering, analyzing, and benchmarking competitors and pet industry insights, trends and data</li>
</ul>
<p><b>Key Competencies: </b></p>
<ul>
<li>Branding and Marketing Experience</li>
<li>Brand awareness - a clear understanding of Pet Wellbeing Brand and market mix</li>
<li>Strong design sense, creativity, and imagination</li>
<li>Demonstrate superior project management skills</li>
<li>Thorough understanding of Internet marketing tactics and KPIs</li>
<li>Relationship management skills, diplomacy</li>
<li>Determination, perseverance, focus, and efficiency</li>
<li>Results driven and ability to prioritize</li>
<li>A high degree of business acumen</li>
<li>Aligns well with Organizational Culture</li>
<li>Prior experience in the natural supplement industry</li>
<li>Understanding of regulatory environment in countries where we sell</li>
</ul>
<p><b>Job Requirements (preferred): </b></p>
<ul>
<li>Minimum of 3 years experience in a Brand Management role</li>
<li>Bachelor degree in business, marketing, or related field</li>
<li>Experience with new product launches, or launching a brand into a new market</li>
<li>Demonstrated project and budget management</li>
<li>Those with prior natural supplement experience will be considered first</li>
</ul>
<p><b>Benefits (when position becomes permanent): </b></p>
<ul>
<li>Paid vacation, sick &amp; personal days, and statutory holidays</li>
<li>Health benefits (following 90 days of continuous employment)</li>
<li>Flexible work hours and location (home, office)</li>
<li>Access to health supplements in our product lines</li>
<li>On-site fitness centre and bike locker</li>
</ul>
<p>Job Types: Full-time, Permanent</p>
<p>Salary: From $75,000.00 per year</p>
<p>Benefits:</p>
<ul>
<li>Extended health care</li>
<li>Flexible schedule</li>
<li>On-site gym</li>
<li>Paid time off</li>
<li>Store discount</li>
<li>Work from home</li>
</ul>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
<li>Monday to Friday</li>
</ul>
<p>Education:</p>
<ul>
<li>Bachelor's Degree (preferred)</li>
</ul>
<p>Experience:</p>
<ul>
<li>Brand Management: 3 years (required)</li>
</ul>
</div>","['Thorough understanding of Internet marketing tactics and KPIs', 'Flexible schedule', 'Overseeing and coordinating external agency partners on the development, design, and production of creative assets', 'Who We Are:', 'Experience:', 'Flexible work hours and location (home, office)', 'Brand Management: 3 years (required)', 'Prior experience in the natural supplement industry', 'Those with prior natural supplement experience will be considered first', 'Work from home', 'Gathering, analyzing, and benchmarking competitors and pet industry insights, trends and data', 'We possess a strong focus on continuous improvement, intellectual curiosity, and challenging the status quo. We are seeking a like-minded individual, and being a self-starter is a must! The successful candidate will be exceptionally well-organized and meticulously thorough. They must be able to effectively and respectfully communicate, both written and verbal, with all types of individuals. Being innovative and possessing strong problem-solving skills will benefit this position and lead to success in the role.', 'Demonstrated project and budget management', 'Paid time off', 'Minimum of 3 years experience in a Brand Management role', 'On-site gym', 'Wage:  $75,000 per annum, to be reviewed after 90-days, annually thereafter', 'Bachelor degree in business, marketing, or related field', 'On-site fitness centre and bike locker', 'Strong design sense, creativity, and imagination', 'Planning/forecasting and tracking/managing the marketing budget', 'Who We Are Looking For:', 'Demonstrate superior project management skills', 'Experience with new product launches, or launching a brand into a new market', 'Ensuring consistent messaging across all marketing, sales and corporate materials throughout the organization', 'Extended health care', 'Paid vacation, sick & personal days, and statutory holidays', 'Branding and Marketing Experience']"
3,"Part-time CSR / Nutritionist (16 to 28 hours/week, closing s...",The Big Carrot,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=02fcc473ef3e8ef5&fccid=a23b1d3f68b584b0&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p></p>
<div>
<p>The primary function of the Customer Service Representative / Nutritionist is to provide overall frontline customer care, through clear communication with customers, staff, and department managers. The role requires effectively delivering one-to-one and group information either in a preventative or a service capacity, and to achieve and maintain the highest level of customer satisfaction.</p>
<p><b> CSR/Cash Responsibilities</b></p>
<ul>
<li>Excellent customer care aptitude in all avenues of customer interaction.</li>
<li>Research and update customer handout sheets.</li>
<li>Process customer requests i.e cooking class enrollment, mail outs, nutritional store tours (refer to department training binder.)</li>
<li>Various cashier duties: keying in or scanning the price of merchandise, receiving payments, bagging productivity</li>
<li>Receive, stock, and face appliances/department products.</li>
<li>Follow opening, closing, and cleaning procedures.</li>
<li>Facilitate and support the roles of the Department Manager and Head Nutritionist.</li>
<li>Completes all tasks as indicated by Department Manager, Head Nutritionists, and Standards Coordinator as required to fill the needs of the job.</li>
<li>Identify and offer accessibility customer service assistance to anyone entering the building that has a visible disability. Involves retrieving desired items or providing personal shopping assistance.</li>
</ul>
<br/>
<p></p>
<p><b> Nutritionist Responsibilities</b></p>
<ul>
<li>Researching how the body’s functions are affected by nutrient supply, examining the process of nourishment, and the association between diet, disease and health.</li>
<li>Well-versed in current products, trends, and food issues as well as the store’s active projects and ongoing standards initiatives.</li>
<li>Investigating the relationship between genes and nutrients, studying how diet affects metabolism.</li>
<li>Providing health and wellness advice and promoting healthy eating and lifestyle.</li>
<li>Involvement in outreach projects in collaboration with the PR in the Marketing department.</li>
<li>Advising on specific diets and dietary needs.</li>
<li>Educating customers about nutrition.</li>
<li>Working as part of a multi-disciplinary team/supporting the work of other healthcare professionals (NDs, Herbalists).</li>
<li>Host store tours regarding specific and general food related or store topic.</li>
<li><i>Responsibilities may include any additional job-related duties as required by the Assistant Store Manager</i></li>
</ul>
<br/>
<p></p>
<p><b> Skills, Knowledge and Experience:</b></p>
<ul>
<li>A degree in Holistic Nutrition from an accredited institution is required</li>
<li>Minimum of 2 years previous customer service experience or working one-on-one with the public is an asset.</li>
<li>Training, knowledge, and awareness of Canadian organic standards, genetically engineered foods and food security is an asset.</li>
<li>Teamwork skills demonstrated from past work experience an asset.</li>
<li>Good interpersonal, communication, and social skills.</li>
<li>Previous experience working with processing cash, debit and credit transactions an asset</li>
</ul>
<br/>
<p></p>
<p> The Big Carrot is committed to providing accommodations for people with disabilities. If you require an accommodation, let us know in advance and we will work with you to meet your needs.</p>
<p><b><i> Only those candidates who are shortlisted will be contacted for an interview.</i></b></p>
<p><b> Please note only those individuals legally entitled to work in Canada will be considered for employment with the Big Carrot.</b></p>
</div>
</div>","['Only those candidates who are shortlisted will be contacted for an interview.', 'Completes all tasks as indicated by Department Manager, Head Nutritionists, and Standards Coordinator as required to fill the needs of the job.', 'Previous experience working with processing cash, debit and credit transactions an asset', 'Teamwork skills demonstrated from past work experience an asset.', 'Skills, Knowledge and Experience:', 'Follow opening, closing, and cleaning procedures.', 'Researching how the body’s functions are affected by nutrient supply, examining the process of nourishment, and the association between diet, disease and health.', 'A degree in Holistic Nutrition from an accredited institution is required', 'Receive, stock, and face appliances/department products.', 'Various cashier duties: keying in or scanning the price of merchandise, receiving payments, bagging productivity', 'Providing health and wellness advice and promoting healthy eating and lifestyle.', 'Training, knowledge, and awareness of Canadian organic standards, genetically engineered foods and food security is an asset.', 'Investigating the relationship between genes and nutrients, studying how diet affects metabolism.', 'Educating customers about nutrition.', 'Advising on specific diets and dietary needs.', 'Identify and offer accessibility customer service assistance to anyone entering the building that has a visible disability. Involves retrieving desired items or providing personal shopping assistance.', 'Minimum of 2 years previous customer service experience or working one-on-one with the public is an asset.', 'Well-versed in current products, trends, and food issues as well as the store’s active projects and ongoing standards initiatives.', 'Excellent customer care aptitude in all avenues of customer interaction.', 'Working as part of a multi-disciplinary team/supporting the work of other healthcare professionals (NDs, Herbalists).', 'Good interpersonal, communication, and social skills.']"
4,title,company,location,link,description,[]
5,Flight Instructor,MNB Aviation Inc,Greater Ottawa Metropolitan Area,https://ca.linkedin.com/jobs/view/flight-instructor-at-mnb-aviation-inc-3027856964?refId=NZ1aSdjg%2BetytSNXrnoGPQ%3D%3D&trackingId=0TPWQB2scJyZyanvfUixbw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Looking for a full time flight instructor with a current flight instructor rating.  Our school is ramping up for potential growth in 2022.  <br>Please send all applications and experience to mnbaviation@gmail.com
      ",[]
6,Banque de candidatures - Enseignante ou enseignant à l'Enseignement régulier,Cégep Marie-Victorin,"Montreal, Quebec, Canada",https://ca.linkedin.com/jobs/view/banque-de-candidatures-enseignante-ou-enseignant-%C3%A0-l-enseignement-r%C3%A9gulier-at-c%C3%A9gep-marie-victorin-2941682306?refId=NZ1aSdjg%2BetytSNXrnoGPQ%3D%3D&trackingId=WCzatWOgCMNFwtfDdBSDfQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Looking for a full time flight instructor with a current flight instructor rating.  Our school is ramping up for potential growth in 2022.  <br>Please send all applications and experience to mnbaviation@gmail.com
      ",[]
7,CCYC Online Teacher,CCYC Potential Education Centre,"Ontario, Canada",https://ca.linkedin.com/jobs/view/ccyc-online-teacher-at-ccyc-potential-education-centre-3060398399?refId=NZ1aSdjg%2BetytSNXrnoGPQ%3D%3D&trackingId=BS0l5MVmWzejZj%2FFH20pxw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Looking for a full time flight instructor with a current flight instructor rating.  Our school is ramping up for potential growth in 2022.  <br>Please send all applications and experience to mnbaviation@gmail.com
      ",[]
8,Secondary School Teacher,Rowan's Room Developmental Society,"Cambridge, Nova Scotia, Canada",https://ca.linkedin.com/jobs/view/secondary-school-teacher-at-rowan-s-room-developmental-society-2420065014?refId=NZ1aSdjg%2BetytSNXrnoGPQ%3D%3D&trackingId=Lde56lI7BdDfVAOApLVOOw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Looking for a full time flight instructor with a current flight instructor rating.  Our school is ramping up for potential growth in 2022.  <br>Please send all applications and experience to mnbaviation@gmail.com
      ",[]
9,Online Teachers,Couch Tutors,Greater Vancouver Metropolitan Area,https://ca.linkedin.com/jobs/view/online-teachers-at-couch-tutors-3033837726?refId=NZ1aSdjg%2BetytSNXrnoGPQ%3D%3D&trackingId=iNVspssTJFnESNmTsuEIuA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Looking for a full time flight instructor with a current flight instructor rating.  Our school is ramping up for potential growth in 2022.  <br>Please send all applications and experience to mnbaviation@gmail.com
      ",[]
