,title,company,location,link,description,skills
0,newGuest Experience Host/Hostess,Lilac & Vine,"Prince Edward, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_uoflwvJiSjTjS8_yAotcUuE_LSxOgLSzPsPLepREbx7rEMJ00lzimb29X8hlJ4KYlDOoCdnlyFOgKQZXMKNzSV1tQL9NinG7dj0tNZhz5Xj5JNReoMUweh1kGsAy5PMXp8xdPSaVNppkShAfyWVB9-jvS6hkvYYkYer8WtC4dMYxAKRFn_jK5y8keoQJnKpegIUfQOapZM0cfGGr6UI6eBZxhbXNsG_-gWs2kuP7W69eyzc3t1J2s1INr3z76Q2cEmWgEA2ANqem8g-Y_tobugURYq4wmleQv0C3HZKPjL49N94QzLts3_wn1iHp7vlwIl_9S5vIwaismEI_Yj8SJnpuYSCW6xTpJw9IHG0Os7lpTqvxiqcr3bBliaWb8MN9V_QMTykfotypt_000uvLJHXCeYwfqKqkNa40XaMPoJn84ipxb6DlT7Brp2rE8ojQWmbUpqBwiRhB0hiPtat7Ya9GOxpBjWg=&p=0&fvj=1&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p><b>Experience Host Job Description </b></p>
<p>The <i>Experience Host</i> will be in charge of the set-up, execution and hosting of Lilac &amp; Vine bookable experiences, including picnics, luxury beach days and bike rentals.</p>
<p>The candidate is a detail-oriented, positive, responsible, and social individual who has excellent and has excellent customer service and an interest in working with people. Lilac &amp; Vine<br/>Experience Coordinators will act as the face of L&amp;V with a primary goal to offer a premium and flawless experience and to ensure that our guests have an incredible and memorable time.</p>
<p><b><i>Type</i></b> : Casual to Contract, part-time<br/>4-6 hour daytime and weekend shifts</p>
<p><b>Responsibilities: </b><br/>Assists in the set-up, execution and tear down of all events and experiences. These may include, but not limited to, picnics, wine tours, bike rentals, luxury beach days, dinners, or larger events.<br/>Ensuring all details and aspects of the experience are perfect<br/>Welcoming and hosting guests during their experience<br/>Ensuring guests have a memorable time<br/>Acting as the point of contact for all clients during their Lilac &amp; Vine bookable experience.</p>
<p><b><i>Minimum Qualifications </i> </b><br/>Excellent interpersonal skills<br/>Positive attitude and willingness to be hands-on<br/>Polished and poised<br/>Excellent problem-solving skills<br/>Interest in hospitality and/or customer service opportunities<br/>Willingness to work flexible hours, including some evenings and weekends.<br/>Living or working within 60 mins driving distance of Prince Edward County, ideally.<br/>Valid Ontario Drivers license and access to a car.</p>
<p>Hourly wage: $20/hour - $22/hour, plus summer-end bonus</p>
<p><b>About Lilac &amp; Vine</b></p>
<p>Lilac &amp; Vine plans unique and luxurious weddings, events, and experiences amongst the picturesque wineries, lavender fields, and white sand beaches of beautiful Prince Edward<br/>County.</p>
<p>From intimate boutique weddings, memorable farm-to-table dining experiences, or larger events and weddings that exude an upscale rustic-meets-magical feel, we plan and personalize each celebration to capture your vision while expertly curating and highlighting the very best of ‘the County.’</p>
<p>To learn more, visit: https://lilacandvine.ca</p>
<p>Job Types: Part-time, Fixed term contract, Casual, Freelance, Seasonal, Internship / Co-op<br/>Contract length: 4 months<br/>Part-time hours: 6-26 per week</p>
<p>Salary: $20.00-$25.00 per hour</p>
<p>Additional pay:</p>
<ul>
<li>Bonus pay</li>
</ul>
<p>COVID-19 considerations:<br/>Hosts will have the option to wear masks while they work<br/>Guests will be reminded of Covid-19 protocols</p>
<p>Application deadline: 2022-05-31</p>
</div>","['The Experience Host will be in charge of the set-up, execution and hosting of Lilac & Vine bookable experiences, including picnics, luxury beach days and bike rentals.', 'The candidate is a detail-oriented, positive, responsible, and social individual who has excellent and has excellent customer service and an interest in working with people. Lilac & VineExperience Coordinators will act as the face of L&V with a primary goal to offer a premium and flawless experience and to ensure that our guests have an incredible and memorable time.', 'Responsibilities: Assists in the set-up, execution and tear down of all events and experiences. These may include, but not limited to, picnics, wine tours, bike rentals, luxury beach days, dinners, or larger events.Ensuring all details and aspects of the experience are perfectWelcoming and hosting guests during their experienceEnsuring guests have a memorable timeActing as the point of contact for all clients during their Lilac & Vine bookable experience.', 'Additional pay:', 'Experience Host Job Description']"
1,newFull/Part Time Host,Moxies,"Edmonton, AB",https://ca.indeed.com/rc/clk?jk=2c25287186c1ebde&fccid=f45074b0b6612929&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><p>Our people are the heart and soul of our business, and we are looking for enthusiastic, upbeat, and bubbly personalities to join our team. Hosts are essential to our business as they are the life and spirit of our restaurants; from directly before a guest enters, throughout their entire experience, all the way up to the moment they leave.</p><p>
Our restaurants are industry leaders in team development and offer unique opportunities for personal growth, regardless of where you are at in your career. You will be sure to make meaningful, career-enhancing connections and lifelong friends along the way.
</p><p>Our menu, continuously developed by our Executive Chef, features globally inspired flavors and fresh, high quality ingredients. Our passion for the culinary arts and hospitality is evident in our menu, but also in our teams. Both our culinary and front of house staff members are made of people who work to make memorable experiences for our guests, from handcrafted dishes to flawless table service, focused on excellence in every detail.</p><p><b><br/>
Key Responsibilities</b></p><ul><li>
Providing a world class impression on each and every guest, along with supporting your team in any way you can, some of your responsibilities will include:</li><li>
Seeking endless opportunities to offer hospitality to our guests and team members</li><li>
Helping to maintain a clean and organized restaurant</li><li>
Leading our front door to ensure prompt, friendly greeting and seating of each guest</li><li>
Be a part of welcoming and training new team members</li></ul><p><b>
Key Requirements</b></p><ul><li>
Energetic and positive</li><li>
Ability to remain highly organized</li><li>
Team oriented</li><li>
Strong work ethic</li><li>
Dependable and flexible</li><li>
Committed to continuous improvement</li></ul><p><b>
Opportunities</b><b>
</b></p><p>With our company, you will have the chance to:</p><ul><li>
Gain valuable experience in time management and communication</li><li>
Expand your network with new connections</li><li>
Advance your people skills</li><li>
Grow your career in our rapidly expanding company</li><li>
Learn about opportunities for taking part in new restaurant opens across Canada and the USA</li></ul><p>
We would like the chance to meet you, bring your resume in. Thank you, have the best day!</p></div></div>","['Our restaurants are industry leaders in team development and offer unique opportunities for personal growth, regardless of where you are at in your career. You will be sure to make meaningful, career-enhancing connections and lifelong friends along the way.', 'Leading our front door to ensure prompt, friendly greeting and seating of each guest', 'Grow your career in our rapidly expanding company', 'Committed to continuous improvement', 'Be a part of welcoming and training new team members', 'Strong work ethic', 'Helping to maintain a clean and organized restaurant', 'Gain valuable experience in time management and communication', 'Learn about opportunities for taking part in new restaurant opens across Canada and the USA', 'We would like the chance to meet you, bring your resume in. Thank you, have the best day!', 'Seeking endless opportunities to offer hospitality to our guests and team members', 'Advance your people skills', 'Dependable and flexible', 'Expand your network with new connections', 'Our people are the heart and soul of our business, and we are looking for enthusiastic, upbeat, and bubbly personalities to join our team. Hosts are essential to our business as they are the life and spirit of our restaurants; from directly before a guest enters, throughout their entire experience, all the way up to the moment they leave.', 'Energetic and positive', 'Providing a world class impression on each and every guest, along with supporting your team in any way you can, some of your responsibilities will include:']"
2,Host/Interviewer,Follow The Money Investor Group,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BzKtJ10PAAjMGZLSUGYQ6dtlJkO7ADvQY26PSVXzsC25hmJ5S4buJFoXqt3-AlH3I9F-RnE_6efh2z4tlrxoiKKszUmNtd_n113-4wbwC8Gzs120qXQRnt3w4hyYu43HDIY7W1soFqDlyNtx1s35V-SvwnjwnjErKDT3L3I5zi-u6xrDCukcW_thUp44xvuOP3W7h0Bvzw0p8nuM4W6_YMdDpNJKqsNL96koQVFz7ZDwxStDVHUdxgjPSHjQxiXdOmjHS8s0DbrA46sWb3H6-0QfnlowmxAQYLaUXFssPs5xS8Z7bw9DuOMF_FVIlNRNpowNkGNdIZaJSDPqDXsLkRrf_8DKeuNUdmkyE2_rmak-1ezE9CXfQxEIo_BaqdgU-sI3JDRTFKMnyV93JCYlOsLSYdaVvTYdLnBQ3VjGe-hMIc4NfDQTX9J72Ax_0wgsZyG89BwOChvFsHEwHWn3cm&p=2&fvj=1&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>Follow the Money is looking for an enthusiastic, experienced, highly motivated host for interviewing guests/clients within the NFTs, Crypto, Real Estate, Lifestyle and Metaverse sectors.</p>
<p>The successful candidate will be outwardly focused and dedicated to serving our audience and community, be passionate about various topics of conversation, and possess an engaging personality with a teamwork-driven mentality.</p>
<p>Specific Responsibilities Include</p>
<ul>
<li>Host Follow the Money live or pre-recorded interviews/podcasts with various guests on various topics and sectors</li>
<li>Write scripts for posting on all platforms</li>
<li>Balance the interview with credibility and personality</li>
<li>Exhibit leadership in the direction of the conversation and maintain interest/engagement</li>
<li>Represent FTMIG at various meetings/events with a professional Code of Conduct</li>
<li>Other related duties as assigned</li>
</ul>
<p>Job Type: Part-time<br/>Part-time hours: 20 per week</p>
<p>Salary: $15.00-$30.00 per hour</p>
<p>Schedule:</p>
<ul>
<li>On call</li>
</ul>
<p>Ability to commute/relocate:</p>
<ul>
<li>Toronto, ON: reliably commute or plan to relocate before starting work (required)</li>
</ul>
<p>Experience:</p>
<ul>
<li>Travel, Attractions &amp; Events Occupations: 2 years (preferred)</li>
</ul>
</div>","['Write scripts for posting on all platforms', 'Other related duties as assigned', 'Follow the Money is looking for an enthusiastic, experienced, highly motivated host for interviewing guests/clients within the NFTs, Crypto, Real Estate, Lifestyle and Metaverse sectors.', 'Host Follow the Money live or pre-recorded interviews/podcasts with various guests on various topics and sectors', 'Travel, Attractions & Events Occupations: 2 years (preferred)', 'Specific Responsibilities Include', 'Experience:', 'Balance the interview with credibility and personality']"
3,Day Host,Moxies,"Edmonton, AB+1 location",https://ca.indeed.com/rc/clk?jk=dbe6a989aeb26a8e&fccid=f45074b0b6612929&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<div>
<p>Our people are the heart and soul of our business, and we are looking for enthusiastic, upbeat, and bubbly personalities to join our team. Hosts are essential to our business as they are the life and spirit of our restaurants; from directly before a guest enters, throughout their entire experience, all the way up to the moment they leave.</p>
<p> Our restaurants are industry leaders in team development and offer unique opportunities for personal growth, regardless of where you are at in your career. You will be sure to make meaningful, career-enhancing connections and lifelong friends along the way. </p>
<p>Our menu, continuously developed by our Executive Chef, features globally inspired flavors and fresh, high quality ingredients. Our passion for the culinary arts and hospitality is evident in our menu, but also in our teams. Both our culinary and front of house staff members are made of people who work to make memorable experiences for our guests, from handcrafted dishes to flawless table service, focused on excellence in every detail.</p>
<p><b><br/> Key Responsibilities</b></p>
<ul>
<li> Providing a world class impression on each and every guest, along with supporting your team in any way you can, some of your responsibilities will include:</li>
<li> Seeking endless opportunities to offer hospitality to our guests and team members</li>
<li> Answering the phone to handle reservations and guest inquiries</li>
<li> Helping to maintain a clean and organized restaurant</li>
<li> Leading our front door to ensure prompt, friendly greeting and seating of each guest</li>
<li> Be a part of welcoming and training new team members</li>
</ul>
<p><b> Key Requirements</b></p>
<ul>
<li> Energetic and positive</li>
<li> Ability to remain highly organized</li>
<li> Team oriented</li>
<li> Strong work ethic</li>
<li> Dependable and flexible</li>
<li> Committed to continuous improvement</li>
</ul>
<p><b> Opportunities</b><b> </b></p>
<p>With our company, you will have the chance to:</p>
<ul>
<li> Gain valuable experience in time management and communication</li>
<li> Expand your network with new connections</li>
<li> Advance your people skills</li>
<li> Grow your career in our rapidly expanding company</li>
<li> Learn about opportunities for taking part in new restaurant opens across Canada and the USA</li>
</ul>
</div>
<p></p>
</div>","['Answering the phone to handle reservations and guest inquiries', 'Our restaurants are industry leaders in team development and offer unique opportunities for personal growth, regardless of where you are at in your career. You will be sure to make meaningful, career-enhancing connections and lifelong friends along the way.', 'Leading our front door to ensure prompt, friendly greeting and seating of each guest', 'Grow your career in our rapidly expanding company', 'Committed to continuous improvement', 'Be a part of welcoming and training new team members', 'Helping to maintain a clean and organized restaurant', 'Gain valuable experience in time management and communication', 'Seeking endless opportunities to offer hospitality to our guests and team members', 'Dependable and flexible', 'Expand your network with new connections', 'Our people are the heart and soul of our business, and we are looking for enthusiastic, upbeat, and bubbly personalities to join our team. Hosts are essential to our business as they are the life and spirit of our restaurants; from directly before a guest enters, throughout their entire experience, all the way up to the moment they leave.', 'Energetic and positive', 'Providing a world class impression on each and every guest, along with supporting your team in any way you can, some of your responsibilities will include:']"
4,Host/Hostess,El Beso YEG,"Edmonton, AB",https://ca.indeed.com/company/El-Beso-YEG/jobs/Host-Hostess-4f48181d92898d6b?fccid=d947f472a534ae22&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>As a member of the host team, you are the first point of contact for a guest when they come into the restaurant, so you set the tone for the whole experience. There are three main roles on the hostess team: Greeter, Seater &amp; Support. Host and Hostesses are to provide a warm welcoming environment for our guests, and to be able to keep them happy when they are waiting for a table.</p>
<p>As a part of the hostess team, you are responsible for but not limited to:</p>
<p>· The flow of the room</p>
<p>· Review all reservations for the shift and assigning a suitable table</p>
<p>· Quote accurate wait times</p>
<p>· Answer the phone in a professional manner</p>
<p>· General cleanliness of the entrance</p>
<p>· Washroom checks</p>
<p>· Helping run food when not busy at the door</p>
<p>Your job doesn’t end once a table is happily seated. We want to make sure as every guest leaves, we thank them for coming in and that we hope to see them again. You are also the last line of defense for an unhappy guest.</p>
<p>If for any reason a guest is unhappy with their experience at El Beso, we would like to resolve the issue before they leave so they end up leaving happy wanting to come back.</p>
<p>Job Types: Part-time, Permanent</p>
<p>Salary: $15.00-$16.00 per hour</p>
<p>Additional pay:</p>
<ul>
<li>Tips</li>
</ul>
<p>Schedule:</p>
<ul>
<li>Night shift</li>
<li>Weekend availability</li>
</ul>
</div>","['· General cleanliness of the entrance', '· Helping run food when not busy at the door', 'If for any reason a guest is unhappy with their experience at El Beso, we would like to resolve the issue before they leave so they end up leaving happy wanting to come back.', 'Additional pay:', '· Quote accurate wait times', '· Review all reservations for the shift and assigning a suitable table', 'As a member of the host team, you are the first point of contact for a guest when they come into the restaurant, so you set the tone for the whole experience. There are three main roles on the hostess team: Greeter, Seater & Support. Host and Hostesses are to provide a warm welcoming environment for our guests, and to be able to keep them happy when they are waiting for a table.', 'Your job doesn’t end once a table is happily seated. We want to make sure as every guest leaves, we thank them for coming in and that we hope to see them again. You are also the last line of defense for an unhappy guest.', '· Answer the phone in a professional manner']"
5,Host Ambassador – Virtual (FT),Canada Homestay International,Remote in Canada,https://ca.indeed.com/company/Canada-Homestay-Network/jobs/Host-Ambassador-Virtual-ca0a87ae04c5f999?fccid=e19d0c8a9320328b&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><ul><li>24-Feb-2022 to Until Filled (PST)</li><li>Canada Homestay Network Host Ambassador</li><li>CAN</li><li>$19.50 - $21.50</li><li>Hourly</li><li>Full Time</li></ul><p>Canada Homestay Network is looking for two <b>Full-Time</b>* Host Ambassadors (virtual).*<br/><b>Who We Are</b><br/>The Canada Homestay Network Society is a family-run, non-profit society, that has helped tens of thousands of students find a home away from home in Canada. CHN has been connecting international students to compassionate and caring Canadian families for over 25 years.<br/><b>Our Values</b><br/>Listening Curiously<br/>Collaborating Optimistically<br/>Growing Courageously<br/>Guiding Compassionately<br/>Giving Wholeheartedly<br/><b>More about the Host Ambassador position</b><br/><b>Host Ambassadors</b> are responsible for ensuring the overall success of homestay programs by developing a thriving host network that enhances CHN's reputation for stellar host families. Host Ambassadors qualify new and existing host parents to provide safe and supportive homes to international students while in Canada.<br/><b>Key Responsibilities</b></p><ul><li>Conduct pre-screen calls and enter data into our host database;</li></ul><ul><li>Conduct host annual reviews;</li></ul><ul><li>Enter data and supporting documentation (ie. criminal record checks, host agreements, etc.) following all CHN protocols for due diligence and data integrity;</li></ul><ul><li>Field inquires from prospective hosts;</li></ul><ul><li>Assist prospective hosts with the host application process;</li></ul><ul><li>Provide assistance to hosts with the Host Portal and Bridge Learning Centre;</li></ul><ul><li>Follow-up on unconverted or stalled Host leads;</li></ul><ul><li>Liaise with the local Relationship Manager to resolve outstanding host due diligence;</li></ul><ul><li>Assist with host recruitment and retention initiatives, ie. Host recognition, referrals, Host orientations etc., and,</li></ul><ul><li>All Host Ambassadors must have a cell phone for emergency support and high-speed internet access.</li></ul><p>*<br/>The successful candidate will be enthusiastic about*</p><ul><li>Working from home</li></ul><ul><li>Relationship building and customer service</li></ul><ul><li>Learning and understanding cultural differences within and outside of Canada</li></ul><ul><li>Building relationships, especially with host families</li></ul><ul><li>Processing host administrative work and applications</li></ul><p>*<br/>How we sweeten the deal*</p><ul><li>Benefits package (with shared premiums)</li></ul><ul><li>Vacation Pay</li></ul><ul><li>Wellness subsidy</li></ul><ul><li>Paid volunteer days</li></ul><ul><li>Paid professional development</li></ul><p>*<br/>The successful candidate will have*</p><ul><li>Excellent sales and interpersonal skills with the willingness and ability to promote and sell the CHN Host program;</li></ul><ul><li>Positive communication skills including conflict resolution;</li></ul><ul><li>Ability to work in a team and maintain and develop relationships with colleagues and their local community;</li></ul><ul><li>Working knowledge of database software products as well as online communication tools (preferably Excel, Word, Filemaker Pro, and Skype);</li></ul><ul><li>Working knowledge of utilizing an email client or webmail;</li></ul><ul><li>Effective business writing skills, strong problem solving and organizational skills, including attention to detail;</li></ul><ul><li>Knowledge of CHN policies and procedures;</li></ul><ul><li>Knowledge of international students and their cultures;</li></ul><p>*<br/>ESSENTIAL*<br/><b>How to Apply: </b><br/>Please submit your <b>resume and cover letter.</b></p><p>Full Job Description</p><p>Job Type: Full-time</p><p>Salary: $19.50-$21.50 per hour</p></div>","['Hourly', 'Processing host administrative work and applications', 'Working knowledge of utilizing an email client or webmail;', 'Working knowledge of database software products as well as online communication tools (preferably Excel, Word, Filemaker Pro, and Skype);', 'Paid volunteer days', 'Positive communication skills including conflict resolution;', 'Assist with host recruitment and retention initiatives, ie. Host recognition, referrals, Host orientations etc., and,', 'Effective business writing skills, strong problem solving and organizational skills, including attention to detail;', 'Enter data and supporting documentation (ie. criminal record checks, host agreements, etc.) following all CHN protocols for due diligence and data integrity;', 'Assist prospective hosts with the host application process;', 'Building relationships, especially with host families', 'Paid professional development', 'Provide assistance to hosts with the Host Portal and Bridge Learning Centre;', '*ESSENTIAL*How to Apply: Please submit your resume and cover letter.', 'Excellent sales and interpersonal skills with the willingness and ability to promote and sell the CHN Host program;', 'Working from home', 'Liaise with the local Relationship Manager to resolve outstanding host due diligence;', 'Full Time']"
6,Host,Chop Steakhouse & Bar,"Remote in Sherwood Park, AB+6 locations",https://ca.indeed.com/rc/clk?jk=24870a4a8803d039&fccid=9583d75ac4b37597&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<div>
<p>You believe in fresh food and warm welcomes.</p>
<p><br/> You care about having a positive impact on our planet.</p>
<p><br/> You know that working together with other creative minds makes special things happen. We're so happy you've found us. Let's work together!</p>
<p></p>
<p><b><br/> Why join our team?</b></p>
<ul>
<li> Because some jobs are boring. This one isn't.</li>
<li> You'll make new friends and have fun at work.</li>
<li> We operate Restaurants, Hotels and Mountain resorts in 8 Canadian provinces and in the US and UK. Feel like travel, anyone?</li>
<li> We believe in promoting from within. Learn new skills and have opportunities for advancement with talented mentors. </li>
<li>Ever been part of a new restaurant opening team? Fun. Sleep. Repeat. </li>
<li>We're growing, and we want you to come with us.</li>
</ul>
<p><b><br/> What's our recipe?</b></p>
<ul>
<li> Outgoing, approachable, and genuinely kind teams to great our guests.</li>
<li> Our host team sets the tone for the whole experience with welcoming personalities.</li>
<li> We balance multiple priorities and always deliver what we promise.</li>
<li> We never say no.</li>
<li> We are obsessed with steak.<br/> </li>
</ul>
<br/>
<p><b>What you bring to our table:</b></p>
<ul>
<li> You have the best smile.</li>
<li> Passionate about hospitality and food.</li>
<li> You love to start conversations and make others feel welcome.</li>
<li> Excitement to constantly learn and grow.</li>
<li> A track record of excellence in your previous customer service role.</li>
</ul>
</div>
</div>","[""We're growing, and we want you to come with us."", 'Ever been part of a new restaurant opening team? Fun. Sleep. Repeat.', 'Our host team sets the tone for the whole experience with welcoming personalities.', 'You believe in fresh food and warm welcomes.', 'Outgoing, approachable, and genuinely kind teams to great our guests.', 'You love to start conversations and make others feel welcome.', ""You know that working together with other creative minds makes special things happen. We're so happy you've found us. Let's work together!"", 'You care about having a positive impact on our planet.', 'You have the best smile.', ""You'll make new friends and have fun at work."", 'We operate Restaurants, Hotels and Mountain resorts in 8 Canadian provinces and in the US and UK. Feel like travel, anyone?']"
7,newSERVER / WAITER,Brewskey's,"Montréal, QC",https://ca.indeed.com/company/Brewskey's/jobs/Server-386bf50f864044b3?fccid=b2b879475015d6bf&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>BREWSKEY Pub &amp; Brewery is looking for Waiters!<br/>Come be a part of the hardest working team in the OLD PORT this summer and its amazing terrasses!</p>
<p>Our restaurant is looking for a Waiter to join our food server team. In this position, you take orders from customers and take the tickets back to the kitchen. You then bring the prepared food out to the table and provide excellent customer service along the way. While you are not responsible for cooking the food, some understanding of food preparation is beneficial for answering customers' questions. Our perfect candidate has hospitality or restaurant experience, whether as a host/hostess or busser. Bartending experience is also a plus.<br/>Waiter Duties and Responsibilities</p>
<ul>
<li>Knowledgeable about craft beers. (changing weekly)</li>
<li>Ready for high volume and fast-paced</li>
<li>Take drink and food orders from customers</li>
<li>Deliver food and drinks to customers promptly</li>
<li>Check in on customers to provide a great dining experience</li>
<li>Help bussers clear the table</li>
<li>Cash-out at the end of your shift.</li>
<li>Restocking for the following shift.</li>
</ul>
<p>Waiter Requirements and Qualifications</p>
<ul>
<li>Restaurant server experience</li>
<li>Customer service and communication skills</li>
<li>Great attitude and presentation skills</li>
<li>Physical stamina</li>
</ul>
<p>Estimated hourly salary + tip = 35$</p>
<p>Job Types: Full-time, Part-time<br/>Part-time hours: 20 - 40 per week</p>
<p>Salary: $25.00 per hour</p>
<p>Benefits:</p>
<ul>
<li>Discounted or free food</li>
</ul>
<p>Schedule:</p>
<ul>
<li>Day shift</li>
<li>Night shift</li>
</ul>
<p>Ability to commute/relocate:</p>
<ul>
<li>Montréal, QC H2Y 1H3: reliably commute or plan to relocate before starting work (required)</li>
</ul>
<p>Experience:</p>
<ul>
<li>serving: 1 year (required)</li>
</ul>
</div>","['Great attitude and presentation skills', 'Check in on customers to provide a great dining experience', 'Restaurant server experience', 'Discounted or free food', 'Estimated hourly salary + tip = 35$', 'Knowledgeable about craft beers. (changing weekly)', 'Deliver food and drinks to customers promptly', 'Ready for high volume and fast-paced', 'serving: 1 year (required)', 'Experience:', 'Take drink and food orders from customers', 'Physical stamina', 'Restocking for the following shift.', 'Help bussers clear the table']"
8,Host/Hostess,State & Main,"Edmonton, AB",https://ca.indeed.com/company/State-&-Main-Kitchen-Bar/jobs/Host-Hostess-0ca5d828f85a219b?fccid=5148e75bc313c745&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p><b>STATE &amp; MAIN KITCHEN AND BAR</b><br/>State &amp; Main is an upscale, casual dining brand with locations across Canada. Our warm, energetic restaurants offer approachable elevated comfort foods, paired with craft cocktails and a broad range of wines. Our team shares a passion for delivering a quality experience to our guests. If you’re a hardworking, fun-loving person who enjoys the fast pace of the restaurant industry, we’d love to meet with you!</p><p>Our family of companies include Original Joe’s Restaurant &amp; Bar, Elephant &amp; Castle Pub and Restaurant, Anejo Restaurant and Blanco Cantina. We never stop looking for unique individuals who can infuse our restaurant and corporate workplaces with original ideas, creative solutions, and an extraordinary guest experience. We offer competitive wages, a comfortable work environment, flexible hours, benefit packages (for those who qualify) and a chance to grow right alongside us. By joining State &amp; Main your future career opportunities are endless!</p><p><b>Job Title</b><br/>Host / Hostess</p><p><b>What You’ll Do: </b><br/>You will report to the FOH Manager (although this may vary from time to time depending who is on shift). You will:<br/>**</p><ul><li>Have an upbeat attitude - always ready to genuinely greet guests when they walk through the door</li><li>Manage a guest wait list during high revenue times with the ability to accurately recognise wait times, to communicate regularly with guests and to accommodate requests to the best of your ability</li><li>Proactively assist servers with table maintenance, running food, side duties, bussing tables, assisting to take payments, etc.</li><li>Continuously communicate with Servers and Managers regarding additions or changes to their sections, guest concerns and guest requests</li><li>Take the time to effectively learn and memorize new menu items and procedures</li><li>Work each shift with a safety mindset. Be proactive in regards front of the house and back of the house safety (food safety, potential hazards for employees or guests)</li><li>Live our core values during every shift: Taking Care of People</li></ul><p><b>Who You Are: </b></p><ul><li>You are a genuine, charming, vibrant and team-oriented individual</li><li>You <b>might</b> have previous experience in the customer service or restaurant industry. We will consider the right person, with the right attitude who can back-up their abilities through previous work, or involvement in teams (school, work or sports)</li><li>You pride yourself on your customer service skills, your ability to make people feel at home, your reliability, and your ability to keep upbeat even during the busiest shifts</li><li>You are solution focused and resourceful – you think on your feet effectively to find resolutions to situations</li><li>You are able to manage time effectively and prioritize tasks without skipping a beat</li><li>You are a great communicator</li><li>You are easily coachable and see feedback as an opportunity to keep improving your skills and abilities</li><li>You might have future aspirations to be employed as Store Management or in our Corporate team</li></ul><p><b>Visit us online at</b> <b>http://www.stateandmain.ca/</b> <b>and apply online!</b>**</p><p>Location: 5015 111 Street Northwest, Edmonton, AB T6H 4M6</p><p>Job Types: Full-time, Part-time</p></div>","['You pride yourself on your customer service skills, your ability to make people feel at home, your reliability, and your ability to keep upbeat even during the busiest shifts', 'What You’ll Do: You will report to the FOH Manager (although this may vary from time to time depending who is on shift). You will:**', 'Visit us online at http://www.stateandmain.ca/ and apply online!**', 'Take the time to effectively learn and memorize new menu items and procedures', 'You are easily coachable and see feedback as an opportunity to keep improving your skills and abilities', 'You are a great communicator', 'Continuously communicate with Servers and Managers regarding additions or changes to their sections, guest concerns and guest requests', 'Manage a guest wait list during high revenue times with the ability to accurately recognise wait times, to communicate regularly with guests and to accommodate requests to the best of your ability', 'You might have future aspirations to be employed as Store Management or in our Corporate team', 'You are able to manage time effectively and prioritize tasks without skipping a beat', 'Work each shift with a safety mindset. Be proactive in regards front of the house and back of the house safety (food safety, potential hazards for employees or guests)', 'Proactively assist servers with table maintenance, running food, side duties, bussing tables, assisting to take payments, etc.', 'Who You Are:', 'Live our core values during every shift: Taking Care of People', 'You are a genuine, charming, vibrant and team-oriented individual', 'Have an upbeat attitude - always ready to genuinely greet guests when they walk through the door', 'STATE & MAIN KITCHEN AND BARState & Main is an upscale, casual dining brand with locations across Canada. Our warm, energetic restaurants offer approachable elevated comfort foods, paired with craft cocktails and a broad range of wines. Our team shares a passion for delivering a quality experience to our guests. If you’re a hardworking, fun-loving person who enjoys the fast pace of the restaurant industry, we’d love to meet with you!', 'You might have previous experience in the customer service or restaurant industry. We will consider the right person, with the right attitude who can back-up their abilities through previous work, or involvement in teams (school, work or sports)', 'You are solution focused and resourceful – you think on your feet effectively to find resolutions to situations']"
9,Weekend Host,Sunset Grill - St Albert,"St. Albert, AB",https://ca.indeed.com/company/Sunset-Grill---Spruce-Grove/jobs/Weekend-Host-a8c7f03d93b8f58c?fccid=68841f1bf3a3225d&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>Sunset Grill St Albert is an All-Day Breakfast restaurant open 7 days a week from 7 am - 3 pm. We are looking to hire a Weekend Host.</p><p>Job Type: Part-time</p><p>Salary: From $15.00 per hour</p><p>Additional pay:</p><ul><li>Tips</li></ul><p>Schedule:</p><ul><li>Day shift</li><li>Weekend availability</li></ul><p>Experience:</p><ul><li>Dishwashers &amp; Stewards: 1 year (preferred)</li></ul></div>","['Additional pay:', 'Experience:', 'Dishwashers & Stewards: 1 year (preferred)']"
