,title,company,location,link,description,skills
0,Openings! Engineers for Automotive Ind. - Ontario,Stellantis,"Ontario, Canada",https://ca.linkedin.com/jobs/view/openings%21-engineers-for-automotive-ind-ontario-at-stellantis-3063710004?refId=ZMmYtySUOt3wZ9JB0SjYng%3D%3D&trackingId=yWlIUPS1i6v0UiF%2F7lATGw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        <p>Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.</p><p>We are currently looking for the following positions:</p><p><br></p><ul><li><strong>Knowledge Based Engineering (KBE) -System Integrator Requirement Section Owner</strong></li><li><strong>Knowledge Based Engineering (KBE) - Body in White &amp; Closures</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Vehicle Chassis/Driveline</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;ADAS Systems</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Advanced Lighting Systems</strong></li></ul><p><br></p><p>If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.</p><p><br></p><p>Manpower Group recognizes the importance of providing an accessible and barrier-free environment. We are committed to creating a welcoming, fair and inclusive environment by offering equal opportunity to access our services. At Manpower Group, we are committed to providing accommodations and will work with you to meet your needs.</p>
      ","['Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.', 'If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.']"
1,SUPERVISEUR DE PRODUCTION,Clef des Champs,"Val-David, Quebec, Canada",https://ca.linkedin.com/jobs/view/superviseur-de-production-at-clef-des-champs-3063953050?refId=ZMmYtySUOt3wZ9JB0SjYng%3D%3D&trackingId=m3sB3azTtIE7Sj7AX4LQnQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        <p>Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.</p><p>We are currently looking for the following positions:</p><p><br></p><ul><li><strong>Knowledge Based Engineering (KBE) -System Integrator Requirement Section Owner</strong></li><li><strong>Knowledge Based Engineering (KBE) - Body in White &amp; Closures</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Vehicle Chassis/Driveline</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;ADAS Systems</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Advanced Lighting Systems</strong></li></ul><p><br></p><p>If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.</p><p><br></p><p>Manpower Group recognizes the importance of providing an accessible and barrier-free environment. We are committed to creating a welcoming, fair and inclusive environment by offering equal opportunity to access our services. At Manpower Group, we are committed to providing accommodations and will work with you to meet your needs.</p>
      ","['Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.', 'If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.']"
2,Operations Supervisor,Valvoline Inc.,"Mississauga, Ontario, Canada",https://ca.linkedin.com/jobs/view/operations-supervisor-at-valvoline-inc-3064765916?refId=ZMmYtySUOt3wZ9JB0SjYng%3D%3D&trackingId=jbQYRAAkezjxefgRVme9%2Fg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        <p>Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.</p><p>We are currently looking for the following positions:</p><p><br></p><ul><li><strong>Knowledge Based Engineering (KBE) -System Integrator Requirement Section Owner</strong></li><li><strong>Knowledge Based Engineering (KBE) - Body in White &amp; Closures</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Vehicle Chassis/Driveline</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;ADAS Systems</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Advanced Lighting Systems</strong></li></ul><p><br></p><p>If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.</p><p><br></p><p>Manpower Group recognizes the importance of providing an accessible and barrier-free environment. We are committed to creating a welcoming, fair and inclusive environment by offering equal opportunity to access our services. At Manpower Group, we are committed to providing accommodations and will work with you to meet your needs.</p>
      ","['Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.', 'If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.']"
3,Vice President Operations,South End Partners,"Greater Toronto Area, Canada",https://ca.linkedin.com/jobs/view/vice-president-operations-at-south-end-partners-3056780805?refId=ZMmYtySUOt3wZ9JB0SjYng%3D%3D&trackingId=SZgDYtkvotF3lmj8l9ANDg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        <p>Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.</p><p>We are currently looking for the following positions:</p><p><br></p><ul><li><strong>Knowledge Based Engineering (KBE) -System Integrator Requirement Section Owner</strong></li><li><strong>Knowledge Based Engineering (KBE) - Body in White &amp; Closures</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Vehicle Chassis/Driveline</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;ADAS Systems</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Advanced Lighting Systems</strong></li></ul><p><br></p><p>If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.</p><p><br></p><p>Manpower Group recognizes the importance of providing an accessible and barrier-free environment. We are committed to creating a welcoming, fair and inclusive environment by offering equal opportunity to access our services. At Manpower Group, we are committed to providing accommodations and will work with you to meet your needs.</p>
      ","['Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.', 'If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.']"
4,Manufacturing Specialist,Artitalia Group Inc.,"Montreal, Quebec, Canada",https://ca.linkedin.com/jobs/view/manufacturing-specialist-at-artitalia-group-inc-3063348445?refId=ZMmYtySUOt3wZ9JB0SjYng%3D%3D&trackingId=XzYmYiiNdhBmJeJoHgYMvQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        <p>Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.</p><p>We are currently looking for the following positions:</p><p><br></p><ul><li><strong>Knowledge Based Engineering (KBE) -System Integrator Requirement Section Owner</strong></li><li><strong>Knowledge Based Engineering (KBE) - Body in White &amp; Closures</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Vehicle Chassis/Driveline</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;ADAS Systems</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Advanced Lighting Systems</strong></li></ul><p><br></p><p>If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.</p><p><br></p><p>Manpower Group recognizes the importance of providing an accessible and barrier-free environment. We are committed to creating a welcoming, fair and inclusive environment by offering equal opportunity to access our services. At Manpower Group, we are committed to providing accommodations and will work with you to meet your needs.</p>
      ","['Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.', 'If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.']"
5,Junior Mechanical Technician/ Technologist,SNC Lavalin Nuclear,"Mississauga, Ontario, Canada",https://ca.linkedin.com/jobs/view/junior-mechanical-technician-technologist-at-snc-lavalin-nuclear-3046857857?refId=ZMmYtySUOt3wZ9JB0SjYng%3D%3D&trackingId=nFIfi4nbD8YPkgXWkBAYbQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        <p>Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.</p><p>We are currently looking for the following positions:</p><p><br></p><ul><li><strong>Knowledge Based Engineering (KBE) -System Integrator Requirement Section Owner</strong></li><li><strong>Knowledge Based Engineering (KBE) - Body in White &amp; Closures</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Vehicle Chassis/Driveline</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;ADAS Systems</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Advanced Lighting Systems</strong></li></ul><p><br></p><p>If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.</p><p><br></p><p>Manpower Group recognizes the importance of providing an accessible and barrier-free environment. We are committed to creating a welcoming, fair and inclusive environment by offering equal opportunity to access our services. At Manpower Group, we are committed to providing accommodations and will work with you to meet your needs.</p>
      ","['Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.', 'If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.']"
6,Plant Engineer,GREENMANTRA Technologies,"Brantford, Ontario, Canada",https://ca.linkedin.com/jobs/view/plant-engineer-at-greenmantra-technologies-3064776819?refId=ZMmYtySUOt3wZ9JB0SjYng%3D%3D&trackingId=ph79tarLMvxbJS91k9u7eA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        <p>Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.</p><p>We are currently looking for the following positions:</p><p><br></p><ul><li><strong>Knowledge Based Engineering (KBE) -System Integrator Requirement Section Owner</strong></li><li><strong>Knowledge Based Engineering (KBE) - Body in White &amp; Closures</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Vehicle Chassis/Driveline</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;ADAS Systems</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Advanced Lighting Systems</strong></li></ul><p><br></p><p>If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.</p><p><br></p><p>Manpower Group recognizes the importance of providing an accessible and barrier-free environment. We are committed to creating a welcoming, fair and inclusive environment by offering equal opportunity to access our services. At Manpower Group, we are committed to providing accommodations and will work with you to meet your needs.</p>
      ","['Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.', 'If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.']"
7,Production Operator,ZS2 Technologies,"Calgary, Alberta, Canada",https://ca.linkedin.com/jobs/view/production-operator-at-zs2-technologies-3065134509?refId=ZMmYtySUOt3wZ9JB0SjYng%3D%3D&trackingId=QES%2FIp5ENl%2FWkhZ1l5yXdQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        <p>Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.</p><p>We are currently looking for the following positions:</p><p><br></p><ul><li><strong>Knowledge Based Engineering (KBE) -System Integrator Requirement Section Owner</strong></li><li><strong>Knowledge Based Engineering (KBE) - Body in White &amp; Closures</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Vehicle Chassis/Driveline</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;ADAS Systems</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Advanced Lighting Systems</strong></li></ul><p><br></p><p>If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.</p><p><br></p><p>Manpower Group recognizes the importance of providing an accessible and barrier-free environment. We are committed to creating a welcoming, fair and inclusive environment by offering equal opportunity to access our services. At Manpower Group, we are committed to providing accommodations and will work with you to meet your needs.</p>
      ","['Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.', 'If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.']"
8,Supply Chain Coordinator,Nude Beverages,"Vancouver, British Columbia, Canada",https://ca.linkedin.com/jobs/view/supply-chain-coordinator-at-nude-beverages-3058332681?refId=ZMmYtySUOt3wZ9JB0SjYng%3D%3D&trackingId=QMnEXWz7aL8U36aZ2PGmoQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        <p>Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.</p><p>We are currently looking for the following positions:</p><p><br></p><ul><li><strong>Knowledge Based Engineering (KBE) -System Integrator Requirement Section Owner</strong></li><li><strong>Knowledge Based Engineering (KBE) - Body in White &amp; Closures</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Vehicle Chassis/Driveline</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;ADAS Systems</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Advanced Lighting Systems</strong></li></ul><p><br></p><p>If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.</p><p><br></p><p>Manpower Group recognizes the importance of providing an accessible and barrier-free environment. We are committed to creating a welcoming, fair and inclusive environment by offering equal opportunity to access our services. At Manpower Group, we are committed to providing accommodations and will work with you to meet your needs.</p>
      ","['Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.', 'If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.']"
9,Manufacturing Process Specialist,Clarity Hiring,"Mississauga, Ontario, Canada",https://ca.linkedin.com/jobs/view/manufacturing-process-specialist-at-clarity-hiring-3065055753?refId=ZMmYtySUOt3wZ9JB0SjYng%3D%3D&trackingId=GqB6Wkfx%2BfudDc5Ua11aVA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        <p>Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.</p><p>We are currently looking for the following positions:</p><p><br></p><ul><li><strong>Knowledge Based Engineering (KBE) -System Integrator Requirement Section Owner</strong></li><li><strong>Knowledge Based Engineering (KBE) - Body in White &amp; Closures</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Vehicle Chassis/Driveline</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;ADAS Systems</strong></li><li><strong>Knowledge Based Engineering (KBE) -&nbsp;Advanced Lighting Systems</strong></li></ul><p><br></p><p>If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.</p><p><br></p><p>Manpower Group recognizes the importance of providing an accessible and barrier-free environment. We are committed to creating a welcoming, fair and inclusive environment by offering equal opportunity to access our services. At Manpower Group, we are committed to providing accommodations and will work with you to meet your needs.</p>
      ","['Our Large Automotive client ""STELLANTIS - CHRYSLER"" based in Windsor is building their engineering team and has multiple 2-3 years contract opportunities available.', 'If you are interested in any of these roles, please apply online today, message me indicating the role of interest, and send your updated resume with detailed work experience.']"
