,title,company,location,link,description,skills
0,newFurniture Restorer,Hartmann & Co. Furniture,"Nanaimo, BC",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSitrJyQugJO68kpEdKwuZD0XwJyS_7DkfvmTFEiNXrRavaVlrbwI_AtewONXrifsDRj-SG5c8FcrGmAnwrtuL35f36KWpUxf75hT5cmj6g-VPrEzG7351xYkLqfZDCgzwXE7hs_zWT2NhC-MMyB-7vTaYyDKAg_0il2Qjk3Pj9OKdQyuSi4iNuNjvdZDjAOPW45BPozIGADJ3KZ2LULPaFcLPDXymdvlqkgb6kS35D5sQm-3TG_eAdjn-7PbwHNWYsbrNtugy3dw6jK5hrh5DyDs9FNeaODieePBiPOfPXzFCTBfGjZt6sSjVvFP0-qQ0FI0dDgMaaAfTie62ykRE1VhMNSmeZQvlNxjCCU66GAq9GNkTxEuFLTW--Bja0rB0FA36NpQluBEzSoZB1pcebgpgcyUY3lMgrBWlXGuhTIKtxYNAU9xiV_DUf_ini8M7tHrVzzOaZJ64YnBJeLZ7Zkqy54Jfa1cRbzWjCxPchg==&p=0&fvj=1&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>Duties include, not limited to;</p><p>Wood - Stripping, sanding, staining, glueing, touch up</p><p>Upholstery- Fabric removal, minor wood repairs</p><p>Shop clean up</p><p>Pick &amp; Delivery - Pick up of jobs for service work in company box truck - Delivery of new furniture items, including setting up in customer home.</p><p>Organizing of warehouse, unloading delivery trucks of new goods or client drop-offs.</p><p>Unpacking &amp; performing pre-delivery inspections on new furniture items</p><p>Assembly of new furniture items.</p><p>Assisting front-end staff with furniture moving and setting up of new displays.</p><p>Staff required to wear PPE in applicable situations - Training will be provided.</p><p>Must be physically fit, must be able to lift 100Lbs.</p><p>Communication skills extremely important</p><p>Must be a team player willing to take direction.</p><p>Customer service is paramount.</p><p>Prior experience is not required, willing to train the right candidate</p><p>Woodworking and upholstery experience is an asset.</p><p>References are required</p><p>Job Type: Full-time</p><p>Salary: $18.00-$22.00 per hour</p><p>Additional pay:</p><ul><li>Bonus pay</li><li>Overtime pay</li></ul><p>Schedule:</p><ul><li>8 hour shift</li></ul><p>Ability to commute/relocate:</p><ul><li>Nanaimo, BC: reliably commute or plan to relocate before starting work (preferred)</li></ul></div>","['Prior experience is not required, willing to train the right candidate', 'Woodworking and upholstery experience is an asset.', 'Must be physically fit, must be able to lift 100Lbs.', 'Wood - Stripping, sanding, staining, glueing, touch up', 'Additional pay:', 'Assisting front-end staff with furniture moving and setting up of new displays.', 'Unpacking & performing pre-delivery inspections on new furniture items', 'Must be a team player willing to take direction.']"
1,Aerospace parts restorer,Lockheed Martin Corporation,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=a10e38dc9f6eba63&fccid=aeb15e43a6800b9d&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<div></div>
<div>
<div>
<div>
<p><b>Specific Job Description</b></p>
<div>
<ul>
<li>Ability to work with others to make suggestions and improve procedures</li>
<li> Must follow manufacturer's instructions for cleaning aircraft engine components </li>
<li>Mechanical and chemical cleaning, sandblasting of aeronautical parts</li>
<li> Check output for consistency with specifications and eliminate defects</li>
<li> May be required to transport parts, components or modules from one workstation or centre to another</li>
<li> May be required to work in another category.</li>
</ul>
</div>
</div>
<div>
<p><b>Employee Type</b></p>
<div>
     Full Time 
    </div>
</div>
<div>
<p><b>Vacancy Type</b></p>
<div>
     Permanent
    </div>
</div>
<div>
<p><b>Business Environment</b></p>
<div>
     Lockheed Martin Canada is the Canadian-based arm of Lockheed Martin Corporation, a global security and aerospace company employing 110,000 people worldwide, including more than 1,000 Canadians. By applying innovative approaches of our highly skilled and experienced Canadian workforce, we have been Canada’s trusted defence and aerospace partner for over 80 years. We operate major facilities in Ottawa, Montreal, Halifax, Calgary and Victoria and work on a wide range of programs from advanced naval technology products and unmanned systems software to providing delivery and in-service support of the latest military aircraft to commercial engine repair and overhaul capabilities. This position is part of the Lockheed Martin Commercial Engines Solutions team within our world-class facility in Montreal, where approximately 300 employees engage in comprehensive engine maintenance, repair and overhaul, as well as customized engine builds for military and commercial operators.
    </div>
</div>
<div>
<p><b>Required skills, qualifications and experience</b></p>
<div>
<ul>
<li>Experience in the aeronautical field / manufacturing industry an asset</li>
<li> Ability to read and understand instructions in English</li>
<li> Be autonomous, able to work without supervision</li>
<li> Be meticulous and organized.</li>
</ul>
</div>
</div>
<div>
<p><b>Desired skills, qualifications and experience</b></p>
<br/>
</div>
<div></div>
<br/>
<div>
<p><b>Workplace Vaccination Policy</b></p>
<div>
     Lockheed Martin Canada is committed to lead and support efforts to ensure a safe and healthy work environment for our employees, partners and customers. Our Workplace Vaccination policy provides direction on our approach to managing COVID-19 and that policy will likely evolve as conditions and legal requirements change. At this time, all current and future employees of Lockheed Martin Canada who work on certain federal government sites must be fully vaccinated. We are also asking all employees to voluntarily submit their current vaccine status.
    </div>
</div>
<div>
<p><b>Equal Opportunity Statement</b></p>
<div>
     Lockheed Martin Canada is an equal opportunity employer that values diversity in the workplace. We are committed to excellence in serving all customers, including people with disabilities, and we encourage feedback on the provision of these services.
    </div>
</div>
</div>
</div>
<div></div>
</div>","['Mechanical and chemical cleaning, sandblasting of aeronautical parts', 'Desired skills, qualifications and experience', 'May be required to transport parts, components or modules from one workstation or centre to another', ""Must follow manufacturer's instructions for cleaning aircraft engine components"", 'May be required to work in another category.', 'Be autonomous, able to work without supervision', 'Be meticulous and organized.', 'Experience in the aeronautical field / manufacturing industry an asset', 'Required skills, qualifications and experience']"
2,Construction Delivery Driver,The Restorers Group Inc.,"Edmonton, AB",https://ca.indeed.com/company/The-Restorers-Group-Inc./jobs/Construction-Delivery-Driver-054c6e6f19587351?fccid=3511b23deb24d6ec&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p><b>Construction Delivery Driver</b></p>
<p>$20 - $23 an hour - Top Wages paid based on experience and skillset</p>
<p><b>Responsibilities: </b></p>
<ul>
<li>Work with site foreman, site superintendent and project manager to deliver, transport materials and equipment in such to meet project requirements.</li>
</ul>
<p><b>Experience and Skills: </b></p>
<ul>
<li>Construction experience an asset</li>
</ul>
<p><b>Requirements and Experience: </b></p>
<ul>
<li>Valid Class 5 Drivers License with Clean Drivers Abstract</li>
<li>Knowledge and Experience pulling a Trailer</li>
</ul>
<p>· Must be able to speak, read and write English</p>
<p><b>EXCELLENT BENEFITS PACKAGE</b></p>
<p>Top Wages paid based on experience and skillset</p>
<p>Job Type: Full-time</p>
<p>Job Type: Full-time</p>
<p>Salary: $20.00-$23.00 per hour</p>
<p>Schedule:</p>
<ul>
<li>Monday to Friday</li>
</ul>
<p>Application deadline: 2022-05-04<br/>Expected start date: 2022-05-02</p>
</div>","['Knowledge and Experience pulling a Trailer', 'Requirements and Experience:', 'Top Wages paid based on experience and skillset', 'Work with site foreman, site superintendent and project manager to deliver, transport materials and equipment in such to meet project requirements.', '$20 - $23 an hour - Top Wages paid based on experience and skillset', 'Construction experience an asset', '· Must be able to speak, read and write English', 'Experience and Skills:']"
3,natural stone restorer,marble revive,"Toronto, ON",https://ca.indeed.com/company/marble-revive/jobs/Natural-Stone-Restorer-6943e36d57d9cdb1?fccid=52e7f4e7c231e176&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>-able to work with a rotary floor buffing machine</p>
<p>Job Type: Part-time<br/>Part-time hours: 16-32 per week</p>
<p>Salary: From $20.00 per hour</p>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
</ul>
<p>Expected start date: 2022-05-03</p>
</div>",['Expected start date: 2022-05-03']
4,newGeneral Labourer,The Restorer Inc.,"Guelph, ON",https://ca.indeed.com/company/The-Restorer-Inc./jobs/General-Labourer-93c4421847075c4c?fccid=b675939f172d385e&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>Job description</p>
<p><b>Description</b>:</p>
<p>We are looking for <b>Crane Operators/General Labour</b> with enthusiasm to work. The client is looking for energetic and dependable people to fill various positions. The ideal candidates will demonstrate familiarity in this industry, exceptional attention to detail, and a desire to learn and grow!</p>
<p><b>Location</b>: Guelph, Canada</p>
<p><b>Job Duties are as follows: </b></p>
<ul>
<li>Use safe work habits and required safety equipment.</li>
<li>Use band saws, chop saws, grinders, Ironworker.</li>
<li>punch/shear press, and bar threader to fabricate material as required to be fit to the main assembly members.</li>
<li>Material handling either by manual or mechanical(overhead crane) means as required and as necessary to.</li>
<li>Painting as required.</li>
<li>Loading trailers, receiving material.</li>
<li>Take direction from supervisors and other higher-level employees (structural fitters and welders) when required to aid them in their task completion. Maintain excellent attendance.</li>
<li>Ability to interact effectively with all levels of personnel, both hourly and management, in a team environment</li>
</ul>
<p>Job Type: Full-time</p>
<p>Salary: $21.00 per hour</p>
<p>Schedule:</p>
<ul>
<li>10 hour shift</li>
</ul>
<p>Ability to commute/relocate:</p>
<ul>
<li>Guelph, ON: reliably commute or plan to relocate before starting work (required)</li>
</ul>
<p>Experience:</p>
<ul>
<li>crane: 1 year (preferred)</li>
</ul>
</div>","['crane: 1 year (preferred)', 'Material handling either by manual or mechanical(overhead crane) means as required and as necessary to.', 'Use band saws, chop saws, grinders, Ironworker.', 'Experience:', 'Take direction from supervisors and other higher-level employees (structural fitters and welders) when required to aid them in their task completion. Maintain excellent attendance.', 'Use safe work habits and required safety equipment.']"
5,newExperienced caulker 5+ years,The Restorers Group Inc.,"Calgary, AB",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DyfnfEKbzKmF7shYEge1iQZSGha_ML9DvJFC06Wnj9JvJJ99X5CSbqss_knAq3RpvHzsHH6Sw9_PAwXwZktCw07W0n2UYHKdhgOcLQVierw4xKjwAz-c0d7_f4GxLGNGTkym0z7Uj3jY1Tl93suyQrvBSHkckVGjVq3rz8rzt20zsLyck7AmRa6w4r-UYFQBuu3to4Sk26GUR_J0WpoYIvQQRaAqAZmDU6P5vt4ilIjyTrj8FeWoJnh5BdMgnP3-oLcOgMeLehhyKs4FTRUarlrF9iwtvMsh92L36BKZTcq5AG6Dxt2bzcwHit26VfGkvWLMbn5KhEcEEMkHjBgK0zOBpr471Ma3B2oi9oy0lqAsYKiAQQyaocr3Cx6PsrriX5DfZmgnC4NxlPpovqJO7r2zWgHuJouhE66JeQUu-YbfRdHdB_MCrTB7b-voVv9ZatO5ZUtDWZQhAqWlRrYGGLHpvZUplXee8lJdBcAfOa9A==&p=5&fvj=1&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>Downtown high-rise caulking replacement on existing buildings.</p>
<p>Fall protection, WHMIS 2015, are required.</p>
<p>We can get you Suspended Access training if yours has expired. And First Aid depending on if you join us as a supervisor.</p>
<p>We offer competitive pay based on experience and benefits.</p>
<p>Job Types: Full-time, Permanent</p>
<p>Salary: $26.00-$30.00 per hour</p>
<p>Job Type: Full-time</p>
<p>Salary: $26.00-$30.00 per hour</p>
<p>Benefits:</p>
<ul>
<li>Extended health care</li>
</ul>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
</ul>
<p>Ability to commute/relocate:</p>
<ul>
<li>Calgary, AB: reliably commute or plan to relocate before starting work (preferred)</li>
</ul>
</div>","['We can get you Suspended Access training if yours has expired. And First Aid depending on if you join us as a supervisor.', 'Extended health care', 'We offer competitive pay based on experience and benefits.']"
6,ANTIQUE CAR RESTORER,Prototype Research & Development LTD.,"Campbellford, ON",https://ca.indeed.com/company/Prototype-Research-&-Development-Ltd./jobs/Antique-Car-Restorer-60cfd69c45a47eb2?fccid=837be970abea43eb&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>We are a well established Manufacturing Company that manufactures a wide range of Replica and One of a Kind Specialty Vehicles. We are looking for a reliable Antique Car Restorer. Experience is a MUST.</p>
<p>Monday to Friday</p>
<p>2 weeks vacation</p>
<p>No weekends</p>
<p>Local company in business for 65+ years</p>
<p>Wage will be determined on abilities and experience.</p>
<p>Job Types: Full-time, Permanent</p>
<p>Salary: $20.00-$40.00 per hour</p>
<p>Benefits:</p>
<ul>
<li>On-site parking</li>
</ul>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
<li>Day shift</li>
<li>Monday to Friday</li>
</ul>
<p>Experience:</p>
<ul>
<li>Vehicle Washers &amp; Detailers: 1 year (preferred)</li>
</ul>
</div>","['Wage will be determined on abilities and experience.', 'On-site parking', 'Vehicle Washers & Detailers: 1 year (preferred)', 'Local company in business for 65+ years', 'Experience:', 'We are a well established Manufacturing Company that manufactures a wide range of Replica and One of a Kind Specialty Vehicles. We are looking for a reliable Antique Car Restorer. Experience is a MUST.']"
7,newMachine Operator,The Restorer Inc.,"Guelph, ON",https://ca.indeed.com/company/The-Restorer-Inc./jobs/Machine-Operator-b857af6896f71963?fccid=b675939f172d385e&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>We are seeking for Machine Operators to start immediately in Guelph, ON area. Applicants should be highly organized, energetic individual and looking for a long-term career growth.</p>
<p>Responsibilities:</p>
<ul>
<li>Operate Machines.</li>
<li>Dealing with car parts.</li>
<li>Warehouse work</li>
<li>Perform quality checks in a timely manner.</li>
<li>Ability to work all rotating shifts.</li>
</ul>
<p>Qualification:</p>
<ul>
<li>Analytical problem solver with an ability to think quickly and perform problem-solving tasks, even within changing conditions.</li>
<li>An innovative approach to continuous improvements.</li>
<li>Willingness and ability to learn and perform duties within/outside of job description as required to accomplish the company’s goals.</li>
<li>A team player who firmly believes in the strengths of shareable.</li>
<li>Ability to handle physical workload.</li>
<li>Eligible to work in Canada.</li>
</ul>
<p>Shift details:</p>
<ul>
<li>2-Shift Rotation, 0.75 Shift Premium for nights and afternoons</li>
<li>Morning shift: 06:30 AM – 02:30 PM</li>
<li>Afternoon shift: 02:30 PM – 10:30 PM</li>
<li>Night shift: 10:30 PM – 06:30 AM.</li>
</ul>
<p>Job Type: Full-time</p>
<p>Salary: $18.00 per hour</p>
<p>Job Type: Full-time</p>
<p>Job Type: Full-time</p>
<p>Salary: $17.00-$18.00 per hour</p>
<p>Additional pay:</p>
<ul>
<li>Overtime pay</li>
</ul>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
<li>Day shift</li>
<li>Monday to Friday</li>
<li>Night shift</li>
</ul>
<p>Ability to commute/relocate:</p>
<ul>
<li>Guelph, ON: reliably commute or plan to relocate before starting work (required)</li>
</ul>
<p>Experience:</p>
<ul>
<li>Machine Operator: 1 year (required)</li>
</ul>
</div>","['Perform quality checks in a timely manner.', '2-Shift Rotation, 0.75 Shift Premium for nights and afternoons', 'Additional pay:', 'Operate Machines.', 'Eligible to work in Canada.', 'Experience:', 'Analytical problem solver with an ability to think quickly and perform problem-solving tasks, even within changing conditions.', 'Machine Operator: 1 year (required)', 'Dealing with car parts.']"
8,Automotive Service Technician,The Guild of Automotive Restorers,"Bradford, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DHz3o_6BsZB78VT1vFA4ZCqu45A2oO4ce6tfgTvOjEO84usPvJPp3qGRy0YhqQqj_ru6v6KB0GgML5CABP8YbxSJsS2D4ZbrqZaLV_-BfsONnI-MUgp22UB8psNMGy3zzc38lu3f1cSgkwp445cr-IDHQG4nASh5ucjyCgiI0IzIPmPMW8NH09ADKofGU5GmeEyy4Q4Up4w0I9JiYsEWkZPlovc1uwP6eJEljh3qZc5kdSOdw6hkKt1HiA-uy2jvFSAxu8DQRoDkD_CV1u1nmBORLbfCz2osAuuY5O266ITzBbmdD7pt_H1H3RrJkHd8dxueeETp0tvmUtonY9qlM4SYwnU2nwvnlB1rcweZpu1BSISnhvA-QobJ8pUDXHbYuG4MivpPn8Lm-Pnq2pgLdVSo1sTeKkU1p-wjSdYd7zFrsxNmY1F-ePvt4XgrBwZotT-SY-TYld739445Xd7UI-s07ObF2vpOTqr8wJt3GGcNVB9YM-zqn_&p=8&fvj=1&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>Established in 1991 The Guild of Automotive Restorers is a world-renowned restoration facility, specializing in the repair, restoration and sales of antique and classic vehicles. We are the home of the world broadcast television series Restoration Garage, now filming its 8th season. The Guild’s creations have been featured on Leno’s Garage and various other TV shows, on radio and in print. We are a busy award winning restoration shop and we are GROWING again!</p>
<p>What’s in it for you?</p>
<p>· Competitive wages</p>
<p>· Comprehensive benefits plan (post 3 month probation)</p>
<p>· Vacation</p>
<p>· Be part of an amazing team of restoration specialists</p>
<p>· Company issued Guild attire</p>
<p>· Ability to work on Antique and Classic cars</p>
<p>· Weekends off to do whatever you want</p>
<p>What would a day look like as a Mechanic/ Automotive Service Technician at the Guild?</p>
<p>· You will work as part of a team of automotive restoration specialists to balance the growing workflow.</p>
<p>· You will perform vehicle maintenance and repairs as assigned.</p>
<p>· You will diagnose/root cause/repair technical and mechanical vehicle issues.</p>
<p>· You will determine if additional safety or service work is required through vehicle inspections.</p>
<p>· Perform road tests to validate and confirm customer complaints and successful vehicle repair.</p>
<p>Who is our ideal candidate?</p>
<p>· Valid Automotive Service Technician Certification of Qualification (310S).</p>
<p>· Experience with antique and classic vehicles</p>
<p>· Valid Driver’s License.</p>
<p>· Strong aptitude for technical/mechanical repairs.</p>
<p>· Effective diagnostic aptitude, with strong time management skills.</p>
<p>· Detailed customer centric approach and a team player.</p>
<p>· Strong communication skills.</p>
<p>· Punctual, reliable and works well independently or in a group setting</p>
<p>· Team player, willing to learn and collaborate with others</p>
<p>Job Type: Permanent</p>
<p>Salary: $26.00-$36.00 per hour</p>
<p>Benefits:</p>
<ul>
<li>Casual dress</li>
<li>Dental care</li>
<li>Extended health care</li>
<li>Life insurance</li>
<li>On-site parking</li>
<li>Store discount</li>
<li>Vision care</li>
</ul>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
<li>Monday to Friday</li>
</ul>
<p>Experience:</p>
<ul>
<li>automotive technician: 1 year (preferred)</li>
</ul>
<p>Licence/Certification:</p>
<ul>
<li>Drivers License (preferred)</li>
<li>Journeyman 310S (preferred)</li>
</ul>
<p>Work remotely:</p>
<ul>
<li>No</li>
</ul>
</div>","['· Be part of an amazing team of restoration specialists', '· Strong communication skills.', 'Experience:', 'On-site parking', '· You will diagnose/root cause/repair technical and mechanical vehicle issues.', 'Casual dress', 'Dental care', '· Experience with antique and classic vehicles', '· You will perform vehicle maintenance and repairs as assigned.', 'Work remotely:', '· Perform road tests to validate and confirm customer complaints and successful vehicle repair.', '· Effective diagnostic aptitude, with strong time management skills.', '· You will work as part of a team of automotive restoration specialists to balance the growing workflow.', '· Detailed customer centric approach and a team player.', '· Punctual, reliable and works well independently or in a group setting', '· Competitive wages', 'Established in 1991 The Guild of Automotive Restorers is a world-renowned restoration facility, specializing in the repair, restoration and sales of antique and classic vehicles. We are the home of the world broadcast television series Restoration Garage, now filming its 8th season. The Guild’s creations have been featured on Leno’s Garage and various other TV shows, on radio and in print. We are a busy award winning restoration shop and we are GROWING again!', '· You will determine if additional safety or service work is required through vehicle inspections.', '· Strong aptitude for technical/mechanical repairs.', 'automotive technician: 1 year (preferred)', 'Extended health care']"
9,Auto Body Technician,The Guild of Automotive Restorers,"Bradford, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DHz3o_6BsZB78VT1vFA4ZCqu45A2oO4ce6tfgTvOjEO84usPvJPp3qGRy0YhqQqj89GZfzavks-S6YBemXVRuRLsbEVRX0KEjXQT-LvOPPg9d5mT0F5T9BnDNVGUHvslwOh5dvrt6cBPE2WWnqvQiioYqkW0aBV4lh49o9NNdmecpql2qHN_WBzjDKJbZQV1186g9QI6AigoQI8riQaB_oJyuLtTwQ8YHQ10G_JXd4S1mmB27cw1dNBBg561IsHH_7dOxcu4GJf1ZndgYVKOxLXyq6UDdoa7FZneYAylTJsJ1Y5pHfmB7acT-N4nfDzUjnV0mnOyoNhmLnCeuChmBfzxao5Am8PKuhfbLH1CTCYZNOdYpPGG9A5RTyWLq_8N-_I85pzR3UPcc2OQfuPKEjWG0SPs3UmU8gx7lBHGTd-zwwkg1w_cgMCptIWuUWE33K5QR1aGNIXxlVMRSQHGjgVlB6ukSwAkY-aCEhXINd6w==&p=9&fvj=1&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>Established in 1991, The Guild of Automotive Restorers is a world-renowned restoration facility, specializing in the repair, restoration and sales of antique and classic vehicles. We are the home of the world broadcast television series Restoration Garage, now filming its 8th season. The Guild’s creations have been featured on Leno’s Garage and various other TV shows, on radio and in print. We are a busy award winning restoration shop and we are GROWING again!</p>
<p>What’s in it for you?</p>
<p>· Competitive wages</p>
<p>· Comprehensive benefits plan (post 3 month probation)</p>
<p>· Vacation</p>
<p>· Be part of an amazing team of restoration specialists</p>
<p>· Company issued Guild attire</p>
<p>· Ability to work on Antique and Classic cars</p>
<p>· Weekends off to do whatever you want</p>
<p>What would a day look like as an Automotive Body Technician at the Guild?</p>
<p>· You will work as part of a team of metal and body specialists to balance the growing workflow</p>
<p>· You will disassemble, document, photograph and reassemble exterior parts</p>
<p>· You will utilize your skills to strip paint, apply filler, fit parts and ensure panel gaps and adjustments are correct</p>
<p>· You will exercise attention to detail to block sand and straighten and prepare panels and metal for paint</p>
<p>Who is our ideal candidate?</p>
<p>· Experience within an automotive setting</p>
<p>· Experience with antique and classic vehicles</p>
<p>· Punctual, reliable and works well independently or in a group setting</p>
<p>· Team player, willing to learn and collaborate with others</p>
<p>Job Types: Full-time, Permanent</p>
<p>Salary: $25.00-$36.00 per hour</p>
<p>Benefits:</p>
<ul>
<li>Casual dress</li>
<li>Dental care</li>
<li>Extended health care</li>
<li>Life insurance</li>
<li>On-site parking</li>
<li>Vision care</li>
</ul>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
</ul>
<p>Experience:</p>
<ul>
<li>Auto Body Repair: 2 years (preferred)</li>
</ul>
<p>Licence/Certification:</p>
<ul>
<li>Drivers License (preferred)</li>
<li>310-B Certificate – Auto Body and Collision Damage Repairer (preferred)</li>
</ul>
<p>Work remotely:</p>
<ul>
<li>No</li>
</ul>
</div>","['· Be part of an amazing team of restoration specialists', '· Experience within an automotive setting', 'Casual dress', 'Established in 1991, The Guild of Automotive Restorers is a world-renowned restoration facility, specializing in the repair, restoration and sales of antique and classic vehicles. We are the home of the world broadcast television series Restoration Garage, now filming its 8th season. The Guild’s creations have been featured on Leno’s Garage and various other TV shows, on radio and in print. We are a busy award winning restoration shop and we are GROWING again!', '· Competitive wages', 'Dental care', '· You will exercise attention to detail to block sand and straighten and prepare panels and metal for paint', '· You will utilize your skills to strip paint, apply filler, fit parts and ensure panel gaps and adjustments are correct', 'Auto Body Repair: 2 years (preferred)', 'Work remotely:', '· Experience with antique and classic vehicles', 'Extended health care', 'Experience:', '· Punctual, reliable and works well independently or in a group setting', '· You will work as part of a team of metal and body specialists to balance the growing workflow', '· You will disassemble, document, photograph and reassemble exterior parts', 'On-site parking']"
