,title,company,location,link,description,skills
0,Feller,Mike’s Wood Solutions Inc.,"Chatham-Kent, ON",https://ca.indeed.com/rc/clk?cmp=Mike%E2%80%99s-Wood-Solutions-Inc.&ti=Feller&jk=836f58b55fbce9e3&fccid=9fa40ed8902c0c74&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>Felling trees full time in the forest.</p>
<p>Assisting log skidder operators.</p>
<p>Bucking logs on and landing.</p>
<p>Job Types: Full-time, Permanent</p>
<p>Salary: Up to $50.00 per hour</p>
<p>Additional pay:</p>
<ul>
<li>Overtime pay</li>
</ul>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
<li>Day shift</li>
<li>Monday to Friday</li>
</ul>
<p>Ability to commute/relocate:</p>
<ul>
<li>Chatham-Kent, ON: reliably commute or plan to relocate before starting work (required)</li>
</ul>
<p>Experience:</p>
<ul>
<li>Forestry: 2 years (preferred)</li>
</ul>
<p>Licence/Certification:</p>
<ul>
<li>Cutter certification (preferred)</li>
</ul>
<p>Willingness to travel:</p>
<ul>
<li>25% (preferred)</li>
</ul>
</div>","['Forestry: 2 years (preferred)', 'Additional pay:', 'Assisting log skidder operators.', 'Experience:', 'Salary: Up to $50.00 per hour']"
1,"newProduct Support Representative, Harvesting Heads – Canada an...",Tigercat Industries Inc.,Alberta,https://ca.indeed.com/rc/clk?jk=2434d27cda4a7c7d&fccid=505bf049d67365bd&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
 Tigercat is looking for a highly motivated, driven, and organized Product Support Representative for Harvesting Heads, primarily covering USA and Canada. 
 <br/>The successful candidate will be required to travel extensively to train equipment operators, support new machines deliveries, troubleshoot, and resolve issues with dealer technicians to minimize downtime of equipment. Close communication with dealers, service managers, the service team, internal management, and engineering will be required daily. Conduct root cause analysis of failures for continuing improvement and prioritization of issues. 
 <br/>Tigercat Industries Inc. is a privately owned, customer driven company engaged in the design, manufacture, sales and service support of a wide range of premium quality, heavy duty, off-road, mechanized vehicles and attachments used in the tree harvesting and off-road industrial applications. 
 <br/>
<br/> We are a growing company employing over 2000 employees. With headquarters in Brantford, Ontario, Tigercat operates from nine southern Ontario locations. These facilities house the design and production teams for all Tigercat products as well as steel fabrication, administration, customer service and parts distribution. Serving the southern US, a large parts distribution and training centre is located in Ailey, Georgia. Tigercat also operates a sales, service and parts distribution facility in Hede, Sweden. We have established a network of dealers throughout North &amp; South America as well as in Australia, Europe, New Zealand, Russia, and South Africa. 
 <br/>
<br/> Tigercat timber harvesting systems achieve lowest production cost per tonne by optimizing efficiency, productivity, operator ergonomics, environmental impact, machine availability and useful lifespan. The Tigercat forestry line includes both tree-length and cut-to-length (CTL) systems. Tigercat offers a range of feller bunchers, skidders, loaders, loggers, harvesters, forwarders and felling and processing attachments. The off-road industrial product line includes land clearing and site preparation equipment as well as other specialized severe duty carriers used in a variety of niche applications and industries including utilities, oil and gas and silviculture. 
 <br/>
<br/> To learn more about our company, visit our website at www.tigercat.com 
 <br/>
<br/>
<b>Primary Responsibilities:</b>
<br/>
<ul>
<li>Support new machines deliveries, harvesting heads installations, and equipment demonstrations</li>
<li>Deliver training to operators and dealer technicians for new harvesting heads</li>
<li>Assist dealers with troubleshooting technical issues</li>
<li>Implement root cause failure analysis and effective corrective action</li>
<li>Work with the service department and engineering to improve the quality of Tigercat products</li>
<li>Solicit and analyze feedback from operators, customers, and dealers and evaluate results to identify trends and opportunities for improvement</li>
<li>Prepare technical reports and document oral and written communications</li>
<li>Participate in regional and national trade-shows</li>
</ul>
<b>Education and Qualifications:</b>
<br/>
<ul>
<li>Comprehensive understanding of Hydraulic, Electrical, Electronic, and Mechanical systems, and ability to troubleshoot and problem solve effectively</li>
<li>Comprehensive knowledge of harvesting head control systems, such as Dasa, TimberRite, LogMate, Opti</li>
<li>A minimum of 2 years experience working on logging sites with forestry equipment operators</li>
<li>Post-Secondary diploma/degree or equivalent education and experience</li>
<li>Comprehensive understanding of drawings and specifications, geometric tolerances, and dimensions</li>
<li>Excellent Communication Skills</li>
<li>Valid Passport and ability to travel extensively – Primarily USA/Canada, occasionally worldwide, and on short notice</li>
<li>Computer skills in Microsoft programs</li>
<li>Demonstrated ability to use initiative, work efficiently and independently</li>
<li>Strong organizational skills, planning, and time management skills</li>
<li>Must be adaptable to a changing work environment and able to deal with frequent change, delays, or unexpected events</li>
</ul>
<b>Key relationships:</b>
<b>Maintain communication with:</b>
<br/>
<ul>
<li>Service Manager and Regional Service Managers</li>
<li>Service Director</li>
<li>Engineering Product Groups</li>
<li>Tigercat Service and Sales Personnel</li>
<li>Dealer Service &amp; Sales Personnel</li>
</ul>
<b>What We Can Offer You:</b>
<br/>
<ul>
<li>Progressive health and safety program</li>
<li>Interesting and challenging work and projects</li>
<li>Opportunity to see and be involved with our products from start to finish</li>
<li>Competitive Wages and Profit Sharing</li>
<li>RRSP Matching Program</li>
<li>Skills development and training reimbursement</li>
<li>Family oriented (BBQ’s, picnics as well as social and sporting events)</li>
<li>Company paid healthcare benefits and Employee and Family Assistance Program (EAP)</li>
</ul> Only those selected for interviews will be contacted. 
 <br/>
<br/> We thank you for your application! 
 <br/>
<br/> Tigercat Industries strives to create a respectful, accessible, and inclusive work environment. Upon individual request, hiring processes will be modified to remove barriers to accommodate those with disabilities. Should any applicant require accommodation through the application, interview, or selection processes, please contact Human Resources for assistance.
</div>","['Comprehensive understanding of Hydraulic, Electrical, Electronic, and Mechanical systems, and ability to troubleshoot and problem solve effectively', 'Support new machines deliveries, harvesting heads installations, and equipment demonstrations', 'Valid Passport and ability to travel extensively – Primarily USA/Canada, occasionally worldwide, and on short notice', 'Assist dealers with troubleshooting technical issues', 'Demonstrated ability to use initiative, work efficiently and independently', 'Must be adaptable to a changing work environment and able to deal with frequent change, delays, or unexpected events', 'Comprehensive understanding of drawings and specifications, geometric tolerances, and dimensions', 'Solicit and analyze feedback from operators, customers, and dealers and evaluate results to identify trends and opportunities for improvement', 'Work with the service department and engineering to improve the quality of Tigercat products', 'Comprehensive knowledge of harvesting head control systems, such as Dasa, TimberRite, LogMate, Opti', 'Competitive Wages and Profit Sharing', 'Progressive health and safety program', 'Deliver training to operators and dealer technicians for new harvesting heads', 'Interesting and challenging work and projects', 'Prepare technical reports and document oral and written communications', 'A minimum of 2 years experience working on logging sites with forestry equipment operators', 'Implement root cause failure analysis and effective corrective action', 'Strong organizational skills, planning, and time management skills', 'Post-Secondary diploma/degree or equivalent education and experience', 'Participate in regional and national trade-shows']"
2,"A Feller, Arborists, Tree surgeon or Tree Doctor",Durham Excavation,"Dunsford, ON",https://ca.indeed.com/company/Durham-Excavation/jobs/Feller-a9de2b87995ba10d?fccid=b60e6a9169e1a441&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>We need approximately 50 trees taken down.</p><p>We will take care of the rest.</p><p>Job Type: Casual</p><p>Salary: $30.00-$40.00 per hour</p><p>Schedule:</p><ul><li>8 hour shift</li></ul><p>Ability to commute/relocate:</p><ul><li>Dunsford, ON K0M 1L0: reliably commute or plan to relocate before starting work (required)</li></ul><p>Experience:</p><ul><li>Tree Trimmers &amp; Arborists: 3 years (required)</li><li>Tree Feller: 3 years (required)</li></ul></div>","['Tree Feller: 3 years (required)', 'Experience:', 'Tree Trimmers & Arborists: 3 years (required)']"
3,logging machinery operator,Kaster Logging Limited,"Stayner, ON",https://ca.indeed.com/rc/clk?jk=308502e0d39d48fe&fccid=471ec0556066b472&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<div>
<h2 class=""jobSectionHeader""><b>Equipment and Machinery Experience</b></h2>
<ul>
<li> Skidder</li>
<li> Slasher</li>
<li> Feller forwarder</li>
<li> Chipping machine</li>
<li> Chain saw</li>
</ul>
<h2 class=""jobSectionHeader""><b> Additional Skills</b></h2>
<ul>
<li> Assist other logging and forestry workers</li>
</ul>
<h2 class=""jobSectionHeader""><b> Weight Handling</b></h2>
<ul>
<li> Up to 45 kg (100 lbs)</li>
</ul>
<h2 class=""jobSectionHeader""><b> Work Site Environment</b></h2>
<ul>
<li> Dangerous</li>
<li> Outdoors</li>
<li> Noisy</li>
<li> Dusty</li>
</ul>
<h2 class=""jobSectionHeader""><b> Transportation/Travel Information</b></h2>
<ul>
<li> Willing to travel</li>
</ul>
<h2 class=""jobSectionHeader""><b> Work Conditions and Physical Capabilities</b></h2>
<ul>
<li> Work under pressure</li>
<li> Handling heavy loads</li>
<li> Physically demanding</li>
<li> Hand-eye co-ordination</li>
<li> Combination of sitting, standing, walking</li>
<li> Bending, crouching, kneeling</li>
<li> Large workload</li>
</ul>
<h2 class=""jobSectionHeader""><b> Work Location Information</b></h2>
<ul>
<li> Rural area</li>
<li> Various locations</li>
</ul>
<h2 class=""jobSectionHeader""><b> Personal Suitability</b></h2>
<ul>
<li> Flexibility</li>
<li> Accurate</li>
<li> Team player</li>
<li> Reliability</li>
<li> Organized</li>
</ul>
<h2 class=""jobSectionHeader""><b> Cable Yarding System Operators Specific Skills</b></h2>
<ul>
<li> Operate machines to transport trees from logging areas to landing or log loading sites in mountainous terrain</li>
</ul>
<h2 class=""jobSectionHeader""><b> Mechanical Harvester and Forwarder Operators Specific Skills</b></h2>
<ul>
<li> Assess site and terrain and drive heavy equipment to perform a combination of felling, slashing, bucking, bunching and forwarding operations</li>
</ul>
<h2 class=""jobSectionHeader""><b> Mechanical Tree Processor and Loader Operators Specific Skills</b></h2>
<ul>
<li> Operate a variety of machines which perform a combination of slashing, bucking, chipping, sorting and loading logs or trees</li>
</ul>
<h2 class=""jobSectionHeader""><b> Long term benefits</b></h2>
<ul>
<li> Other benefits</li>
</ul>
</div>
</div>","['Handling heavy loads', 'Dangerous', 'Various locations', 'Assist other logging and forestry workers', 'Rural area', 'Large workload', 'Physically demanding', 'Organized', 'Operate a variety of machines which perform a combination of slashing, bucking, chipping, sorting and loading logs or trees', 'Bending, crouching, kneeling', 'Other benefits']"
4,title,company,location,link,description,[]
5,Feller,Mike’s Wood Solutions Inc.,Chatham-Kent,https://glassdoor.ca/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001809f4feecf88edfe3f4c5a0e83&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f7ca0f15&cb=1651940257841&jobListingId=1007637965535&jrtk=3-0-1g2fkvrnsgsp7801-1g2fkvrohmfom800-836f58b55fbce9e3-,"<div class=""tabSection p-std mt-0"" data-brandviews=""MODULE:n=jobListing-description:eid=0:jlid=1007637965535"" id=""JobDescriptionContainer""><style data-emotion-css=""1yuy9gt"">.css-1yuy9gt{display:-webkit-box;-webkit-line-clamp:10;-webkit-box-orient:vertical;overflow:hidden;}.css-1yuy9gt *{color:#505863;line-height:1.4em;}.css-1yuy9gt .ecgq1xb1{padding-left:0;}.css-1yuy9gt .ecgq1xb1 .ecgq1xb0{margin:0 0 8px 0;}.css-1yuy9gt ol,.css-1yuy9gt ul{padding-left:32px;}.css-1yuy9gt li{margin:10px;margin-bottom:5px;margin-left:20px;line-height:1.4em;}</style><div class=""css-1yuy9gt ecgq1xb4"" id=""JobDesc1007637965535""><style data-emotion-css=""58vpdc"">.css-58vpdc{margin-bottom:24px;}.css-58vpdc ul{margin:5px 0 10px 20px;}.css-58vpdc ul > br{display:none;}.css-58vpdc ul > li{margin-left:0;}.css-58vpdc li{padding:0;}</style><div class=""desc css-58vpdc ecgq1xb5""><p>Felling trees full time in the forest.</p><p>Assisting log skidder operators.</p><p>Bucking logs on and landing.</p><p>Job Types: Full-time, Permanent</p><p>Salary: Up to $50.00 per hour</p><p>Additional pay:</p><ul><li>Overtime pay</li></ul><p>Schedule:</p><ul><li>8 hour shift</li><li>Day shift</li><li>Monday to Friday</li></ul><p>Ability to commute/relocate:</p><ul><li>Chatham-Kent, ON: reliably commute or plan to relocate before starting work (required)</li></ul><p>Experience:</p><ul><li>Forestry: 2 years (preferred)</li></ul><p>Licence/Certification:</p><ul><li>Cutter certification (preferred)</li></ul><p>Willingness to travel:</p><ul><li>25% (preferred)</li></ul></div></div><style data-emotion-css=""1rzz8ht"">.css-1rzz8ht{color:#1861bf;cursor:pointer;font-size:16px;font-weight:700;margin:16px;text-align:center;}.css-1rzz8ht svg{height:12px;width:12px;}</style><div class=""css-1rzz8ht ecgq1xb2"">Show more<!-- --> <svg height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M4.4 9.25l7.386 7.523a1 1 0 0 0 1.428 0L20.6 9.25c.5-.509.5-1.324 0-1.833a1.261 1.261 0 0 0-1.8 0l-6.3 6.416-6.3-6.416a1.261 1.261 0 0 0-1.8 0c-.5.509-.5 1.324 0 1.833z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg></div></div>","['Forestry: 2 years (preferred)', 'Additional pay:', 'Assisting log skidder operators.', 'Experience:', 'Salary: Up to $50.00 per hour']"
6,"Product Support Representative, Harvesting Heads – Canada and U.S.A.",Tigercat Industries Inc.,Alberta,https://glassdoor.ca/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001809f4feecf88edfe3f4c5a0e83&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_94cdc098&cb=1651940257841&jobListingId=1007840336432&jrtk=3-0-1g2fkvrnsgsp7801-1g2fkvrohmfom800-2434d27cda4a7c7d-,"<div class=""tabSection p-std mt-0"" data-brandviews=""MODULE:n=jobListing-description:eid=1322732:jlid=1007840336432"" id=""JobDescriptionContainer""><style data-emotion-css=""1yuy9gt"">.css-1yuy9gt{display:-webkit-box;-webkit-line-clamp:10;-webkit-box-orient:vertical;overflow:hidden;}.css-1yuy9gt *{color:#505863;line-height:1.4em;}.css-1yuy9gt .ecgq1xb1{padding-left:0;}.css-1yuy9gt .ecgq1xb1 .ecgq1xb0{margin:0 0 8px 0;}.css-1yuy9gt ol,.css-1yuy9gt ul{padding-left:32px;}.css-1yuy9gt li{margin:10px;margin-bottom:5px;margin-left:20px;line-height:1.4em;}</style><div class=""css-1yuy9gt ecgq1xb4"" id=""JobDesc1007840336432""><style data-emotion-css=""58vpdc"">.css-58vpdc{margin-bottom:24px;}.css-58vpdc ul{margin:5px 0 10px 20px;}.css-58vpdc ul > br{display:none;}.css-58vpdc ul > li{margin-left:0;}.css-58vpdc li{padding:0;}</style><div class=""desc css-58vpdc ecgq1xb5"">Tigercat is looking for a highly motivated, driven, and organized Product Support Representative for Harvesting Heads, primarily covering USA and Canada.
<br/>The successful candidate will be required to travel extensively to train equipment operators, support new machines deliveries, troubleshoot, and resolve issues with dealer technicians to minimize downtime of equipment. Close communication with dealers, service managers, the service team, internal management, and engineering will be required daily. Conduct root cause analysis of failures for continuing improvement and prioritization of issues.
<br/>Tigercat Industries Inc. is a privately owned, customer driven company engaged in the design, manufacture, sales and service support of a wide range of premium quality, heavy duty, off-road, mechanized vehicles and attachments used in the tree harvesting and off-road industrial applications.
<br/><br/>
We are a growing company employing over 2000 employees. With headquarters in Brantford, Ontario, Tigercat operates from nine southern Ontario locations. These facilities house the design and production teams for all Tigercat products as well as steel fabrication, administration, customer service and parts distribution. Serving the southern US, a large parts distribution and training centre is located in Ailey, Georgia. Tigercat also operates a sales, service and parts distribution facility in Hede, Sweden. We have established a network of dealers throughout North &amp; South America as well as in Australia, Europe, New Zealand, Russia, and South Africa.
<br/><br/>
Tigercat timber harvesting systems achieve lowest production cost per tonne by optimizing efficiency, productivity, operator ergonomics, environmental impact, machine availability and useful lifespan. The Tigercat forestry line includes both tree-length and cut-to-length (CTL) systems. Tigercat offers a range of feller bunchers, skidders, loaders, loggers, harvesters, forwarders and felling and processing attachments. The off-road industrial product line includes land clearing and site preparation equipment as well as other specialized severe duty carriers used in a variety of niche applications and industries including utilities, oil and gas and silviculture.
<br/><br/>
To learn more about our company, visit our website at www.tigercat.com
<br/><br/>
<b>Primary Responsibilities:</b><br/>
<ul>
<li>Support new machines deliveries, harvesting heads installations, and equipment demonstrations</li>
<li>Deliver training to operators and dealer technicians for new harvesting heads</li>
<li>Assist dealers with troubleshooting technical issues</li>
<li>Implement root cause failure analysis and effective corrective action</li>
<li>Work with the service department and engineering to improve the quality of Tigercat products</li>
<li>Solicit and analyze feedback from operators, customers, and dealers and evaluate results to identify trends and opportunities for improvement</li>
<li>Prepare technical reports and document oral and written communications</li>
<li>Participate in regional and national trade-shows</li>
</ul>
<b>Education and Qualifications:</b><br/>
<ul>
<li>Comprehensive understanding of Hydraulic, Electrical, Electronic, and Mechanical systems, and ability to troubleshoot and problem solve effectively</li>
<li>Comprehensive knowledge of harvesting head control systems, such as Dasa, TimberRite, LogMate, Opti</li>
<li>A minimum of 2 years experience working on logging sites with forestry equipment operators</li>
<li>Post-Secondary diploma/degree or equivalent education and experience</li>
<li>Comprehensive understanding of drawings and specifications, geometric tolerances, and dimensions</li>
<li>Excellent Communication Skills</li>
<li>Valid Passport and ability to travel extensively – Primarily USA/Canada, occasionally worldwide, and on short notice</li>
<li>Computer skills in Microsoft programs</li>
<li>Demonstrated ability to use initiative, work efficiently and independently</li>
<li>Strong organizational skills, planning, and time management skills</li>
<li>Must be adaptable to a changing work environment and able to deal with frequent change, delays, or unexpected events</li>
</ul>
<b>Key relationships:</b><b>Maintain communication with:</b><br/>
<ul>
<li>Service Manager and Regional Service Managers</li>
<li>Service Director</li>
<li>Engineering Product Groups</li>
<li>Tigercat Service and Sales Personnel</li>
<li>Dealer Service &amp; Sales Personnel</li>
</ul>
<b>What We Can Offer You:</b><br/>
<ul>
<li>Progressive health and safety program</li>
<li>Interesting and challenging work and projects</li>
<li>Opportunity to see and be involved with our products from start to finish</li>
<li>Competitive Wages and Profit Sharing</li>
<li>RRSP Matching Program</li>
<li>Skills development and training reimbursement</li>
<li>Family oriented (BBQ’s, picnics as well as social and sporting events)</li>
<li>Company paid healthcare benefits and Employee and Family Assistance Program (EAP)</li>
</ul>
Only those selected for interviews will be contacted.
<br/><br/>
We thank you for your application!
<br/><br/>
Tigercat Industries strives to create a respectful, accessible, and inclusive work environment. Upon individual request, hiring processes will be modified to remove barriers to accommodate those with disabilities. Should any applicant require accommodation through the application, interview, or selection processes, please contact Human Resources for assistance.</div></div><style data-emotion-css=""1rzz8ht"">.css-1rzz8ht{color:#1861bf;cursor:pointer;font-size:16px;font-weight:700;margin:16px;text-align:center;}.css-1rzz8ht svg{height:12px;width:12px;}</style><div class=""css-1rzz8ht ecgq1xb2"">Show more<!-- --> <svg height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M4.4 9.25l7.386 7.523a1 1 0 0 0 1.428 0L20.6 9.25c.5-.509.5-1.324 0-1.833a1.261 1.261 0 0 0-1.8 0l-6.3 6.416-6.3-6.416a1.261 1.261 0 0 0-1.8 0c-.5.509-.5 1.324 0 1.833z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg></div></div>","['Comprehensive understanding of Hydraulic, Electrical, Electronic, and Mechanical systems, and ability to troubleshoot and problem solve effectively', 'Support new machines deliveries, harvesting heads installations, and equipment demonstrations', 'Valid Passport and ability to travel extensively – Primarily USA/Canada, occasionally worldwide, and on short notice', 'Assist dealers with troubleshooting technical issues', 'Demonstrated ability to use initiative, work efficiently and independently', 'Must be adaptable to a changing work environment and able to deal with frequent change, delays, or unexpected events', 'Comprehensive understanding of drawings and specifications, geometric tolerances, and dimensions', 'Solicit and analyze feedback from operators, customers, and dealers and evaluate results to identify trends and opportunities for improvement', 'Work with the service department and engineering to improve the quality of Tigercat products', 'Comprehensive knowledge of harvesting head control systems, such as Dasa, TimberRite, LogMate, Opti', 'Competitive Wages and Profit Sharing', 'Progressive health and safety program', 'Deliver training to operators and dealer technicians for new harvesting heads', 'Interesting and challenging work and projects', 'Prepare technical reports and document oral and written communications', 'A minimum of 2 years experience working on logging sites with forestry equipment operators', 'Implement root cause failure analysis and effective corrective action', 'Strong organizational skills, planning, and time management skills', 'Post-Secondary diploma/degree or equivalent education and experience', 'Participate in regional and national trade-shows']"
7,"A Feller, Arborists, Tree surgeon or Tree Doctor",Durham Excavation,Dunsford,https://glassdoor.ca/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001809f4feecf88edfe3f4c5a0e83&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7c315e81&cb=1651940257841&jobListingId=1007792334711&jrtk=3-0-1g2fkvrnsgsp7801-1g2fkvrohmfom800-a9de2b87995ba10d-,"<div class=""tabSection p-std mt-0"" data-brandviews=""MODULE:n=jobListing-description:eid=0:jlid=1007792334711"" id=""JobDescriptionContainer""><style data-emotion-css=""1yuy9gt"">.css-1yuy9gt{display:-webkit-box;-webkit-line-clamp:10;-webkit-box-orient:vertical;overflow:hidden;}.css-1yuy9gt *{color:#505863;line-height:1.4em;}.css-1yuy9gt .ecgq1xb1{padding-left:0;}.css-1yuy9gt .ecgq1xb1 .ecgq1xb0{margin:0 0 8px 0;}.css-1yuy9gt ol,.css-1yuy9gt ul{padding-left:32px;}.css-1yuy9gt li{margin:10px;margin-bottom:5px;margin-left:20px;line-height:1.4em;}</style><div class=""css-1yuy9gt ecgq1xb4"" id=""JobDesc1007792334711""><style data-emotion-css=""58vpdc"">.css-58vpdc{margin-bottom:24px;}.css-58vpdc ul{margin:5px 0 10px 20px;}.css-58vpdc ul > br{display:none;}.css-58vpdc ul > li{margin-left:0;}.css-58vpdc li{padding:0;}</style><div class=""desc css-58vpdc ecgq1xb5""><p>We need approximately 50 trees taken down.</p><p>We will take care of the rest.</p><p>Job Type: Casual</p><p>Salary: $30.00-$40.00 per hour</p><p>Schedule:</p><ul><li>8 hour shift</li></ul><p>Ability to commute/relocate:</p><ul><li>Dunsford, ON K0M 1L0: reliably commute or plan to relocate before starting work (required)</li></ul><p>Experience:</p><ul><li>Tree Trimmers &amp; Arborists: 3 years (required)</li><li>Tree Feller: 3 years (required)</li></ul></div></div><style data-emotion-css=""1rzz8ht"">.css-1rzz8ht{color:#1861bf;cursor:pointer;font-size:16px;font-weight:700;margin:16px;text-align:center;}.css-1rzz8ht svg{height:12px;width:12px;}</style><div class=""css-1rzz8ht ecgq1xb2"">Show more<!-- --> <svg height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M4.4 9.25l7.386 7.523a1 1 0 0 0 1.428 0L20.6 9.25c.5-.509.5-1.324 0-1.833a1.261 1.261 0 0 0-1.8 0l-6.3 6.416-6.3-6.416a1.261 1.261 0 0 0-1.8 0c-.5.509-.5 1.324 0 1.833z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg></div></div>","['Tree Feller: 3 years (required)', 'Experience:', 'Tree Trimmers & Arborists: 3 years (required)']"
8,logging machinery operator,Kaster Logging Limited,Stayner,https://glassdoor.ca/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001809f4feecf88edfe3f4c5a0e83&src=GD_JOB_AD&t=SR&vt=w&cs=1_2737b4b1&cb=1651940257841&jobListingId=1007607403595&jrtk=3-0-1g2fkvrnsgsp7801-1g2fkvrohmfom800-308502e0d39d48fe-,"<div class=""tabSection p-std mt-0"" data-brandviews=""MODULE:n=jobListing-description:eid=0:jlid=1007607403595"" id=""JobDescriptionContainer""><style data-emotion-css=""1yuy9gt"">.css-1yuy9gt{display:-webkit-box;-webkit-line-clamp:10;-webkit-box-orient:vertical;overflow:hidden;}.css-1yuy9gt *{color:#505863;line-height:1.4em;}.css-1yuy9gt .ecgq1xb1{padding-left:0;}.css-1yuy9gt .ecgq1xb1 .ecgq1xb0{margin:0 0 8px 0;}.css-1yuy9gt ol,.css-1yuy9gt ul{padding-left:32px;}.css-1yuy9gt li{margin:10px;margin-bottom:5px;margin-left:20px;line-height:1.4em;}</style><div class=""css-1yuy9gt ecgq1xb4"" id=""JobDesc1007607403595""><style data-emotion-css=""58vpdc"">.css-58vpdc{margin-bottom:24px;}.css-58vpdc ul{margin:5px 0 10px 20px;}.css-58vpdc ul > br{display:none;}.css-58vpdc ul > li{margin-left:0;}.css-58vpdc li{padding:0;}</style><div class=""desc css-58vpdc ecgq1xb5""><div><h2 class=""jobSectionHeader""><b>Equipment and Machinery Experience</b></h2><ul><li>
Skidder</li><li>
Slasher</li><li>
Feller forwarder</li><li>
Chipping machine</li><li>
Chain saw</li></ul><h2 class=""jobSectionHeader""><b>
Additional Skills</b></h2><ul><li>
Assist other logging and forestry workers</li></ul><h2 class=""jobSectionHeader""><b>
Weight Handling</b></h2><ul><li>
Up to 45 kg (100 lbs)</li></ul><h2 class=""jobSectionHeader""><b>
Work Site Environment</b></h2><ul><li>
Dangerous</li><li>
Outdoors</li><li>
Noisy</li><li>
Dusty</li></ul><h2 class=""jobSectionHeader""><b>
Transportation/Travel Information</b></h2><ul><li>
Willing to travel</li></ul><h2 class=""jobSectionHeader""><b>
Work Conditions and Physical Capabilities</b></h2><ul><li>
Work under pressure</li><li>
Handling heavy loads</li><li>
Physically demanding</li><li>
Hand-eye co-ordination</li><li>
Combination of sitting, standing, walking</li><li>
Bending, crouching, kneeling</li><li>
Large workload</li></ul><h2 class=""jobSectionHeader""><b>
Work Location Information</b></h2><ul><li>
Rural area</li><li>
Various locations</li></ul><h2 class=""jobSectionHeader""><b>
Personal Suitability</b></h2><ul><li>
Flexibility</li><li>
Accurate</li><li>
Team player</li><li>
Reliability</li><li>
Organized</li></ul><h2 class=""jobSectionHeader""><b>
Cable Yarding System Operators Specific Skills</b></h2><ul><li>
Operate machines to transport trees from logging areas to landing or log loading sites in mountainous terrain</li></ul><h2 class=""jobSectionHeader""><b>
Mechanical Harvester and Forwarder Operators Specific Skills</b></h2><ul><li>
Assess site and terrain and drive heavy equipment to perform a combination of felling, slashing, bucking, bunching and forwarding operations</li></ul><h2 class=""jobSectionHeader""><b>
Mechanical Tree Processor and Loader Operators Specific Skills</b></h2><ul><li>
Operate a variety of machines which perform a combination of slashing, bucking, chipping, sorting and loading logs or trees</li></ul><h2 class=""jobSectionHeader""><b>
Long term benefits</b></h2><ul><li>
Other benefits</li></ul></div></div></div><style data-emotion-css=""1rzz8ht"">.css-1rzz8ht{color:#1861bf;cursor:pointer;font-size:16px;font-weight:700;margin:16px;text-align:center;}.css-1rzz8ht svg{height:12px;width:12px;}</style><div class=""css-1rzz8ht ecgq1xb2"">Show more<!-- --> <svg height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M4.4 9.25l7.386 7.523a1 1 0 0 0 1.428 0L20.6 9.25c.5-.509.5-1.324 0-1.833a1.261 1.261 0 0 0-1.8 0l-6.3 6.416-6.3-6.416a1.261 1.261 0 0 0-1.8 0c-.5.509-.5 1.324 0 1.833z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg></div></div>","['Handling heavy loads', 'Dangerous', 'Various locations', 'Chipping machine', 'Assist other logging and forestry workers', 'Rural area', 'Large workload', 'Physically demanding', 'Organized', 'Operate a variety of machines which perform a combination of slashing, bucking, chipping, sorting and loading logs or trees', 'Bending, crouching, kneeling', 'Other benefits']"
9,title,company,location,link,description,[]
